 	okyeri	sait	bien	ériger	les	murs	d'	une	maison	en	terre	battue	</S>
o	0.887314	0.088649	0.00853586	0.00652587	0.00245322	0.00120074	0.00130828	0.00206726	0.000557248	0.000592055	0.000739823	4.25393e-05	1.39538e-05
k	0.518768	0.420546	0.0056683	0.0424993	0.000303975	0.00153713	0.000511843	0.000592545	0.000499493	0.000664919	0.00268583	0.0042374	0.00148533
y	0.391694	0.495387	0.0129506	0.0336267	0.00368758	0.00385342	0.00622172	0.00420843	0.000153355	0.00728213	0.0228461	0.0110576	0.00703115
έ	0.519125	0.417668	0.0174828	0.026271	0.00176351	0.00190241	0.00217898	0.000831307	0.000305409	0.00144821	0.00682938	0.00344256	0.000751216
r	0.861525	0.0774499	0.015305	0.00408	0.00558669	0.00358626	0.00539989	0.00152839	0.00143679	0.00360438	0.00338965	0.00171385	0.0153943
í	0.626082	0.0526012	0.0153779	0.0117668	0.0138453	0.0368709	0.00849708	0.00792336	0.138268	0.0169592	0.0326942	0.00724307	0.0318715
l	0.0491249	0.383096	0.338843	0.0156564	0.064473	0.00903072	0.0253469	0.0244773	0.00438597	0.0361202	0.0101943	0.004053	0.0351988
á	0.0176263	0.0780898	0.128103	0.0665516	0.0703694	0.0624844	0.0368934	0.0827431	0.0747856	0.0945686	0.0602172	0.010905	0.216662
a	0.0383392	0.0393489	0.193941	0.43063	0.0648516	0.0473093	0.0120336	0.0281767	0.0378092	0.0226918	0.0322957	0.00867012	0.0439035
y	0.0615042	0.243526	0.193006	0.429898	0.0178715	0.00976328	0.00841918	0.0028011	0.00264037	0.0120556	0.00411723	0.00392107	0.0104763
é	0.0220748	0.160638	0.263327	0.0898504	0.0793052	0.0625006	0.0254829	0.0347038	0.019048	0.0416443	0.049731	0.018979	0.132715
b	0.00478713	0.034301	0.342354	0.0468132	0.0815439	0.0648292	0.0360532	0.0421814	0.0090794	0.0419527	0.0375477	0.0054255	0.253132
h	0.129315	0.197862	0.331391	0.202699	0.0401782	0.0367248	0.0250123	0.00468232	0.00215374	0.0107252	0.00514499	0.00359904	0.0105127
á	0.0749846	0.0659481	0.0917937	0.13366	0.110109	0.0686697	0.0524254	0.0133692	0.0267483	0.0367487	0.0946661	0.0534347	0.177442
o	0.0028927	0.011743	0.229612	0.118613	0.386665	0.127158	0.0448078	0.0276393	0.0251729	0.00979405	0.00202819	0.00156386	0.0123099
k	0.0129238	0.0406768	0.0969021	0.283056	0.237843	0.131313	0.0955323	0.0262858	0.0420553	0.0182496	0.00352586	0.00195285	0.00968357
a	0.0151688	0.0106636	0.0274971	0.416943	0.105679	0.113764	0.169112	0.0181175	0.00186579	0.0190034	0.0199162	0.0453481	0.0369212
n	0.00777058	0.00641608	0.0675858	0.380761	0.187687	0.11348	0.135103	0.0153405	0.00587294	0.0162387	0.0224799	0.0246359	0.0166287
á	0.00279738	0.00319245	0.029871	0.190613	0.18977	0.323281	0.100265	0.0201949	0.0338821	0.020888	0.00841391	0.00228921	0.0745417
á	0.00144171	0.0019331	0.0273918	0.00366223	0.151752	0.136336	0.19285	0.236406	0.148758	0.0685319	0.00845066	0.00297729	0.019509
n	0.00145451	0.00166787	0.00984493	0.000621398	0.0223196	0.0319267	0.10607	0.212374	0.477692	0.104198	0.0185105	0.0015875	0.0117333
d	5.85061e-05	4.12638e-05	0.00081315	0.000438358	0.00252514	0.0448946	0.00585677	0.0382128	0.885992	0.00835445	0.00856988	0.000152224	0.00409072
é	3.94402e-05	1.79251e-05	0.00018796	0.000299091	0.00109119	0.0473074	0.00524183	0.0222978	0.911938	0.00382209	0.00470528	0.000291818	0.00275969
e	0.000147322	8.20107e-05	0.00280765	0.00400984	0.0253533	0.242429	0.0601262	0.113324	0.356287	0.0563324	0.0830877	0.0038646	0.0521492
</S>	0.000533989	0.0005915	0.00825421	0.000826994	0.0441952	0.0414689	0.200955	0.187971	0.0354816	0.330777	0.0891484	0.0144335	0.0453626
