 	quelle	est	parmi	vous	la	personne	qui	a	blessé	mon	fils	</S>
o	0.591796	0.162746	0.0966004	0.017481	0.0366488	0.0343644	0.0178793	0.0211841	0.0125435	0.00669837	0.00140402	0.000653517
k	0.00910112	0.0343614	0.0161059	0.0132213	0.033367	0.102913	0.099519	0.116696	0.456007	0.00365029	0.0481939	0.0668648
ώ	0.00502596	0.0123489	0.0262575	0.00818771	0.01907	0.0214042	0.00870534	0.0308973	0.836738	0.00122588	0.0108127	0.0193265
s	0.00193617	0.0138728	0.0229139	0.0116511	0.0264775	0.0726536	0.0523996	0.109166	0.630077	0.00868766	0.00628028	0.0438843
i	0.0488113	0.0678034	0.015148	0.00923844	0.026628	0.0418381	0.051506	0.0961169	0.465846	0.0396032	0.0162402	0.12122
l	0.0295901	0.172752	0.199915	0.0741177	0.0528257	0.0198111	0.0345265	0.0714891	0.0306197	0.0640662	0.150861	0.099426
i	0.0207772	0.0492286	0.12968	0.147802	0.228191	0.0602114	0.026292	0.0300073	0.0550051	0.0551438	0.0354332	0.162229
m	0.0029554	0.00977396	0.051375	0.163798	0.101346	0.0205876	0.0240592	0.0364796	0.0430051	0.363373	0.12971	0.0535367
w	0.00560104	0.0335071	0.0182195	0.0413531	0.0510075	0.00774884	0.0164235	0.019221	0.00312626	0.0243794	0.75373	0.0256829
á	0.00212134	0.000849717	0.00174994	0.008689	0.00350622	0.00168824	0.00469636	0.00580819	0.0106765	0.00986593	0.9477	0.0026483
n	0.00423401	0.00208224	0.00697814	0.0467265	0.0292689	0.00624148	0.00703669	0.0228858	0.0360368	0.547895	0.264946	0.0256684
a	0.00473937	0.0159101	0.0320403	0.0878343	0.0746424	0.0199737	0.0335864	0.0345613	0.00797522	0.176481	0.489746	0.0225094
y	0.00299705	0.00555318	0.0147037	0.0243719	0.0914699	0.0745589	0.124501	0.104645	0.121134	0.370302	0.0118466	0.0539162
a	0.0357369	0.0737438	0.105798	0.0708851	0.16532	0.108157	0.139151	0.0820685	0.071804	0.0652309	0.032953	0.0491522
n	0.0105554	0.0164748	0.0844826	0.117976	0.152214	0.0486534	0.0367016	0.0278221	0.0258272	0.434595	0.0203719	0.0243259
g	0.000974068	0.000713424	0.00266063	0.0931272	0.021234	0.00459969	0.0191605	0.0108204	0.0171012	0.647859	0.00745268	0.174297
á	0.000547937	0.00111302	0.00449125	0.170371	0.0387097	0.0127532	0.0400812	0.0136874	0.0210911	0.150595	0.0339947	0.512565
s	0.0013647	0.00365948	0.00579928	0.00964331	0.0476127	0.0326847	0.103503	0.11913	0.0823794	0.199859	0.0215131	0.372852
á	0.0120354	0.0164491	0.0386401	0.0775301	0.0470155	0.0129256	0.0450231	0.0517057	0.0423992	0.0909573	0.0321108	0.533208
b	0.0109156	0.00953046	0.0427673	0.0414591	0.104179	0.0328595	0.0250417	0.0308051	0.0654347	0.487533	0.0558011	0.0936736
í	0.0262777	0.0172737	0.0895631	0.143247	0.0409092	0.00945985	0.00822336	0.0296305	0.0579053	0.135465	0.28685	0.155195
n	0.0034428	0.00231572	0.0393775	0.0860914	0.0122212	0.00161694	0.00154963	0.011282	0.047974	0.666939	0.0597332	0.0674568
í	0.00110829	0.00150644	0.00578465	0.019012	0.0129089	0.00521091	0.00594027	0.0186743	0.0589692	0.0606409	0.0418504	0.768394
á	0.00122918	0.00345774	0.00745124	0.0171678	0.0452856	0.0284842	0.0860109	0.0918131	0.0446917	0.157241	0.0225408	0.494627
d	0.0109299	0.0206404	0.0141466	0.0098524	0.026124	0.028731	0.103568	0.1205	0.0559071	0.0405195	0.0136198	0.555462
z	0.00308729	0.0158469	0.0246403	0.0136047	0.0173067	0.0060913	0.0293593	0.0629126	0.0243882	0.0159658	0.0295205	0.757276
e	0.00783322	0.0386807	0.0155359	0.00544174	0.0626961	0.0615535	0.0940091	0.0837	0.0552668	0.0269232	0.121447	0.426913
n	0.00415568	0.00845833	0.04208	0.0175468	0.0813035	0.0634983	0.0598104	0.0879608	0.232374	0.128784	0.0146075	0.25942
d	0.00100771	0.00300135	0.0061037	0.0112309	0.00714874	0.00444844	0.0139702	0.0218851	0.0370454	0.0581705	0.051685	0.784303
a	0.000531525	0.00135686	0.00447408	0.0439675	0.00974806	0.00351169	0.0117375	0.00595509	0.0176987	0.176263	0.0083473	0.716408
</S>	7.66762e-05	0.000438473	0.00162873	0.00140861	0.00546079	0.00302093	0.00681751	0.0150856	0.174545	0.0210009	0.00770454	0.762812
