 	il	est	très	bien	là-bas	</S>
w	0.897718	0.0688763	0.00706622	0.0182918	0.00787324	0.000174888
a	0.917328	0.0145891	0.00494725	0.0479875	0.0146754	0.000473161
a	0.152425	0.713627	0.0603819	0.0221846	0.0107436	0.0406381
d	0.0617958	0.692002	0.164122	0.0422199	0.0177364	0.0221244
i	0.0338348	0.657343	0.120513	0.0109915	0.0105896	0.166728
m	0.01584	0.13007	0.181026	0.116409	0.0354316	0.521224
ó	0.0357603	0.0989515	0.175116	0.0586868	0.1567	0.474786
ω	0.0261896	0.144425	0.403617	0.101771	0.185782	0.138215
b	0.000758818	0.0556067	0.412113	0.179445	0.23454	0.117537
v	0.000929996	0.031733	0.573595	0.102309	0.211408	0.0800253
έ	0.000748002	0.0346171	0.585513	0.254657	0.0985304	0.0259342
w	0.00360488	0.018989	0.174197	0.165871	0.0754411	0.561897
ó	0.223681	0.0210652	0.232018	0.293317	0.156973	0.0729462
o	0.0175926	0.00777507	0.0917867	0.175314	0.346294	0.361237
</S>	0.00356818	0.0518018	0.13618	0.11172	0.34414	0.35259
