 	le	chef	du	village	supporte	beaucoup	de	problèmes	</S>
o	0.733484	0.165925	0.0408518	0.0514089	0.00043662	0.00201605	0.00431249	0.00146492	0.000100233
k	0.0255799	0.963693	0.00319334	0.00369574	0.000872968	0.000583614	0.000733057	0.000418054	0.00122996
o	0.00231678	0.97941	0.00250325	0.00925222	0.000732626	0.000428683	0.000405979	0.00279931	0.00215109
n	0.00182749	0.975398	0.0056671	0.00877814	0.00231136	0.000967406	0.00119809	0.00166174	0.00219044
d	0.0537234	0.907852	0.00617999	0.0125422	0.00209068	0.00293175	0.0026624	0.0024361	0.00958169
z	0.0771998	0.854027	0.0499295	0.00862444	0.00106641	0.000946845	0.00116672	0.000501949	0.00653698
i	0.0584836	0.85052	0.0447925	0.0186047	0.00174699	0.00124518	0.000769024	0.0016626	0.0221758
y	0.0821915	0.0105028	0.783423	0.0997804	0.00777483	0.00503865	0.0032202	0.00126585	0.00680283
a	0.263874	0.00497428	0.24438	0.314916	0.0599597	0.0405093	0.0136311	0.00553274	0.0522234
p	0.222572	0.0028609	0.093006	0.640325	0.00941454	0.0143366	0.00621953	0.00304655	0.00821818
o	0.0271959	0.0112078	0.0788263	0.812273	0.0141853	0.00374987	0.00198871	0.030249	0.020324
o	0.0192989	0.00149836	0.0623663	0.795637	0.0877746	0.00419172	0.00160853	0.0128928	0.014732
l	0.0143685	0.00106196	0.0858401	0.385138	0.41489	0.0433332	0.0121975	0.00470414	0.0384661
á	0.0272403	0.00168127	0.06383	0.157722	0.31257	0.106039	0.047632	0.0120258	0.271259
a	0.0347673	0.000982125	0.0713809	0.371473	0.0869744	0.192283	0.135669	0.0566568	0.0498136
m	0.00560207	0.00409635	0.0105932	0.0462719	0.824607	0.0312056	0.0123695	0.0169021	0.048352
i	0.00179912	0.00139257	0.00290787	0.00894131	0.711139	0.146027	0.0492689	0.00582819	0.0726964
á	0.00098642	0.00124148	0.00300384	0.0151223	0.819651	0.0617467	0.0160003	0.00415726	0.0780907
p	0.00441076	0.000687967	0.0241265	0.0395356	0.13102	0.375505	0.162026	0.083599	0.17909
ώ	0.00394053	0.00251585	0.019114	0.0776754	0.0174066	0.104601	0.0742505	0.500964	0.199532
ω	0.000139561	0.000216311	0.00395091	0.0194161	0.012053	0.0831639	0.105703	0.640384	0.134973
n	0.00156092	0.000535255	0.00492533	0.0103586	0.0129595	0.365476	0.237071	0.108038	0.259075
d	0.00255282	0.00214269	0.00424374	0.0097879	0.0148811	0.339436	0.240297	0.0418747	0.344784
z	0.0013973	0.00230716	0.00274704	0.013123	0.0173906	0.225016	0.161477	0.0631522	0.51339
í	0.000124526	0.00347588	0.00196165	0.0297354	0.0112974	0.256123	0.182898	0.0969339	0.41745
í	0.000137041	0.000713812	0.00110116	0.0082891	0.00731121	0.0594831	0.0521444	0.0319374	0.838883
</S>	0.00164314	0.000703734	0.0048225	0.00468607	0.00432154	0.188077	0.234162	0.0336667	0.527917
