 	il	a	de	la	gale	partout	</S>
p	0.666196	0.152943	0.103848	0.0579501	0.0124214	0.0055179	0.00112308
á	0.305164	0.20564	0.1246	0.107339	0.107348	0.137967	0.0119418
n	0.0504743	0.154309	0.145152	0.210247	0.212135	0.0114048	0.216277
d	0.258495	0.239886	0.191145	0.0968763	0.131272	0.021771	0.0605544
á	0.364759	0.401686	0.0978487	0.0261344	0.0454605	0.0152151	0.0488957
é	0.255945	0.18497	0.270813	0.176435	0.0616218	0.0101358	0.0400785
m	0.0329248	0.1527	0.294132	0.292088	0.18786	0.0127288	0.0275671
i	0.0353087	0.104575	0.167801	0.374118	0.213167	0.015196	0.0898343
p	0.00667477	0.0674418	0.209474	0.410868	0.195681	0.0213583	0.0885019
f	0.00208519	0.059423	0.227377	0.276057	0.242999	0.0572493	0.134809
ú	0.00244128	0.0379157	0.194377	0.313543	0.204504	0.0426155	0.204604
á	0.0285892	0.0345122	0.169461	0.406862	0.206588	0.0736006	0.080387
w	0.00755062	0.0202709	0.0799649	0.272252	0.491689	0.054587	0.0736861
a	0.0238004	0.0192225	0.154333	0.312987	0.372178	0.0428146	0.0746648
n	0.00546048	0.00918853	0.041779	0.128296	0.362269	0.220112	0.232895
d	0.00734118	0.0131596	0.0158815	0.0238018	0.441723	0.396682	0.101411
z	0.000820901	0.00252157	0.0039736	0.00686294	0.176665	0.633838	0.175318
ó	0.000172509	0.00134143	0.00501947	0.012147	0.157271	0.658201	0.165848
r	0.00155475	0.0122248	0.0467544	0.0448224	0.0808008	0.267037	0.546806
o	0.00187076	0.00687396	0.0426652	0.0730948	0.0631764	0.187752	0.624567
é	0.00329535	0.00982193	0.0378793	0.0590529	0.0824546	0.0651788	0.742317
t	0.0118763	0.0420425	0.0540125	0.0577681	0.141952	0.24416	0.448188
s	0.00683904	0.0256867	0.0521966	0.0554566	0.165134	0.273845	0.420842
ω	0.0020507	0.0040421	0.0244292	0.0508469	0.168363	0.407777	0.342491
</S>	0.000320032	0.00128036	0.0075494	0.0152893	0.0437742	0.0546228	0.877164
