 	saupoudre	ce	poisson	d'	un	peu	de	sel	</S>
m	0.41666	0.230974	0.051242	0.0568625	0.0308129	0.0237559	0.187645	0.00142385	0.000623699
w	0.345356	0.180765	0.221906	0.0751408	0.02625	0.0219795	0.0312467	0.00589109	0.0914655
a	0.940781	0.0355983	0.0170714	0.00184289	0.00189936	0.000582006	0.000178696	0.00133581	0.000710709
á	0.182029	0.108565	0.218691	0.034437	0.0315154	0.0232912	0.0117734	0.0179666	0.371731
s	0.207963	0.5507	0.123053	0.0352278	0.012025	0.0150403	0.0107414	0.00302059	0.0422288
w	0.0230406	0.33078	0.449428	0.0515688	0.0212836	0.0225688	0.0105934	0.00244343	0.0882932
é	0.00735995	0.278033	0.499671	0.0757182	0.0198723	0.0196873	0.0319148	0.00308339	0.0646607
w	0.0168632	0.205949	0.496691	0.117444	0.0478843	0.0346097	0.0507287	0.00466878	0.0251619
ú	0.0517376	0.283058	0.199044	0.130895	0.0656066	0.0621618	0.0534694	0.0213029	0.132724
u	0.0174269	0.10333	0.133831	0.302493	0.216011	0.0880508	0.0790548	0.0247286	0.0350744
b	0.00730928	0.0328139	0.0276944	0.22057	0.243153	0.170855	0.197487	0.0604254	0.0396919
e	0.0412067	0.172582	0.180375	0.143891	0.211317	0.122564	0.0459938	0.0208453	0.0612247
á	0.00657954	0.0200849	0.0328446	0.0717511	0.148651	0.164372	0.108299	0.151509	0.29591
b	0.000438838	0.0035271	0.0190815	0.0853283	0.107958	0.196379	0.353229	0.0580635	0.175995
ó	0.00429486	0.0174574	0.0466904	0.137014	0.186715	0.163154	0.192558	0.0081638	0.243952
k	0.00102723	0.00691711	0.0298076	0.134536	0.122488	0.127057	0.309932	0.0229196	0.245316
w	0.00106475	0.00574566	0.0183675	0.0710097	0.125336	0.217339	0.162524	0.321362	0.0772516
á	0.0062506	0.00784852	0.0315146	0.0432451	0.122871	0.143964	0.0561723	0.436597	0.151538
</S>	0.000622641	0.0021719	0.0112783	0.0139129	0.0274259	0.0712513	0.0385546	0.470551	0.364232
