 	les	enfants	guettent	le	fou	dans	sa	maison	</S>
b	0.351141	0.645393	0.000455919	0.000372773	0.000317067	0.00042605	0.00178093	6.20514e-05	5.13008e-05
á	0.0447693	0.954445	0.000178506	0.000123557	4.89894e-05	5.65313e-05	0.000320001	5.15117e-05	6.75079e-06
n	0.207859	0.789706	0.000695281	0.000323808	0.000118477	0.000137961	0.000257784	0.000424061	0.000477677
a	0.22499	0.757713	0.0021633	0.000995227	0.000185033	0.000474793	0.000863676	0.00370447	0.00891037
b	0.315175	0.19628	0.277777	0.0811117	0.0172492	0.0348123	0.0173595	0.00352719	0.0567076
á	0.131724	0.160428	0.220145	0.275291	0.0413429	0.0762426	0.0297118	0.00675488	0.0583594
a	0.125094	0.118101	0.540598	0.0772842	0.0221259	0.017803	0.007381	0.00655981	0.0850526
l	0.0010896	0.000925934	0.924835	0.0400389	0.0193621	0.00493632	0.000526012	0.000670427	0.00761611
é	0.00181463	0.000351443	0.832066	0.0598131	0.0552913	0.0143208	0.000925456	0.000731809	0.0346854
n	0.126427	0.00118881	0.665293	0.105837	0.0364439	0.0161243	0.00180172	0.00159867	0.0452855
á	0.070817	0.00385896	0.676757	0.170388	0.0325317	0.0108913	0.0046296	0.00722997	0.0228966
á	0.0296868	0.00477989	0.209806	0.493315	0.137977	0.0525022	0.0397307	0.0156566	0.0165455
e	0.0159797	0.00242608	0.0852357	0.351566	0.339509	0.11857	0.0534644	0.0240504	0.00919825
b	0.00139414	0.000939593	0.0327758	0.180541	0.687109	0.0819778	0.00370847	0.00623426	0.00532071
h	0.00813686	0.00277507	0.0280746	0.0746874	0.813736	0.0655023	0.00311406	0.000520136	0.00345339
ó	0.00199586	0.000487749	0.0609928	0.119006	0.727448	0.0770224	0.00360694	0.000366424	0.00907349
a	0.00207684	0.000144529	0.0131404	0.10688	0.51221	0.312045	0.0271593	0.00166929	0.0246753
s	0.00177291	6.77878e-05	0.0079994	0.117427	0.227255	0.52661	0.0673829	0.00432288	0.0471622
á	0.0102439	4.90567e-05	0.00564196	0.0671668	0.181142	0.354193	0.186034	0.0236625	0.171867
n	0.0143587	0.00104421	0.00198955	0.0137655	0.0421016	0.208889	0.419441	0.285653	0.0127571
d	0.00322559	0.000228134	0.00199617	0.00422808	0.00203522	0.0176204	0.113652	0.851951	0.00506334
é	0.000211082	8.19616e-05	0.000183208	0.000607312	0.000843839	0.00851103	0.0253293	0.961485	0.0027472
e	0.000346633	0.000143745	0.00671039	0.0542891	0.0467257	0.196964	0.126603	0.327279	0.240938
y	0.000607923	2.12522e-05	0.0017407	0.033701	0.027529	0.197841	0.229506	0.0701267	0.438926
á	0.0075997	6.98583e-05	0.00167371	0.0339356	0.0342375	0.213363	0.458827	0.0554913	0.194802
w	0.00187961	0.000429396	0.00527117	0.0287473	0.0286753	0.14582	0.628718	0.0724369	0.0880225
a	0.0032834	0.00154608	0.00533847	0.0261124	0.0506906	0.215942	0.318888	0.262987	0.115212
</S>	0.000395408	4.36164e-05	0.000987508	0.00820189	0.0203446	0.173439	0.24586	0.118615	0.432113
