 	je	ne	veux	pas	aller	en	forêt	avec	toi	parce	que	tu	es	ennuyeux	</S>
n	0.534877	0.0916922	0.0177333	0.114869	0.0130265	0.0656198	0.113531	0.0214637	0.0146871	0.00335095	0.00486984	0.00163683	0.000809723	0.00167349	0.000159782
g	0.992278	0.00567974	4.47942e-05	0.000254651	0.00011735	0.000204541	0.000123675	6.29389e-05	0.00069828	3.88597e-05	0.00013087	0.000218784	2.03266e-05	0.000114592	1.21769e-05
á	0.98507	0.0126666	0.000409744	0.000301213	0.000457286	0.000141595	0.00010058	3.34584e-05	0.000246077	5.55545e-05	9.43581e-05	0.000248415	5.50579e-05	0.000117599	2.20746e-06
i	0.0737195	0.42246	0.0385014	0.0499376	0.0714284	0.0259873	0.0162133	0.00813671	0.0131556	0.0161925	0.031753	0.033672	0.0311481	0.0493373	0.118357
d	0.00793659	0.0969198	0.608264	0.0386869	0.0726494	0.0116748	0.00574542	0.00220029	0.00415874	0.00805608	0.011962	0.0282389	0.0357586	0.0268687	0.0408801
i	0.0185165	0.359851	0.439662	0.0117316	0.033713	0.00348721	0.00175118	0.00551782	0.00784931	0.0156626	0.0120543	0.0126476	0.0117269	0.00310192	0.0627265
p	0.00809743	0.125708	0.445272	0.185132	0.0506508	0.0250639	0.00865259	0.00807338	0.00525273	0.00820197	0.00948532	0.00510495	0.0279852	0.00666453	0.0806554
ó	0.00765392	0.0761008	0.503407	0.105162	0.0451119	0.0277527	0.0470211	0.012954	0.0158686	0.0509936	0.0214736	0.0159367	0.0247936	0.0166655	0.0291048
s	0.00302924	0.0724462	0.413915	0.225074	0.0743086	0.0393888	0.0505493	0.0179266	0.0109592	0.0187617	0.0151554	0.0113708	0.0158968	0.00306434	0.0281541
á	0.000727251	0.0164067	0.428349	0.269587	0.0545874	0.0587806	0.0506933	0.0210046	0.0126563	0.0113522	0.0121405	0.00847496	0.0210824	0.00681719	0.0273412
o	0.00904446	0.0386126	0.0227089	0.131567	0.203315	0.168793	0.162542	0.124132	0.0729406	0.0288851	0.0146543	0.00612359	0.00423294	0.00646558	0.00598401
d	5.96186e-05	0.00591563	0.0321674	0.146515	0.74192	0.0430131	0.0145823	0.00646928	0.00145997	0.000677983	0.000262767	0.000542929	0.00110065	0.00123166	0.00408131
z	0.000430612	0.0111151	0.0622956	0.212303	0.621097	0.0362848	0.00896767	0.00791497	0.00123346	0.00202214	0.000648973	0.00066892	0.00262576	0.0109002	0.0214915
w	0.00143184	0.0312694	0.0543719	0.0856096	0.782024	0.0167278	0.0069351	0.00505402	0.00179922	0.00260435	0.000590935	0.000983142	0.00295044	0.00151882	0.00612941
á	0.000148235	0.0124298	0.0225066	0.0847434	0.190058	0.207428	0.101668	0.0872517	0.0425077	0.0195743	0.0113839	0.00556111	0.018124	0.0114436	0.185172
k	0.00131386	0.0121643	0.00387983	0.0431177	0.137072	0.315397	0.0950179	0.194434	0.128058	0.0243036	0.0110679	0.00576105	0.00536556	0.00796211	0.0150857
ω	0.000258764	0.00112615	0.0059016	0.0545577	0.0349483	0.14009	0.469079	0.0945225	0.0947307	0.0446748	0.0113462	0.00794946	0.00520302	0.012174	0.0234379
l	4.67365e-05	0.000334953	0.00132534	0.0388021	0.0114279	0.101965	0.559891	0.0832369	0.047118	0.0272748	0.015819	0.0145012	0.013868	0.0384143	0.045974
a	0.000170607	0.000735214	0.00175256	0.0229571	0.0236288	0.0825162	0.364033	0.0801914	0.0808096	0.0531821	0.0375978	0.0416874	0.0297836	0.0240833	0.156871
n	8.08519e-05	0.00179137	0.00137791	0.01434	0.0251919	0.122728	0.106496	0.41702	0.136773	0.090623	0.0328317	0.00891767	0.00641327	0.00440345	0.0310121
ω	0.00426375	0.0116152	0.00158874	0.00669774	0.0162963	0.0269092	0.0376283	0.0744944	0.418792	0.0799707	0.0718083	0.100952	0.0150518	0.00759797	0.126334
k	0.000332679	0.00233084	0.000852573	0.00313209	0.0127097	0.0225116	0.0665189	0.142148	0.173643	0.251996	0.158386	0.105951	0.0224588	0.00442039	0.0326089
a	0.000277324	0.00269217	0.0102192	0.0442892	0.0114873	0.0508553	0.289722	0.152443	0.108618	0.185143	0.0648261	0.0246796	0.016651	0.00232059	0.0357755
