 	il	est	trop	bon	</S>
w	0.807549	0.125087	0.0487625	0.01494	0.00366164
a	0.762195	0.0751255	0.0663913	0.092481	0.00380755
a	0.140442	0.655354	0.165334	0.0144534	0.0244163
p	0.101608	0.354906	0.371494	0.0601704	0.111822
é	0.0115092	0.162864	0.342338	0.101593	0.381696
n	0.0153229	0.106417	0.476485	0.262587	0.139189
d	0.0999456	0.155271	0.301949	0.236236	0.206598
í	0.245376	0.326482	0.260215	0.0574506	0.110477
ω	0.077889	0.0523187	0.116704	0.419846	0.333242
b	0.00437063	0.0256935	0.0969222	0.820327	0.0526861
v	0.00526137	0.0356313	0.116962	0.764303	0.0778418
έ	0.00542141	0.0472659	0.181429	0.706981	0.058903
</S>	0.000348062	0.0120243	0.0514455	0.148074	0.788108
