 	il	a	allumé	son	briquet	pour	mettre	feu	à	la	brousse	</S>
w	0.832614	0.154952	0.000732222	0.00155582	0.00383883	0.00180306	0.00307258	0.000547809	0.000235375	0.000564381	7.52036e-05	9.06737e-06
a	0.840069	0.142423	0.000722779	0.0017198	0.00161465	0.00507884	0.0059805	0.00114485	0.000272221	0.000819159	0.000152128	3.11672e-06
á	0.230681	0.649487	0.0489941	0.0242542	0.00874901	0.0154881	0.0064689	0.00523541	0.00490468	0.00381774	0.000962767	0.000957534
m	0.0390604	0.622041	0.221763	0.0435415	0.0111889	0.0101024	0.00459333	0.0125073	0.0146342	0.00884399	0.00175421	0.00996993
i	0.0155506	0.120033	0.684627	0.0542087	0.02242	0.0276696	0.0124798	0.0224129	0.012961	0.00317841	0.000257507	0.0242021
n	0.00538911	0.0302721	0.926102	0.0253833	0.00460143	0.00146835	0.000695522	0.00117423	0.0013143	0.000397236	8.53587e-05	0.00311709
a	0.0036988	0.0377435	0.927119	0.0102455	0.00620111	0.00285623	0.00169331	0.001396	0.00197871	0.000496552	0.000219522	0.00635147
m	0.00845748	0.0487735	0.127499	0.4194	0.160209	0.0807516	0.0389792	0.0246668	0.0239856	0.0134379	0.00399197	0.049848
í	0.0424561	0.0214157	0.0623976	0.134503	0.378791	0.23615	0.0358627	0.0631581	0.0096946	0.00460126	0.000202981	0.0107667
s	0.00938522	0.0209681	0.0727838	0.225128	0.461218	0.0793249	0.0443827	0.0417645	0.0229103	0.00476566	0.00250968	0.0148594
á	0.00167317	0.00371785	0.0104618	0.0973515	0.655978	0.105745	0.04972	0.0299278	0.0152867	0.00605992	0.00528908	0.0187889
m	0.00443834	0.00340812	0.00322078	0.0512483	0.449068	0.16203	0.142755	0.0809194	0.0285377	0.019527	0.023091	0.0317563
o	0.00114114	0.000462426	0.00516419	0.162573	0.442211	0.169895	0.0420761	0.112316	0.0188504	0.00565142	0.000603791	0.0390553
r	0.000446396	0.00194583	0.00846511	0.0908066	0.782437	0.041369	0.0187691	0.00726103	0.0142221	0.00303884	0.00283074	0.0284085
é	0.00208577	0.00161644	0.00755258	0.0544909	0.650088	0.118656	0.0976185	0.0287693	0.0106011	0.00373107	0.00286507	0.0219261
m	0.00485282	0.0156813	0.0104497	0.174363	0.263305	0.330549	0.0734831	0.0790817	0.0171302	0.00656974	0.00199282	0.0225413
á	0.00132699	0.00102197	0.00072652	0.0868414	0.187171	0.390509	0.0979685	0.137366	0.0318405	0.0172864	0.00107463	0.0468668
w	0.0149296	0.0125797	0.00140456	0.0228954	0.298503	0.254417	0.250469	0.0671893	0.0257989	0.0105792	0.0295069	0.0117275
a	0.023359	0.00430955	0.000628508	0.0245753	0.166901	0.190641	0.279603	0.122763	0.0901811	0.0351124	0.0229598	0.0389658
m	0.00122436	0.000873108	0.000421693	0.0225502	0.196809	0.290995	0.181818	0.0904654	0.0536061	0.0407876	0.0407906	0.0796585
á	0.00101496	0.000644041	0.00013905	0.0137268	0.140515	0.362773	0.155091	0.219139	0.0494239	0.0410956	0.000956942	0.0154795
m	0.00130261	0.00333589	0.00227228	0.0221717	0.0720361	0.304426	0.377448	0.131777	0.0444404	0.0188916	0.0114702	0.0104281
í	0.00059002	0.000570778	0.000288371	0.00176332	0.0470571	0.300314	0.19274	0.319702	0.0758179	0.033426	0.00131451	0.0264164
á	0.000515104	0.00151755	0.000500326	0.00501684	0.0450598	0.2953	0.334942	0.181345	0.0788925	0.0232354	0.0217731	0.011902
m	0.00031678	0.000808695	0.00140484	0.00519952	0.0067096	0.0864345	0.145996	0.394703	0.209577	0.0846444	0.0178824	0.0463231
ó	0.000482439	0.00152442	0.000780025	0.0040769	0.0260717	0.172659	0.179423	0.396317	0.137557	0.0568277	0.00622614	0.0180542
i	0.000307102	0.00160997	0.00131494	0.00783871	0.0216065	0.106621	0.30487	0.102083	0.173886	0.0760486	0.194531	0.0092833
t	0.000116469	0.00131725	0.00312836	0.0122723	0.00964014	0.042444	0.112617	0.0819589	0.48068	0.118549	0.0890626	0.0482135
u	6.16106e-05	0.00090203	0.00147343	0.015936	0.0194178	0.0431694	0.155829	0.0494423	0.469673	0.0881818	0.115745	0.0401683
m	0.000251362	0.000240198	0.000126663	0.0130056	0.0487597	0.0761894	0.281291	0.0418906	0.282295	0.0862225	0.0605402	0.109188
b	0.00139987	9.81967e-05	9.586e-06	0.000943205	0.0280655	0.102679	0.487867	0.143926	0.104532	0.0808442	0.0177753	0.0318603
a	0.00183676	9.61588e-05	4.4476e-05	0.00172671	0.0496612	0.0908456	0.532378	0.0964414	0.100941	0.0353681	0.022724	0.0679367
l	0.000128737	0.000138165	1.94856e-05	0.00324117	0.00252284	0.0408444	0.0903695	0.138714	0.176155	0.327913	0.0832512	0.136703
á	0.00032733	0.000308816	0.000124283	0.00168211	0.00336715	0.0251525	0.0538972	0.0615882	0.240708	0.130388	0.158043	0.324414
k	0.000955585	0.00119249	0.000173105	0.00337009	0.0064892	0.0651606	0.0573352	0.0438313	0.0808402	0.22773	0.464199	0.0487242
ώ	6.06219e-05	5.95012e-05	1.29473e-05	0.000602293	0.00122196	0.00475875	0.035531	0.00828909	0.0543623	0.038785	0.832131	0.0241859
</S>	3.37514e-05	1.34678e-05	2.74803e-06	0.00021564	0.000714949	0.00155892	0.0107796	0.0022202	0.0224085	0.0197109	0.906238	0.0361038
