 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
w	0.962314	0.00398433	0.00634717	0.00819742	0.00655473	0.0066167	0.00147202	0.00442705	6.14671e-05	2.5439e-05
a	0.891304	0.0165349	0.0501367	0.00800726	0.00812139	0.0154982	0.000421649	0.00965806	0.000240175	7.80935e-05
l	0.658019	0.133083	0.0565514	0.0386029	0.0293943	0.0218611	0.0224787	0.00854797	0.00291237	0.0285491
á	0.149267	0.0372181	0.174385	0.0453881	0.0863728	0.1109	0.0325459	0.0219536	0.0228466	0.319123
a	0.285952	0.107065	0.173542	0.0420712	0.0445105	0.106461	0.0237386	0.0187676	0.083676	0.114215
s	0.0246018	0.948407	0.0134754	0.00243763	0.00167597	0.000933905	0.000714808	0.000185121	0.000466846	0.00710174
i	0.00122741	0.995946	0.00127676	0.00024902	0.000178151	7.61312e-05	4.79957e-05	1.95872e-05	0.000166716	0.000811965
á	0.176761	0.627677	0.142921	0.028063	0.0103926	0.00270177	0.00228655	0.000194738	0.000332051	0.00866943
t	0.0239342	0.0782927	0.489197	0.294512	0.0645814	0.0237711	0.00640511	0.00551747	0.00797165	0.0058167
s	0.00755899	0.0148744	0.105663	0.76656	0.0494383	0.00895119	0.0209582	0.00115374	0.00507485	0.0197673
a	0.000456021	0.035249	0.0826839	0.724409	0.113269	0.0109371	0.0147382	0.00283965	0.00704972	0.00836844
n	0.00174995	0.0142823	0.0895366	0.649815	0.139361	0.0235822	0.00695595	0.00655069	0.00842611	0.0597406
g	0.00299283	0.0149904	0.212203	0.435479	0.169625	0.0548353	0.0130377	0.00661623	0.0128477	0.0773728
í	0.000661987	0.000669837	0.0415568	0.711942	0.129746	0.0252378	0.0182088	0.00437641	0.0191626	0.0484376
m	0.00580765	0.0031642	0.357386	0.101564	0.361762	0.10151	0.014763	0.00666057	0.00215518	0.0452275
ó	0.00839067	0.00136701	0.152577	0.0723454	0.227173	0.371926	0.0175732	0.0647577	0.00623417	0.0776568
n	0.00904328	0.00582147	0.122687	0.0601419	0.357844	0.245105	0.134416	0.0121359	0.0312066	0.0215992
g	0.000703074	0.000577077	0.0409825	0.0449102	0.25736	0.250889	0.237703	0.0183673	0.0942738	0.0542337
ω	0.000135755	0.000336298	0.00738361	0.0525723	0.123592	0.147073	0.561837	0.0134246	0.0794093	0.0142361
n	3.69289e-06	3.88122e-05	0.00300963	0.0522804	0.0542642	0.0294873	0.770859	0.013427	0.0615201	0.0151099
g	0.000268438	0.000128296	0.00440328	0.0345757	0.0937937	0.132834	0.582106	0.0200977	0.0278262	0.103966
ω	3.38714e-05	8.35098e-06	0.00466239	0.155379	0.190579	0.138432	0.454269	0.0123111	0.0171549	0.0271704
a	0.000418732	0.000270398	0.0213631	0.011081	0.137905	0.353979	0.198055	0.20035	0.0188845	0.0576928
k	0.00404738	0.00671525	0.0503338	0.00672247	0.10082	0.218948	0.11596	0.305405	0.106876	0.0841721
u	0.00278627	0.00579933	0.0820667	0.0294282	0.0881637	0.11402	0.237239	0.115796	0.0938566	0.230844
s	0.000133112	0.000569067	0.0232011	0.0172256	0.0991461	0.182569	0.197946	0.056524	0.102436	0.320249
a	0.000354278	0.000987911	0.00828719	0.0399395	0.0732814	0.194219	0.386313	0.141195	0.0622245	0.0931977
</S>	4.49923e-05	9.31691e-05	0.00754954	0.00213814	0.0265707	0.112504	0.0622295	0.405984	0.0617513	0.321135
