 	fais-moi	sécher	ces	poissons	</S>
b	0.88129	0.0505403	0.0615652	0.00566656	0.000938192
h	0.601238	0.279222	0.0582578	0.056106	0.00517676
i	0.738943	0.0838944	0.0658769	0.0940481	0.0172379
r	0.670327	0.255433	0.0545018	0.00778316	0.0119547
í	0.291869	0.51255	0.0675285	0.00252097	0.125532
s	0.16825	0.615389	0.168912	0.00515645	0.0422923
á	0.0658286	0.615046	0.142138	0.021152	0.155835
n	0.0620964	0.8312	0.0622751	0.0308062	0.0136218
g	0.015642	0.968966	0.00935572	0.00141733	0.00461884
á	0.0210872	0.886353	0.0501794	0.00711496	0.0352651
a	0.0424009	0.306156	0.551196	0.0494269	0.0508196
s	0.0415261	0.101518	0.705143	0.116657	0.0351567
w	0.00498759	0.104252	0.321594	0.296201	0.272965
é	0.00232083	0.0614562	0.190655	0.511865	0.233703
b	0.00699711	0.0571576	0.200975	0.327166	0.407705
έ	0.0558973	0.235761	0.361786	0.122939	0.223617
ε	0.0118111	0.360909	0.190926	0.0821105	0.354244
</S>	0.00125965	0.00503995	0.0856983	0.140844	0.767158
