 	les	uns	sont	allés	à	la	pêche	et	les	autres	au	village	</S>
b	0.414607	0.542519	0.0240511	0.00071017	0.00449961	0.00295905	0.000421888	0.00283859	0.00344698	0.00204297	0.00180317	5.5091e-05	4.48487e-05
a	0.234253	0.719296	0.0126844	0.000510534	0.00353804	0.00112318	0.000196345	0.00153864	0.00273499	0.018766	0.00494989	0.000254401	0.000154735
n	0.286814	0.690536	0.00465845	0.000882325	0.00133031	0.00084699	0.000132904	0.000739935	0.00324808	0.00975177	0.000745712	8.15287e-05	0.000232387
á	0.777295	0.114798	0.00930444	0.0124675	0.011016	0.00648437	0.00164007	0.00311849	0.0234808	0.0204002	0.0074882	0.000225497	0.0122812
á	0.123196	0.0196027	0.744613	0.0170601	0.0275334	0.00932947	0.00242371	0.0123848	0.00381019	0.00689673	0.017469	0.000328147	0.0153527
m	0.0208534	0.00266793	0.554345	0.133229	0.0923966	0.0816642	0.014154	0.0218382	0.0172907	0.00536104	0.0367399	0.00622563	0.0132344
i	0.0031233	0.000550906	0.111663	0.549934	0.158113	0.102743	0.0260098	0.00536588	0.00728008	0.0149076	0.00631576	0.00029596	0.0136974
d	0.000404066	8.17485e-05	0.00909283	0.790674	0.0553025	0.0497953	0.0822735	0.00152019	0.0015114	0.00112963	0.00135472	0.00124202	0.00561829
z	0.000231521	3.3818e-05	0.000835036	0.807456	0.0331806	0.0431288	0.0869266	0.00159238	0.0042696	0.00294897	0.000811335	0.000744996	0.01784
w	0.000179001	0.000107263	0.0030868	0.958281	0.00929184	0.016616	0.00593232	0.000343106	0.00279697	0.00044609	8.90163e-05	0.000196224	0.00263431
á	0.00112848	0.00014149	0.0230395	0.372672	0.119442	0.159044	0.101725	0.0674849	0.0445832	0.00676529	0.0397124	0.00128757	0.0629739
i	0.00273939	8.14849e-05	0.00489798	0.0565583	0.173388	0.423785	0.128658	0.0633033	0.101538	0.0148293	0.0175894	0.00392068	0.00871097
l	0.000989514	0.000697074	0.00229696	0.0296618	0.0579004	0.181663	0.54929	0.0575086	0.0471739	0.0399072	0.0110464	0.00879378	0.0130713
ώ	0.000730404	0.000203239	0.00170153	0.0200896	0.0421272	0.19494	0.493984	0.093113	0.0844671	0.0206141	0.0179854	0.00682075	0.0232234
b	0.000170012	5.62939e-05	0.00532417	0.0232569	0.0448485	0.112185	0.539321	0.129773	0.0637257	0.0257768	0.0193564	0.00571457	0.0304921
h	0.00970374	0.00429534	0.0164721	0.027877	0.0703291	0.113175	0.237636	0.247379	0.112481	0.0167477	0.109534	0.013032	0.0213385
ω	0.00708665	0.00344745	0.00415914	0.0308238	0.0747121	0.0830833	0.125583	0.307552	0.154948	0.0348338	0.0709188	0.00502722	0.0978253
a	0.00113907	4.98916e-05	0.00203729	0.000903082	0.0205656	0.0432353	0.0231638	0.448109	0.211828	0.0571312	0.167432	0.0091082	0.0152971
s	0.00250603	8.19085e-05	0.00937375	0.00292727	0.0289236	0.039152	0.0170561	0.208756	0.155015	0.200964	0.253784	0.0404671	0.0409931
ú	0.00183079	1.43208e-05	0.00579878	0.015993	0.0387031	0.0981129	0.034716	0.0741176	0.288694	0.126607	0.164821	0.0253461	0.125245
s	0.000173648	3.29463e-05	0.000628244	0.00293996	0.00614906	0.0446037	0.00502053	0.102637	0.451174	0.192521	0.123824	0.0217788	0.0485173
u	0.000680433	3.59466e-05	0.000414188	0.00526243	0.00550374	0.0397928	0.00665704	0.0934132	0.582517	0.0464614	0.128507	0.0397609	0.0509936
á	0.00135444	1.98594e-05	0.00277483	0.00198574	0.00983745	0.0241752	0.00718917	0.152378	0.168761	0.147901	0.243129	0.0723093	0.168185
d	0.00431896	4.7752e-05	0.0109734	0.0126747	0.0377126	0.0389288	0.0146062	0.0517712	0.077275	0.103905	0.34698	0.103001	0.197806
z	0.000164797	4.72677e-06	0.000755999	0.00468057	0.00800925	0.0134961	0.00537152	0.0173203	0.0514696	0.0525654	0.158982	0.0104926	0.676687
w	0.000448665	0.00011119	0.0015092	0.0832432	0.00843566	0.0314402	0.00364312	0.0155597	0.248908	0.0331462	0.0748426	0.194605	0.304108
e	0.00187544	6.64212e-05	0.00116424	0.0361529	0.0109489	0.0391939	0.00261972	0.0250979	0.350334	0.0597274	0.142083	0.0274806	0.303256
p	0.000241692	3.0798e-06	0.0004912	0.001138	0.00576387	0.0139477	0.00338079	0.0692168	0.0889391	0.081543	0.192952	0.0153096	0.527073
o	0.00047365	0.000335543	0.000331619	0.000678487	0.00132445	0.00174562	0.00480875	0.00890309	0.00892159	0.00261138	0.0431837	0.808707	0.117975
o	0.000338211	2.67323e-05	0.000255318	0.00282504	0.00159631	0.00368113	0.0106021	0.0117634	0.0156545	0.00331056	0.0288251	0.345247	0.575875
</S>	0.000952164	5.65366e-06	0.00254477	0.0047881	0.0246934	0.0282578	0.0250945	0.0450862	0.0277784	0.017999	0.148338	0.0263962	0.648066
