 	j'	ai	attrapé	un	grillon	mâle	hier	dans	la	nuit	</S>
n	0.891895	0.0381921	0.00639213	0.0192383	0.0321393	0.00409453	0.00134644	0.00136866	0.00340887	0.00176174	0.00016332
g	0.981036	0.0141661	0.000103285	0.00191784	0.00197268	4.35003e-06	1.5706e-05	0.000144246	0.000589519	3.48553e-05	1.54579e-05
á	0.957829	0.0389221	0.00140436	0.000880557	0.000331895	4.90835e-05	0.000124435	0.000219909	0.000176266	5.77275e-05	4.7823e-06
í	0.229169	0.430733	0.0314336	0.0962833	0.0687621	0.0093295	0.0124882	0.0195988	0.0404555	0.0148303	0.0469167
p	0.00840206	0.336745	0.637561	0.00554375	0.00219405	0.00109085	0.00285913	0.0020021	0.000949354	0.000322188	0.00233097
i	8.7089e-05	0.0122216	0.92721	0.00905841	0.00930708	0.0158909	0.0135201	0.00185672	0.000916524	0.00375483	0.00617698
i	0.000464129	0.0301977	0.776347	0.100904	0.0474942	0.0280791	0.0101237	0.00332374	0.000975511	0.00051959	0.00157129
o	0.0225645	0.0768751	0.040164	0.379032	0.37794	0.0260393	0.0169664	0.0266243	0.0137327	0.00309037	0.0169714
y	0.00047841	0.0226162	0.272127	0.248091	0.176691	0.151245	0.086263	0.0233629	0.00529961	0.00380078	0.0100252
ε	0.0014096	0.0238224	0.187414	0.0870485	0.496809	0.106534	0.0295464	0.0151449	0.00552471	0.00331481	0.0434312
έ	0.000103981	0.00281967	0.0142582	0.171803	0.525819	0.0288902	0.0107224	0.0329694	0.0235347	0.00229401	0.186785
y	0.000230353	0.0120156	0.00685836	0.375588	0.458692	0.0471114	0.0222086	0.0317832	0.021229	0.00266537	0.0216185
i	0.000222752	0.00736	0.0486843	0.137888	0.417793	0.19625	0.0650126	0.0358873	0.0235941	0.0113698	0.0559382
l	0.000575882	0.00483578	0.00554571	0.12354	0.346068	0.359153	0.0664301	0.0235626	0.0220049	0.0160763	0.0322083
a	0.000898007	0.00448548	0.00314298	0.0496219	0.0471682	0.49283	0.15705	0.05433	0.0230136	0.0243227	0.143137
p	6.54113e-05	0.000935304	0.00151213	0.028814	0.0490881	0.625138	0.209389	0.0221546	0.0121504	0.0309221	0.0198304
ó	4.16843e-05	0.000630786	0.0105992	0.0318388	0.0705743	0.507685	0.267559	0.0172359	0.0112223	0.0565075	0.0261055
a	5.36496e-05	0.000583688	0.0179327	0.0241188	0.0366373	0.349281	0.409893	0.0400623	0.0160185	0.0437013	0.0617181
l	5.78523e-05	0.00175715	0.00115947	0.0131057	0.00932837	0.0295349	0.123868	0.314617	0.305636	0.0980931	0.102843
a	0.00225824	0.00853685	0.0016786	0.00957915	0.00360009	0.0239598	0.0665887	0.128227	0.0969369	0.081331	0.577303
k	0.000928381	0.00185661	0.000272755	0.0117201	0.0098585	0.00975112	0.0365243	0.150196	0.302459	0.298407	0.178026
ó	2.54271e-05	0.000120996	0.000564096	0.00382081	0.00371669	0.0181298	0.0563276	0.0197827	0.0553469	0.828671	0.0134941
l	4.74682e-06	4.95164e-05	0.00104921	0.00134628	0.00176344	0.053385	0.138485	0.0335252	0.0390955	0.64638	0.084916
i	2.4776e-05	0.00025039	0.00133649	0.00701401	0.0100003	0.00942712	0.0449478	0.0891132	0.164389	0.494397	0.179101
</S>	0.000138222	0.000820993	0.000443903	0.00681874	0.00519437	0.00479388	0.0164625	0.113825	0.189451	0.196104	0.465948
