 	il	lui	arrache	son	couteau	</S>
w	0.89005	0.102556	0.00164289	0.00269684	0.00289184	0.000162084
a	0.841633	0.0791616	0.0036462	0.0589672	0.0161565	0.000435579
á	0.136363	0.801286	0.022913	0.0260899	0.0014496	0.0118985
p	0.0626298	0.516733	0.32668	0.0355498	0.0280031	0.0304039
i	0.0146136	0.159346	0.45917	0.0187494	0.0328995	0.315222
n	0.00779756	0.0778148	0.892635	0.00838953	0.00602981	0.00733372
y	0.102013	0.370671	0.346001	0.149243	0.0160831	0.015989
i	0.107838	0.317823	0.508447	0.0443351	0.00117581	0.0203809
i	0.321254	0.344436	0.0579672	0.214744	0.0383978	0.0232016
b	0.00953534	0.0406936	0.191736	0.235383	0.491291	0.0313606
á	0.00269756	0.00786887	0.137614	0.100059	0.742232	0.0095285
á	0.00457784	0.0321544	0.0825372	0.0735453	0.78764	0.0195448
l	0.0146717	0.0629081	0.039239	0.305666	0.404262	0.173252
á	0.0051992	0.0091598	0.0575903	0.180022	0.14119	0.606838
w	0.0235723	0.0158644	0.0155195	0.730912	0.0922087	0.121923
a	0.0522271	0.0577593	0.0175814	0.590517	0.201782	0.0801329
</S>	0.00577011	0.00321901	0.00358239	0.302264	0.113636	0.571528
