 	le	feu	est	ardent	</S>
m	0.659413	0.293919	0.0441442	0.00153165	0.000992622
í	0.0633198	0.874057	0.042271	0.00181106	0.0185409
á	0.472689	0.472373	0.0202887	0.0230214	0.0116279
í	0.113133	0.301566	0.517484	0.0114143	0.0564029
d	0.113481	0.284038	0.446629	0.110439	0.0454118
í	0.032474	0.170201	0.214471	0.0295656	0.553288
l	0.020689	0.0823692	0.27401	0.181669	0.441263
a	0.0339931	0.0786278	0.200938	0.171339	0.515102
p	0.0553124	0.138576	0.125597	0.485851	0.194664
á	0.00378314	0.00412559	0.0112094	0.946202	0.0346801
m	0.00510116	0.00418582	0.042496	0.9295	0.0187175
i	0.0641592	0.0607055	0.0927378	0.182329	0.600068
</S>	0.010658	0.0217373	0.178694	0.128168	0.660743
