 	itoua	ajoute	les	piquets	pour	consolider	sa	maison	</S>
i	0.921269	0.0125731	0.0154475	0.0257922	0.0135907	0.0027308	0.00853979	2.53463e-05	3.11182e-05
t	0.993352	0.00232269	0.00124325	0.00201711	0.000495906	0.000283769	8.30177e-05	6.85232e-06	0.000195555
u	0.984302	0.00631178	0.00353768	0.00351512	0.000989909	0.000603784	0.000266737	0.00013236	0.000340371
a	0.976701	0.0041534	0.00355602	0.0027624	0.00260645	0.00106987	0.000364858	0.000255096	0.00853069
l	0.352297	0.119979	0.0668692	0.0855346	0.0230022	0.0305595	0.00870064	0.00218046	0.310877
á	0.0789053	0.253048	0.0841986	0.0746274	0.0346927	0.04617	0.0266042	0.0176892	0.384065
a	0.022406	0.241434	0.23543	0.0688741	0.060064	0.0708493	0.074356	0.0608493	0.165738
n	0.0154145	0.926432	0.0403686	0.00720461	0.00240999	0.00324896	0.000286979	0.000484907	0.00414953
y	0.0342863	0.917454	0.026837	0.00442379	0.00243139	0.00606918	0.000413707	0.00556884	0.00251594
á	0.0496679	0.834928	0.092009	0.00590535	0.00716707	0.00323106	0.000540792	0.00379482	0.00275548
á	0.00718564	0.354849	0.421081	0.0942984	0.0407566	0.0239356	0.0183511	0.00771175	0.0318313
s	0.00118896	0.0872227	0.689048	0.151626	0.0347287	0.00831121	0.0198061	0.00255913	0.00550905
á	0.000817941	0.38095	0.388381	0.126821	0.0243251	0.00942319	0.0174519	0.0106863	0.0411428
i	0.000740252	0.0367232	0.470487	0.31041	0.0926617	0.0179828	0.0288875	0.0387627	0.00334474
s	0.00375214	0.131602	0.335146	0.37685	0.102232	0.0374477	0.00235679	0.00531231	0.00530131
u	0.00059984	0.0555642	0.261885	0.498125	0.122044	0.0352515	0.00986797	0.00403712	0.0126246
m	0.00017469	0.0177915	0.18998	0.583726	0.151473	0.0305551	0.0133233	0.00139791	0.0115794
ú	0.000193242	0.00957718	0.167652	0.325619	0.334268	0.0512813	0.0762593	0.0146499	0.0204992
m	0.000157751	0.0121398	0.0803356	0.233591	0.441633	0.133537	0.0386436	0.00795871	0.0520035
í	3.0981e-05	0.000388369	0.0163864	0.144372	0.449299	0.2606	0.0565738	0.0110798	0.0612695
b	0.000501944	0.00420857	0.0396901	0.148186	0.333977	0.364563	0.0483963	0.0438873	0.0165893
h	0.000178147	0.000809222	0.0132713	0.153131	0.317337	0.488622	0.0145853	0.00331935	0.00874707
á	0.000125071	0.00392409	0.0225614	0.0938593	0.207253	0.616715	0.0205198	0.00467626	0.0303658
m	3.16314e-05	0.00117812	0.0229922	0.192324	0.356611	0.225736	0.119771	0.0248329	0.0565224
b	2.00125e-05	2.73221e-05	0.0018929	0.0429832	0.306581	0.504629	0.123071	0.0114833	0.00931234
i	3.75745e-05	0.000464124	0.00305367	0.0260577	0.132066	0.781103	0.0295925	0.0100996	0.0175262
s	0.00019388	0.00185452	0.0167698	0.0792018	0.177275	0.51047	0.0693844	0.015571	0.12928
a	0.000603835	0.00347051	0.00803481	0.017318	0.184432	0.223751	0.148322	0.284472	0.129595
l	3.63332e-05	0.00127703	0.01116	0.0489812	0.146238	0.166494	0.199019	0.0466076	0.380186
á	0.000598496	0.00812137	0.0152412	0.0458045	0.153327	0.203715	0.138859	0.0893473	0.344986
n	0.000346205	0.00335561	0.0182247	0.0197213	0.07164	0.0996148	0.501135	0.23087	0.055092
d	2.75705e-05	0.00327798	0.00258045	0.00207212	0.0118779	0.0179271	0.0408389	0.915605	0.00579275
é	0.000265806	0.00209832	0.00128101	0.000818578	0.00472048	0.00825525	0.0282678	0.891963	0.0623294
e	0.000122503	0.00269896	0.00666409	0.00861492	0.0634905	0.0761749	0.080058	0.129531	0.632645
</S>	0.000205196	0.000806635	0.00602292	0.0147362	0.0653413	0.0856507	0.137111	0.02033	0.669796
