 	la	manière	dont	ils	gardent	cette	banque	le	combrioleur	ne	peut	oser	y	entrer	</S>
e	0.440243	0.453774	0.00637894	0.00227057	0.0176741	0.00830072	0.00622462	0.0103204	0.00140658	0.00241465	0.0229731	0.000602094	0.00713202	0.0145205	0.00576468
k	0.000879428	0.00799774	0.00565365	0.038636	0.742207	0.0294066	0.135818	0.00781896	0.00635369	0.000491736	0.00611353	0.00295484	0.0066921	0.00798942	0.000987942
y	0.00980745	0.00307084	0.00175755	0.0108772	0.767503	0.0121624	0.13068	0.00822354	0.00487386	0.00203141	0.0153872	0.0146812	0.00394164	0.0138247	0.00117763
έ	0.00161141	0.0396911	0.00805519	0.0276715	0.603908	0.102709	0.0934708	0.0335992	0.0104643	0.0050815	0.0213366	0.024118	0.0145329	0.0109459	0.00280433
έ	0.0299891	0.330702	0.174306	0.0120991	0.269571	0.0843517	0.0233302	0.0252915	0.0132805	0.00559536	0.0102309	0.00387267	0.00668363	0.00336068	0.00733577
l	0.0081383	0.0606444	0.0409865	0.00670102	0.172765	0.120382	0.0382444	0.0692839	0.0797266	0.0545622	0.0506156	0.0168821	0.0329268	0.0087179	0.239423
í	0.017525	0.0892509	0.0524345	0.00589274	0.119152	0.102507	0.0240733	0.0449842	0.038668	0.0720802	0.0366586	0.0148331	0.0479333	0.00300083	0.331005
y	0.0145571	0.32464	0.163093	0.0505249	0.161909	0.0989248	0.0134742	0.0256016	0.0293813	0.016782	0.0234012	0.00548466	0.0217234	0.012399	0.0381036
é	0.0258231	0.138692	0.35998	0.0048958	0.0878134	0.0455433	0.0158496	0.0291095	0.0433924	0.0453507	0.00854128	0.0135332	0.0232259	0.00140503	0.156845
é	0.0186513	0.284222	0.472741	0.0433116	0.0640378	0.0432931	0.00496156	0.00862083	0.0132503	0.00606023	0.000965997	0.000934976	0.0030776	0.00062417	0.0352477
k	0.00109406	0.00430391	0.0104617	0.0328845	0.758095	0.0975687	0.0316744	0.00873605	0.00247554	0.00387393	0.00380311	0.00317914	0.00621097	0.00337413	0.0322647
y	0.000306414	0.000995159	0.00145201	0.0142007	0.865229	0.0622914	0.0286274	0.006971	0.00182524	0.00295256	0.00370951	0.00121945	0.00188894	0.00165792	0.0066733
έ	7.60681e-05	0.000974078	0.00149833	0.0307577	0.817692	0.0793855	0.0312741	0.0162504	0.00463223	0.00262581	0.0039368	0.00214479	0.00154832	0.00174086	0.00546283
έ	0.00840489	0.052397	0.0842777	0.0426246	0.457066	0.160447	0.0120431	0.0185261	0.0028853	0.0201387	0.0198876	0.0099142	0.0165701	0.00469001	0.0901276
l	0.000976051	0.00672479	0.0253587	0.0749679	0.317577	0.204436	0.0155054	0.0361828	0.00954404	0.035011	0.0449698	0.00652181	0.0415169	0.03094	0.149767
έ	0.00655266	0.0142581	0.0947899	0.114958	0.24454	0.225318	0.0181361	0.07207	0.0133936	0.037911	0.0256104	0.0048035	0.0425585	0.0251808	0.0599185
b	0.0059346	0.0258887	0.18854	0.295866	0.119189	0.253981	0.0456837	0.0299527	0.0168271	0.00591073	0.00141569	0.000830553	0.00166438	0.00153573	0.00677966
á	0.00102182	0.00135615	0.0019271	0.756981	0.108589	0.0484598	0.0489995	0.0167912	0.00863881	0.00192313	0.00118092	0.000196569	0.000331813	0.00241142	0.00119228
a	0.000939642	0.00343341	0.00801102	0.721255	0.0594034	0.0404543	0.0329094	0.0361598	0.0183772	0.0103871	0.0181882	0.000499233	0.00469977	0.0164424	0.0288398
i	0.000232646	0.00149478	0.00349942	0.0159112	0.0878429	0.675858	0.11342	0.0562572	0.0111142	0.0102423	0.0115808	0.00128801	0.00372084	0.00221616	0.00532093
b	0.00183673	0.00356342	0.00132728	0.00187928	0.0780689	0.523964	0.232606	0.067205	0.00829531	0.0310388	0.0156226	0.00348442	0.00809185	0.00446487	0.0185511
ó	0.000555989	0.00219874	0.000237389	0.00909712	0.0404653	0.101132	0.698022	0.0855882	0.0232114	0.0108092	0.0185165	0.00139507	0.00142932	0.00534524	0.00199671
m	6.94076e-05	0.000141556	0.000206875	0.00377602	0.0860218	0.159825	0.601179	0.0738918	0.0272833	0.00999047	0.0205932	0.00126823	0.00229514	0.00277372	0.0106847
b	0.00906818	0.000579184	0.000716036	0.00342671	0.0233274	0.3878	0.350434	0.130905	0.0553783	0.0280863	0.00265217	0.000646636	0.000586704	0.000195221	0.00619805
o	0.0327296	0.0132147	0.0119399	0.0120422	0.0318341	0.0778353	0.487423	0.157008	0.139112	0.0238887	0.00335251	0.000199383	0.000276397	0.00031764	0.0088273
