 	le	ballon	rebondit	</S>
d	0.748549	0.250466	0.0007024	0.000282444
i	0.397363	0.558675	0.00736236	0.0365999
n	0.342613	0.612808	0.0320629	0.012517
g	0.18438	0.787529	0.0105013	0.0175893
a	0.494537	0.305857	0.0745682	0.125038
l	0.46909	0.173082	0.0764672	0.281361
í	0.198238	0.0598385	0.0700845	0.671839
i	0.514219	0.129869	0.186661	0.169251
d	0.0192062	0.00660778	0.919691	0.0544952
e	0.00851805	0.00992192	0.939355	0.0422047
n	0.0333097	0.0101868	0.664599	0.291904
d	0.0386195	0.0262305	0.372049	0.563101
a	0.0259925	0.0208409	0.214747	0.73842
</S>	0.0653393	0.0189906	0.0747799	0.84089
