 	j'	ai	un	abcès	à	la	cuisse	</S>
n	0.353804	0.135285	0.123951	0.30995	0.0449302	0.00961112	0.0212484	0.00122079
g	0.945938	0.0297295	0.00928954	0.00436253	0.00747914	0.00198025	0.00109725	0.000124078
á	0.905815	0.088513	0.00393309	0.000410553	0.000749893	0.00048134	7.7289e-05	2.01145e-05
i	0.0916602	0.460956	0.284927	0.0435645	0.0475401	0.0213971	0.0026088	0.0473462
d	0.0229684	0.171852	0.486087	0.132506	0.0256125	0.0386781	0.0587076	0.0635892
í	0.0793992	0.770853	0.103054	0.0107814	0.00646625	0.00660349	0.000166123	0.022677
l	0.0323028	0.126979	0.355274	0.22455	0.141465	0.0520652	0.000797777	0.0665652
a	0.0176841	0.14534	0.317092	0.11366	0.13684	0.0318069	0.000526619	0.23705
o	0.0282216	0.133596	0.335782	0.266536	0.145111	0.0269124	0.00160475	0.0622354
b	0.00128973	0.0450751	0.382161	0.33161	0.0961472	0.0461869	0.0491556	0.0483746
i	0.000233333	0.0168967	0.243814	0.545154	0.046305	0.0185477	0.121887	0.00716234
b	5.75507e-05	0.00678216	0.228325	0.575884	0.0424331	0.037067	0.0362465	0.0732052
h	0.000942868	0.010834	0.138386	0.447456	0.128779	0.064789	0.0526443	0.156169
a	0.00418113	0.0163456	0.129823	0.196341	0.106796	0.103046	0.0764953	0.366971
m	0.0012378	0.0164787	0.0339097	0.041406	0.496315	0.265239	0.044768	0.100646
ó	0.000967436	0.00569806	0.0115327	0.0101195	0.279055	0.246234	0.00416685	0.442226
ε	0.00494592	0.0146148	0.032568	0.0410486	0.255195	0.293216	0.28127	0.0771419
b	8.0613e-05	0.00232011	0.0115316	0.0172594	0.033887	0.127589	0.697427	0.109905
ε	9.56352e-05	0.00206681	0.00707623	0.0201835	0.0100944	0.0127	0.940445	0.00733881
l	5.52429e-05	0.000458218	0.0077937	0.0307708	0.0329044	0.0490542	0.712749	0.166214
ε	0.00161181	0.00185564	0.0301036	0.108204	0.0796334	0.0829316	0.399899	0.295761
</S>	0.00146815	0.00651316	0.0119573	0.0102883	0.0907255	0.127352	0.102302	0.649394
