 	adzoona	est	en	train	de	racler	avec	ses	dents	le	noyau	de	la	mangue	</S>
a	0.840098	0.0377093	0.0703903	0.00557244	0.0210058	4.63952e-05	0.00822199	0.00922638	0.00201191	0.00226626	0.000205593	0.00030231	0.0028594	5.45639e-05	2.92949e-05
d	0.962944	0.0277009	0.00602531	0.00030157	0.00018513	0.00024355	0.000380193	0.000227808	0.000858611	0.000538401	0.00021196	0.000145997	0.000191617	1.5557e-05	2.89221e-05
z	0.832993	0.145095	0.00967774	0.000895943	0.000846755	0.00098892	0.00215957	0.00220658	0.00276445	0.000771524	0.000498638	0.000626272	0.000103269	0.000217105	0.000154555
o	0.900429	0.0749856	0.0137707	0.0013322	0.00108795	0.00167945	0.00091088	0.000710829	0.0022068	0.000436033	0.000377212	0.000187471	0.000287037	0.0014836	0.000115275
o	0.183981	0.237154	0.391806	0.11721	0.00963575	0.0169036	0.00580614	0.00692341	0.00679085	0.00535915	0.0028213	0.00381033	0.0023619	0.000616294	0.00881945
n	0.074236	0.356775	0.36346	0.0940544	0.0260631	0.053775	0.00416836	0.00414956	0.00664234	0.00417303	0.00151137	0.00238898	0.000687195	0.000197229	0.00771792
a	0.389724	0.207013	0.126871	0.185671	0.01071	0.014737	0.00368764	0.00188219	0.0418973	0.00365545	0.00107148	0.00159573	0.000936629	0.00729627	0.00325149
b	0.00182339	0.0707832	0.249781	0.352805	0.0780287	0.170663	0.0181466	0.0132215	0.0160327	0.00889966	0.00294088	0.00379301	0.00607513	0.000878805	0.00612757
ó	0.00515368	0.104223	0.299962	0.199816	0.167189	0.0304859	0.0443189	0.0275992	0.00510982	0.0232999	0.0116318	0.0229492	0.00669019	0.00100876	0.0505632
l	0.00527978	0.0960317	0.124187	0.136346	0.396777	0.107103	0.031102	0.0205499	0.0112835	0.012013	0.00416189	0.00845756	0.00503829	0.00133941	0.0403292
á	0.00424072	0.0323287	0.016681	0.0120399	0.0801385	0.115949	0.0577084	0.037918	0.0752252	0.0775896	0.0174766	0.0483928	0.0379327	0.012182	0.374197
a	0.00222075	0.0470637	0.0297328	0.0217335	0.22119	0.149275	0.12884	0.0851687	0.10947	0.0526851	0.019293	0.0235874	0.0260691	0.0222199	0.0614512
w	0.00253676	0.00868799	0.00363759	0.00227611	0.0183235	0.884768	0.0220756	0.0157683	0.0113585	0.00498741	0.00814851	0.00486685	0.000504236	0.000939977	0.0111212
ó	0.000408478	0.0199117	0.0113152	0.00405513	0.0139802	0.816028	0.0390134	0.0340262	0.0163243	0.00938182	0.0090038	0.00824477	0.00223414	0.0013825	0.0146905
ó	8.71932e-05	0.00723066	0.00850951	0.00288237	0.0365017	0.764101	0.0747582	0.0361765	0.0084363	0.0131687	0.0181703	0.0104115	0.00229098	0.00039424	0.0168804
r	0.000141837	0.009193	0.00513046	0.000519494	0.0492688	0.0477143	0.38026	0.312329	0.0884887	0.0624258	0.0179063	0.0118488	0.00992193	0.000749668	0.00410209
á	0.00078287	0.0100068	0.0145128	0.0059097	0.0608262	0.0584665	0.243895	0.156321	0.162434	0.0987714	0.0574326	0.03592	0.0225225	0.00709239	0.0651065
o	0.000131035	0.00230794	0.00293337	0.00134714	0.0354871	0.0265349	0.216771	0.209209	0.302952	0.103687	0.029091	0.00946494	0.0313863	0.0234117	0.00528609
n	0.00145692	0.00411391	0.000738396	0.00028326	0.000915812	0.00996801	0.0741746	0.224064	0.468266	0.0851486	0.0780739	0.0363378	0.00646352	0.0047307	0.00526459
g	0.00174105	0.00551485	0.00277787	0.00187167	0.00130451	0.00517745	0.0313229	0.0378719	0.788953	0.041784	0.0155177	0.0112815	0.00403497	0.0416032	0.00924367
y	0.00105813	0.00411737	0.00454011	0.00168782	0.00122598	0.0222162	0.0472917	0.0528841	0.594906	0.0806509	0.121007	0.0406233	0.00784643	0.0125737	0.00737124
e	0.000209604	0.00694093	0.00225402	0.000341454	0.00225421	0.00411467	0.0564707	0.032602	0.544693	0.123658	0.0557117	0.0546285	0.0380566	0.024733	0.0533318
n	1.94326e-05	0.00300962	0.00280544	0.000215886	0.00315225	0.00223914	0.070094	0.0643761	0.172031	0.289352	0.164368	0.152211	0.044391	0.00286289	0.028872
g	7.03407e-05	0.00232213	0.00173091	8.5202e-05	0.000860734	0.00155217	0.0441223	0.0547763	0.163047	0.22458	0.273002	0.146056	0.0310224	0.00245448	0.0543178
a	0.000651515	0.00287801	0.00569882	0.00293698	0.00427092	0.0042507	0.0543865	0.0418468	0.194021	0.168141	0.323993	0.106792	0.0239315	0.00375286	0.0624484
m	4.61806e-05	0.00167762	0.00117152	0.000175768	0.00418947	0.00126018	0.0301766	0.0380265	0.102017	0.305517	0.130138	0.167963	0.172131	0.00223986	0.0432711
á	1.89426e-05	0.00178889	0.00113601	0.000106443	0.00225685	6.16606e-05	0.022638	0.0492517	0.0739659	0.117324	0.0322493	0.0961566	0.377204	0.0281071	0.197734
m	7.36667e-05	0.00278621	0.0010576	0.000462577	0.00417918	0.000889859	0.0148365	0.0234484	0.037759	0.0673168	0.116229	0.236448	0.299469	0.13336	0.0616849
b	8.02131e-06	0.000718188	0.000284239	7.41987e-05	0.000353722	6.81081e-05	0.00208806	0.00604383	0.0355757	0.0163645	0.00761733	0.0343886	0.144296	0.728567	0.0235518
á	1.29955e-06	2.01966e-05	3.18812e-05	6.33962e-05	2.36649e-05	1.19773e-05	0.000490201	0.00154225	0.00731427	0.00263445	0.00422431	0.0130689	0.00778417	0.955485	0.0073039
n	1.53331e-06	6.49455e-05	0.000213044	0.000321301	0.000209332	1.986e-05	0.00133947	0.00479785	0.0201606	0.00696018	0.00616122	0.0133556	0.0816891	0.850882	0.0138243
g	0.00098393	0.0045123	0.0166397	0.0137548	0.0127607	0.00414998	0.024942	0.0389277	0.0858824	0.117408	0.159182	0.106629	0.194431	0.1385	0.0812963
é	0.000182301	0.000732182	0.00213137	0.0048908	0.00123717	0.00105083	0.0119879	0.00867744	0.107382	0.0824833	0.204466	0.13689	0.150401	0.228279	0.0592084
</S>	4.21323e-05	0.00080459	0.000670387	0.000181021	0.00178604	0.000546349	0.00732814	0.00620951	0.0460349	0.0936905	0.0383923	0.125714	0.252634	0.025752	0.400214
