 	l'	arc-en-ciel	entoure	la	soleil	</S>
o	0.982657	0.00180487	0.00434928	0.0108329	0.000323021	3.25979e-05
k	0.180763	0.783904	0.0205358	0.00450362	0.00200264	0.00829158
u	0.0455234	0.940372	0.00577678	0.00470951	0.000293139	0.00332554
m	0.0321229	0.921591	0.0167118	0.0228495	0.0020788	0.00464567
a	0.863295	0.127806	0.000754125	0.00210061	0.00218419	0.00386017
m	0.511146	0.184165	0.0581735	0.0518427	0.00780111	0.186871
b	0.379768	0.117232	0.0163547	0.115506	0.0747847	0.296355
o	0.19957	0.528811	0.043475	0.0455926	0.0556948	0.126856
l	0.251082	0.644652	0.0335973	0.0233829	0.0027802	0.0445053
o	0.310569	0.271121	0.141256	0.0511347	0.0271865	0.198733
m	0.225453	0.242199	0.178274	0.0993337	0.0146975	0.240043
ó	0.444151	0.182317	0.0307318	0.0601818	0.149221	0.133397
o	0.334257	0.0970136	0.262059	0.159151	0.0506904	0.096829
d	0.00526143	0.0875254	0.842995	0.0453852	0.0052456	0.0135873
í	0.00149657	0.0305517	0.83939	0.0452622	0.00446949	0.07883
n	0.00460975	0.0070965	0.75643	0.139881	0.00722397	0.0847582
g	0.00105346	0.000831247	0.835505	0.138824	0.00723351	0.0165525
á	0.00135463	0.00277071	0.808537	0.116161	0.025884	0.0452923
i	0.00436287	0.00101	0.183711	0.723219	0.0737677	0.0139284
k	0.00306177	0.00631916	0.148786	0.551819	0.224285	0.0657286
á	0.00336429	0.00922451	0.172562	0.532092	0.15377	0.128987
n	0.00310558	0.0199057	0.105265	0.423502	0.120482	0.32774
g	0.00618419	0.0463032	0.35084	0.366459	0.0512842	0.178929
a	0.0142736	0.0024789	0.438054	0.204157	0.315816	0.0252203
</S>	0.0049749	0.00191069	0.184698	0.367909	0.054984	0.385524
