 	j'	ai	une	chique	à	l'	orteil	</S>
n	0.686911	0.165539	0.0766031	0.0494093	0.0116	0.00380784	0.00557798	0.000551778
g	0.950758	0.0425989	0.00618305	0.000251113	0.00013781	5.08473e-05	6.60257e-06	1.39599e-05
á	0.932832	0.0601507	0.00575096	0.000912738	0.000243972	9.27559e-05	9.50212e-06	7.66263e-06
i	0.219606	0.398586	0.194782	0.045723	0.0175264	0.0227573	0.00340021	0.0976186
d	0.0213004	0.658652	0.186848	0.0819163	0.011597	0.00865597	0.0080084	0.0230221
í	0.0557001	0.586098	0.248177	0.0556711	0.0143882	0.00793458	0.00121324	0.0308182
l	0.0530621	0.184018	0.555703	0.108896	0.0166341	0.0156627	0.0031715	0.0628528
a	0.0686953	0.232597	0.467146	0.142713	0.0134554	0.0117177	0.000844698	0.062831
k	0.0313041	0.0933486	0.175097	0.638014	0.016467	0.00834825	0.00158772	0.0358327
á	0.00140983	0.0147785	0.0422627	0.922091	0.00602583	0.00107805	0.00972965	0.00262491
n	0.0037882	0.011807	0.0236421	0.944609	0.00872545	0.00112048	0.00160863	0.00469901
d	0.00457261	0.0418661	0.0531241	0.869113	0.0129147	0.00420839	0.00204382	0.0121576
z	0.00979475	0.0257557	0.0364833	0.907601	0.011161	0.00152677	0.000209868	0.00746721
a	0.00350765	0.00775789	0.0285104	0.894707	0.0368049	0.0041447	0.00171868	0.0228491
m	0.00200558	0.0817391	0.181373	0.0749025	0.410388	0.0735532	0.00127338	0.174765
ó	0.0135568	0.040599	0.134023	0.0531399	0.274636	0.207892	0.00509338	0.271061
s	0.00449314	0.0196129	0.0732196	0.0662774	0.348459	0.325425	0.0938933	0.0686192
a	0.0516495	0.0465383	0.118544	0.0233542	0.324047	0.281545	0.0559432	0.0983794
b	0.002636	0.00266757	0.0259033	0.0241189	0.239549	0.269219	0.290874	0.145032
h	0.00208067	0.00435916	0.0237341	0.0772809	0.183544	0.234265	0.15634	0.318396
i	0.000979727	0.00146798	0.00682304	0.158545	0.136324	0.0687569	0.215843	0.411262
m	6.34227e-05	0.00161587	0.0053283	0.00328514	0.0755045	0.278979	0.0569468	0.578277
é	0.00102563	0.00388248	0.0183041	0.00414363	0.163845	0.353603	0.0355768	0.419619
k	0.000355231	0.00524914	0.0141125	0.00724812	0.0567425	0.327039	0.425901	0.163353
o	4.18825e-05	0.000756086	0.0019959	0.011111	0.0103951	0.0294898	0.912656	0.0335545
o	0.000156331	0.00161692	0.00455333	0.00843626	0.0215639	0.0360124	0.850644	0.0770171
</S>	0.000559455	0.00263943	0.00997385	0.00136489	0.021151	0.105197	0.0498526	0.809262
