 	que	dieu	nous	donne	la	paix	du	coeur	</S>
n	0.574805	0.392361	0.0228069	0.00446847	0.00336019	0.000927822	0.00114818	9.26505e-05	2.97267e-05
z	0.192715	0.798128	0.0074056	0.000465873	0.000439478	0.000404892	0.000435787	1.14541e-06	4.43727e-06
a	0.0117922	0.969574	0.00686445	0.00220179	0.00194379	0.00717728	0.000354084	1.72873e-05	7.48814e-05
m	0.0343764	0.941763	0.0182241	0.000319755	0.0003416	0.00152403	0.00121459	5.96992e-05	0.00217655
b	0.338528	0.534307	0.0111195	0.0300133	0.0257888	0.0130008	0.0079047	0.00197619	0.0373617
é	0.166873	0.798815	0.0135294	0.00672473	0.00313542	0.00523695	0.00171484	0.000237141	0.00373334
k	0.369278	0.156349	0.113902	0.164819	0.093888	0.00887794	0.0292681	0.00348422	0.0601344
á	0.192021	0.123612	0.0631495	0.301081	0.161733	0.0679925	0.0177645	0.0137354	0.0589108
a	0.024159	0.0114244	0.484973	0.307397	0.0805693	0.0240049	0.00675405	0.005167	0.0555514
á	0.0380072	0.00766986	0.157147	0.419689	0.267708	0.0390778	0.0425359	0.00244203	0.0257237
p	0.00730964	0.00561367	0.120497	0.295096	0.413295	0.107322	0.0175775	0.00786991	0.0254191
έ	0.00126601	0.00367766	0.0636486	0.31801	0.430208	0.100482	0.0068612	0.0360511	0.0397945
ε	0.0110213	0.00704717	0.131267	0.241734	0.362748	0.136465	0.0458044	0.00673552	0.0571774
b	0.00491851	0.00309579	0.192322	0.281709	0.380822	0.0775547	0.0468334	0.00232268	0.0104218
í	0.000504426	0.000245233	0.739377	0.106434	0.0611275	0.0816584	0.0095072	0.000129626	0.00101671
s	0.00295438	0.00180118	0.581435	0.156433	0.0783803	0.150651	0.0102448	0.000976543	0.0171245
í	0.00288984	0.0009927	0.0937519	0.198218	0.316582	0.265343	0.105521	0.000223668	0.0164777
f	0.000388613	0.000770528	0.0764792	0.177049	0.375407	0.192512	0.115772	0.00983355	0.0517887
έ	0.00199788	0.00155625	0.0524933	0.21853	0.191713	0.397549	0.0274245	0.0764912	0.0322452
l	0.000177177	0.000137614	0.0118344	0.0860629	0.222888	0.450817	0.101874	0.0169234	0.109285
έ	0.000220327	0.000239935	0.00407589	0.0592417	0.145231	0.594497	0.105075	0.0203333	0.0710862
l	0.000854572	0.000333834	0.00362821	0.0296358	0.0996497	0.217681	0.53895	0.0228273	0.0864394
έ	0.0015881	0.000591782	0.0128467	0.0293795	0.0789746	0.380305	0.297526	0.0634125	0.135375
s	0.000756353	0.000190639	0.00491394	0.0223057	0.0501474	0.197133	0.230682	0.171783	0.322088
ó	0.00199339	0.000589284	0.0035068	0.00592767	0.0243313	0.324863	0.242474	0.123518	0.272796
t	0.00297171	0.00125215	0.00155874	0.0025483	0.0049723	0.01733	0.136752	0.729993	0.102622
é	0.000136997	0.00023719	0.000368435	0.0014286	0.00244656	0.0176454	0.0122147	0.9451	0.0204221
m	1.41889e-05	6.53437e-05	0.000193923	0.00210647	0.00434455	0.018197	0.0279357	0.810865	0.136278
a	0.000284646	6.66117e-05	0.000105587	0.00120003	0.00578066	0.0164039	0.0480006	0.35912	0.569038
</S>	0.00582631	0.00135044	0.00330128	0.0191778	0.0387975	0.0215487	0.253177	0.0802019	0.576619
