 	il	a	tiré	trois	singes	à	l'	arc	</S>
w	0.888159	0.103361	0.000667643	0.00159744	0.00330631	0.00183331	0.000821391	0.000225992	2.8028e-05
a	0.795898	0.185304	0.00368162	0.00513609	0.0032413	0.00458548	0.00169393	0.00045572	3.93344e-06
á	0.16187	0.771279	0.0303049	0.0138125	0.00637363	0.00725444	0.00423702	0.000238783	0.00463007
m	0.038272	0.566872	0.237683	0.0697809	0.0358145	0.0198199	0.00748526	0.00195722	0.0223156
ε	0.0176263	0.295029	0.372146	0.218049	0.0296326	0.0188499	0.00588655	0.00454477	0.0382355
ε	0.00910634	0.108629	0.733346	0.094942	0.0181273	0.00631203	0.00252021	0.000583098	0.0264337
a	0.00730459	0.0591092	0.698836	0.142496	0.0153288	0.00856262	0.00475636	0.00147816	0.0621288
k	0.00635401	0.0479685	0.664988	0.225373	0.0375468	0.00749545	0.00270292	0.00273796	0.00483289
y	0.00170733	0.0192625	0.789103	0.147047	0.010725	0.0062275	0.00329853	0.00526119	0.0173684
é	0.00603841	0.0285761	0.863506	0.0827612	0.00895102	0.0029412	0.00157765	0.00179468	0.00385387
m	0.0162982	0.0357749	0.553112	0.127373	0.0437216	0.0266999	0.0210901	0.0375514	0.138378
a	0.167067	0.0784139	0.360414	0.0986923	0.0708711	0.118548	0.0753789	0.00322052	0.0273947
á	0.00606801	0.0223798	0.179703	0.475879	0.198709	0.0398683	0.0122016	0.0200489	0.0451422
s	0.00134163	0.0115663	0.0644162	0.47409	0.320035	0.0802513	0.0259541	0.00729639	0.0150493
á	0.000205596	0.00194868	0.0171859	0.51575	0.383953	0.0494939	0.0141936	0.00543532	0.0118337
r	0.00325055	0.00242026	0.0125256	0.184125	0.582505	0.122091	0.0514675	0.00626817	0.0353476
e	0.00221096	0.00330882	0.0408106	0.0561735	0.71425	0.130411	0.0387225	0.00107925	0.0130334
m	0.00153534	0.0106258	0.0656307	0.144634	0.421749	0.250688	0.0731794	0.00355972	0.0283984
ó	0.00710978	0.0027721	0.0111491	0.102444	0.0954858	0.361883	0.215852	0.0222917	0.181013
e	0.0123498	0.00752667	0.00692473	0.0280288	0.102892	0.248633	0.429338	0.114214	0.0500934
b	0.000307763	0.00198889	0.00895387	0.0439092	0.0734606	0.217731	0.232349	0.374248	0.0470525
h	0.000130211	0.000395033	0.000722736	0.0263045	0.0151	0.0294676	0.0224446	0.900225	0.00521009
e	4.36027e-05	9.83646e-05	0.000354571	0.0339639	0.0129469	0.0143195	0.00899764	0.914069	0.0152067
r	0.000292003	0.00014403	0.00102696	0.0127935	0.016265	0.0269216	0.03196	0.832015	0.0785818
á	0.00428679	0.00257969	0.0118061	0.0308175	0.074035	0.135311	0.114706	0.19395	0.432508
</S>	0.00934757	0.00381087	0.00641734	0.0143827	0.0585801	0.12648	0.120067	0.0877963	0.573118
