 	la	tombe	de	notre	père	se	trouve	dans	quel	cimetière	</S>
m	0.695632	0.169178	0.0947686	0.00721597	0.0115897	0.0124304	0.00369343	0.00383671	0.00139505	0.00013112	0.000129013
u	0.139233	0.774307	0.0507232	0.0046515	0.0108127	0.00864495	0.00124807	0.00293192	0.00162724	0.000788848	0.00503163
m	0.0508281	0.909969	0.0274911	0.000629731	0.0020653	0.00352775	0.00188934	0.00196471	0.000365848	0.000286239	0.00098307
b	0.209722	0.37428	0.279003	0.00480441	0.017366	0.0446054	0.0253759	0.0147451	0.00615271	0.000808683	0.0231369
á	0.0996099	0.662533	0.15108	0.000946727	0.00175206	0.0121455	0.0420422	0.0186329	0.00237557	0.00509805	0.00378445
m	0.0854739	0.0296311	0.51566	0.124191	0.118341	0.0406481	0.0214693	0.0184778	0.0115923	0.00399091	0.0305245
á	0.399945	0.119364	0.213566	0.0270882	0.13921	0.0717416	0.0114552	0.00664953	0.00458566	0.000373584	0.00602105
t	0.125197	0.0401377	0.215021	0.270042	0.256623	0.0528017	0.0126374	0.0066947	0.00251812	0.00272322	0.0156044
á	0.0185375	0.0428938	0.182456	0.00877624	0.482922	0.117924	0.126729	0.00997582	0.00178977	0.00220405	0.00579186
á	0.00373661	0.0055532	0.0343208	0.0535141	0.78309	0.024696	0.0455962	0.00985187	0.00296257	0.00429511	0.0323831
y	0.00622803	0.00332653	0.06817	0.295784	0.297094	0.226468	0.0458353	0.0302195	0.0131847	0.00434742	0.00934188
a	0.0235214	0.00838867	0.230653	0.193743	0.11467	0.144873	0.0532118	0.0608465	0.0812731	0.0394042	0.0494155
b	0.00858095	0.000839071	0.0593127	0.648519	0.119259	0.0819115	0.0254764	0.017422	0.0145799	0.0110455	0.0130539
í	0.00384673	0.00166468	0.0199639	0.707001	0.183661	0.0689496	0.0103491	0.00247932	0.000748027	0.00015963	0.00117706
s	0.000910005	0.000222859	0.00330516	0.96266	0.0258477	0.00535806	0.000942582	0.000248637	5.64041e-05	2.80784e-05	0.000419882
í	0.0152241	0.00589044	0.0675067	0.202045	0.0545718	0.276341	0.0455539	0.0578443	0.0334747	0.0196739	0.221874
ó	0.000642655	0.000511721	0.0239066	0.0161549	0.0224764	0.27909	0.320271	0.232079	0.0325346	0.00983518	0.0624981
d	0.0152575	0.0266978	0.028535	0.00136682	0.00131584	0.10946	0.233781	0.305253	0.12854	0.124458	0.0253355
i	0.00415328	0.0110079	0.00740475	0.00172423	0.00143684	0.0272921	0.0574226	0.371478	0.145709	0.185998	0.186372
s	0.00218899	0.000607749	0.00274308	0.00151753	0.000428465	0.0319412	0.0928348	0.661588	0.114397	0.0402992	0.0514546
á	0.00284605	0.00255145	0.00337443	0.00355457	0.000529002	0.0106633	0.0265666	0.220434	0.222618	0.376184	0.130679
e	0.0029115	0.00061265	0.00473235	0.0167491	0.00115142	0.0066147	0.0153676	0.0493932	0.144077	0.715523	0.0428675
y	0.00155163	0.00388504	0.00394459	0.00143303	0.000793204	0.0125609	0.0512586	0.0692352	0.049549	0.700715	0.105074
á	0.00186236	0.000720913	0.0043006	0.00205794	0.000547677	0.00613618	0.013821	0.0612367	0.219967	0.627186	0.0621632
n	0.00357811	0.000196504	0.00377293	0.0100457	0.000700128	0.00779177	0.0168683	0.0658294	0.304946	0.454282	0.13199
d	0.000564775	0.000375552	0.00528282	0.00520171	0.0019831	0.00861385	0.0051081	0.0338667	0.114218	0.727993	0.0967924
á	0.00027651	0.000248664	0.00258837	0.000771798	0.000392005	0.00154959	0.00204186	0.0102741	0.0575449	0.828468	0.0958442
y	0.0013611	0.000226549	0.00674432	0.000698553	0.000430839	0.0113135	0.0128489	0.040028	0.0999314	0.302722	0.523695
e	0.00227644	0.000444252	0.0227685	0.00199632	0.000376931	0.0195954	0.0255576	0.0666311	0.285196	0.466176	0.108981
</S>	0.000967938	0.000120436	0.0101493	0.00425909	0.00037192	0.00491514	0.0041301	0.0181769	0.0903634	0.532793	0.333753
