 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
b	0.284388	0.309965	0.106718	0.123955	0.0404449	0.060558	0.0286995	0.0101152	0.00691122	0.0106758	0.00604348	0.00337117	0.00659869	0.00121386	0.000341698
e	0.0866274	0.601176	0.133898	0.0330075	0.0705715	0.0261573	0.00900779	0.00497934	0.0101248	0.00848142	0.00459679	0.00234221	0.00846536	1.22098e-05	0.000552057
a	0.0186063	0.380416	0.171397	0.14881	0.0978046	0.0762939	0.0193723	0.0109583	0.0131795	0.0296764	0.0259087	0.00296598	0.00161335	5.41242e-05	0.00294411
í	0.0607891	0.393067	0.259806	0.0693408	0.0432035	0.0217314	0.00794132	0.00607596	0.0106907	0.0140674	0.0111646	0.0153928	0.00494258	0.000219709	0.0815669
t	0.116726	0.115097	0.34657	0.199917	0.0212443	0.0205917	0.00990191	0.00768951	0.0100696	0.022703	0.0484626	0.0421122	0.0105651	0.00189028	0.0264603
s	0.00320594	0.0280445	0.280058	0.533594	0.0230653	0.0197014	0.0208854	0.0136204	0.00804045	0.0158855	0.0234788	0.0104521	0.00458779	0.00392083	0.0114592
ω	0.0270664	0.0843291	0.130282	0.548325	0.0430889	0.0357103	0.0250697	0.0167789	0.00952701	0.0206771	0.0255998	0.0149639	0.00600745	0.0016344	0.0109406
b	0.140221	0.0443472	0.264927	0.299325	0.127742	0.0292144	0.0152368	0.00947894	0.012235	0.0117752	0.005516	0.00560413	0.00350029	0.00101775	0.0298579
í	0.0519564	0.0502788	0.0436895	0.431186	0.230348	0.0859692	0.0393873	0.0102421	0.00365753	0.00911582	0.0185791	0.00622631	0.00596703	0.000665576	0.0127306
í	0.0376317	0.035787	0.0891132	0.30308	0.269551	0.1005	0.0382048	0.00973965	0.00766431	0.0172243	0.0279066	0.0112156	0.00690729	0.000473705	0.0450002
l	0.00452698	0.00462887	0.101773	0.13732	0.351767	0.133647	0.0443499	0.0159514	0.0206365	0.0301191	0.0380344	0.049727	0.0186277	0.00048266	0.0484078
é	0.00281372	0.00171726	0.0494822	0.0395529	0.0733024	0.144922	0.164336	0.0484588	0.0475617	0.0446752	0.0360962	0.0938815	0.0494494	0.000960788	0.20279
m	0.016424	0.00351824	0.0426705	0.0372683	0.229649	0.203805	0.204096	0.0925399	0.0407641	0.0221252	0.0178718	0.0341946	0.0149833	0.00126936	0.038821
b	0.004324	0.0385052	0.015695	0.0235823	0.166496	0.179897	0.123036	0.161085	0.124703	0.0538651	0.0621471	0.0195272	0.00194059	0.00117397	0.0240232
á	0.000987377	0.0639394	0.0137353	0.0501259	0.0398494	0.0604234	0.107108	0.244708	0.124609	0.071608	0.152515	0.0222007	0.00384734	0.00132943	0.0430126
s	0.00797781	0.00402792	0.012538	0.0564208	0.215158	0.164434	0.0951335	0.0597849	0.0236527	0.0385182	0.0979941	0.0289277	0.00742392	0.000537534	0.18747
á	0.0198465	0.00427104	0.028152	0.048381	0.0675246	0.249193	0.26582	0.0970964	0.0366283	0.0330422	0.0365491	0.0313172	0.0139585	0.000335961	0.0678837
p	0.00546739	0.00212863	0.00645768	0.0107872	0.037815	0.104791	0.222103	0.346246	0.107969	0.0745793	0.0303696	0.0183875	0.0130595	0.00786711	0.0119724
o	0.00147381	0.00120905	0.0128975	0.0561998	0.0263776	0.133575	0.28288	0.19881	0.0258283	0.0417508	0.0239095	0.010237	0.00272673	0.156885	0.0252393
o	0.00113132	0.000371309	0.00427193	0.019776	0.0107956	0.0397793	0.187726	0.429888	0.0767576	0.0691195	0.0186884	0.00657479	0.00151636	0.118576	0.0150291
y	0.0003369	0.000122552	0.00538389	0.00439451	0.00662471	0.0258764	0.0506369	0.125299	0.284281	0.27716	0.0774036	0.0977986	0.0232793	0.00121266	0.0201905
é	0.0144688	0.00156214	0.0213684	0.00529032	0.0177488	0.0385798	0.0973896	0.305889	0.28561	0.119613	0.0176965	0.0354713	0.0207125	0.0041483	0.014451
