 	ils	ont	levé	l'	ancre	hier	</S>
b	0.580417	0.347829	0.0263928	0.0336924	0.00405056	0.00690255	0.000715531
á	0.339444	0.197525	0.238796	0.201064	0.0186414	0.00244148	0.00208856
a	0.549048	0.0458937	0.387942	0.0157769	0.000609879	0.000106331	0.000622563
á	0.15806	0.552178	0.10732	0.099273	0.0151198	0.00316772	0.0648806
d	0.0173488	0.118478	0.124872	0.424217	0.231785	0.0223475	0.0609526
z	0.0014991	0.0263996	0.0433363	0.220561	0.265546	0.00180295	0.440855
w	0.0766677	0.261402	0.0313599	0.42137	0.149088	0.0044868	0.0556258
e	0.0185948	0.100944	0.260809	0.275296	0.167814	0.00693159	0.169611
l	0.0476423	0.0580306	0.486408	0.150651	0.167708	0.0338969	0.0556627
a	0.0219448	0.0460047	0.0596831	0.186255	0.243516	0.0118115	0.430785
a	0.0497708	0.0598038	0.0874782	0.176927	0.472279	0.0240205	0.129721
p	0.000418674	0.00502677	0.0185408	0.0928993	0.60667	0.223108	0.0533362
ó	0.000133688	0.00321254	0.00600844	0.127137	0.367164	0.36177	0.134575
a	0.000238853	0.0061117	0.0113141	0.0943821	0.302426	0.480106	0.105421
</S>	0.0176234	0.02431	0.172942	0.056453	0.0764075	0.328144	0.32412
