 	pendant	la	grande	saison	des	pluies	les	homes	vendent	beaucoup	de	poissons	</S>
m	0.410288	0.316459	0.131335	0.061221	0.0412748	0.0123969	0.0200288	0.00356309	0.000930164	0.000918994	0.00148701	3.44009e-05	6.30889e-05
ó	0.0619749	0.14454	0.255876	0.196989	0.147564	0.0112488	0.040573	0.000568635	0.00402225	0.0249784	0.0215282	0.00264274	0.0874938
n	0.257677	0.491106	0.081608	0.0968959	0.0514239	0.00851331	0.00357821	0.000654332	0.000925447	0.00104793	0.0011499	0.00257541	0.00284477
d	0.270427	0.427834	0.0991901	0.103757	0.0396247	0.00288905	0.00620264	0.0012028	0.00141793	0.00211694	0.00109717	0.00204287	0.0421982
i	0.231464	0.342398	0.104957	0.210608	0.0684251	0.00721074	0.00454375	0.00359237	0.00265916	0.00438686	0.00205973	0.00082642	0.0168692
e	0.131013	0.16098	0.209812	0.231708	0.181633	0.0105591	0.0174209	0.00215006	0.00107169	0.00370565	0.00377657	0.00251937	0.0436509
m	0.0434631	0.0370007	0.27174	0.258152	0.251628	0.0408382	0.0245714	0.00914978	0.00919085	0.0117686	0.0129005	0.00123088	0.0283656
á	0.142037	0.0391498	0.0983412	0.169059	0.227134	0.097607	0.088774	0.00236989	0.0306407	0.0345703	0.0259877	0.0122997	0.0320296
l	0.159299	0.0231854	0.050638	0.135273	0.25999	0.155177	0.120376	0.0178787	0.028786	0.0159284	0.00940067	0.00866243	0.0154051
e	0.0521765	0.0222696	0.0622485	0.223171	0.314248	0.0783411	0.0624005	0.00771462	0.00846475	0.0442866	0.0191483	0.0169842	0.088546
k	0.0455149	0.0135079	0.0642375	0.147603	0.222859	0.150065	0.191041	0.0227351	0.0177025	0.0295189	0.0192363	0.0196821	0.056297
á	0.00309083	0.0025561	0.00341236	0.0117263	0.0226961	0.716189	0.0376935	0.183203	0.0136731	0.00328588	0.000664853	6.41123e-05	0.00174551
a	0.00530815	0.00362009	0.00968716	0.0289165	0.0389507	0.390679	0.129763	0.16592	0.119994	0.0172479	0.00536684	0.0026394	0.0819079
a	0.0039768	0.00272557	0.0104554	0.0179883	0.0362937	0.0652335	0.390181	0.242805	0.150784	0.0380707	0.0284819	0.00197734	0.0110265
b	0.0251927	0.0180324	0.0324744	0.0818356	0.061942	0.071373	0.207227	0.23288	0.112983	0.0737436	0.0522166	0.0103136	0.0197865
a	0.00344456	0.00910026	0.02042	0.0191799	0.0267166	0.0873836	0.135865	0.532577	0.0852432	0.0385484	0.027972	0.00152245	0.012028
a	0.00179574	0.00254136	0.00572241	0.00870549	0.0134081	0.0586693	0.176621	0.65846	0.0426494	0.00986011	0.00349665	0.000507359	0.0175635
b	0.00708108	0.00322689	0.0136778	0.0225646	0.0235082	0.0130004	0.194085	0.217449	0.249081	0.137104	0.0785448	0.00419798	0.0364792
á	0.00983885	0.00637086	0.00743372	0.0087057	0.00838931	0.0237271	0.0415335	0.341455	0.275221	0.17782	0.0671156	0.00365033	0.028738
a	0.00344158	0.00159799	0.00408516	0.00292296	0.00525126	0.00512544	0.0534938	0.0889008	0.600132	0.110946	0.0384203	0.0135828	0.0720999
k	0.00300775	0.00299679	0.00775439	0.0132874	0.00834812	0.0191045	0.0237303	0.283564	0.178145	0.257163	0.123634	0.0162551	0.0630092
i	0.000221769	0.00151978	0.00314419	0.00394987	0.00236806	0.0406081	0.012506	0.748436	0.0513646	0.0732707	0.0373071	0.00421835	0.0210857
r	0.000480103	0.00220316	0.00426893	0.00838706	0.00452149	0.0337365	0.0542399	0.404924	0.110008	0.154212	0.1095	0.0221131	0.0914052
á	0.00104396	0.00198015	0.0021494	0.00529432	0.00655191	0.0179711	0.0651597	0.10852	0.0702479	0.31235	0.104512	0.0148456	0.289374
a	0.00117579	0.000542427	0.00164357	0.00331557	0.00364512	0.00262829	0.00859557	0.0038553	0.142568	0.340598	0.180797	0.197798	0.112837
s	0.00560797	0.00225477	0.00680408	0.0122409	0.0114329	0.00596383	0.0171134	0.0154719	0.0287799	0.195733	0.396647	0.211901	0.0900487
w	0.00145491	0.00129495	0.00217304	0.00780744	0.00350732	0.000362655	0.000949238	0.000185593	0.000846298	0.0731224	0.121038	0.663821	0.123437
é	0.000177157	5.94732e-05	7.754e-05	0.000638753	0.000460355	6.40654e-05	0.000304207	1.9508e-05	0.00109519	0.0414778	0.0395283	0.883776	0.0323218
a	8.48922e-05	8.81008e-05	0.00030566	0.000778829	0.000433363	0.000546176	0.00212705	0.00191041	0.00800811	0.123149	0.202341	0.242655	0.417573
y	0.002552	0.00125607	0.00642508	0.0102288	0.00783628	0.00527524	0.0125964	0.00955906	0.00913579	0.136215	0.365646	0.197105	0.236169
í	0.000840844	0.00166112	0.00395535	0.00825665	0.00521441	0.00124133	0.00235083	0.000336039	0.000826663	0.0704783	0.182986	0.518225	0.203627
í	0.000823028	0.000584285	0.00273045	0.00332548	0.00202262	0.000270927	0.00186818	0.000306347	0.000638617	0.0307168	0.110015	0.39222	0.454478
</S>	0.00222805	0.000822992	0.00246929	0.0046636	0.00384893	0.00318219	0.00620012	0.00990927	0.0104208	0.0860893	0.203519	0.157541	0.509106
