 	va	jeter	les	feuilles	dans	la	poubelle	</S>
d	0.918807	0.041446	0.0236707	0.00396305	0.0100622	0.00194268	8.70468e-05	2.16934e-05
z	0.970399	0.0111959	0.00292636	0.00369551	0.00256024	0.00395631	0.000340298	0.00492617
w	0.99519	0.00240588	0.000249419	0.000827333	5.018e-05	4.78474e-05	0.000666292	0.000562991
a	0.83719	0.0374689	0.0194661	0.0104061	0.00961042	0.00621719	0.00446941	0.0751722
á	0.0646522	0.190771	0.0295667	0.0141046	0.032458	0.00647355	0.00249911	0.659475
o	0.0493654	0.589015	0.269681	0.0314056	0.0158899	0.00663944	0.00529229	0.0327109
b	0.0397285	0.787004	0.0985627	0.0433563	0.0027846	0.00178815	0.00531416	0.0214611
v	0.00208385	0.965809	0.024233	0.00590607	0.00108011	0.000293118	8.73514e-05	0.000507682
á	0.000725693	0.975738	0.0154717	0.00659366	0.00124503	8.84968e-05	4.39053e-05	9.29088e-05
á	0.00201158	0.178592	0.326295	0.0991967	0.0431335	0.0157777	0.00229298	0.3327
k	0.00527127	0.0905755	0.583671	0.203052	0.0876304	0.0149594	0.00121113	0.0136289
á	0.0026383	0.0778662	0.262154	0.610662	0.0232962	0.00261351	0.00280089	0.0179697
s	0.00199924	0.342041	0.243826	0.320507	0.0550752	0.0018285	0.00483838	0.0298844
i	0.000424153	0.0567611	0.277842	0.502883	0.126732	0.0118864	0.000229504	0.0232422
s	0.000399246	0.00754311	0.179792	0.332346	0.32571	0.0775487	0.00492988	0.0717309
á	0.000848511	0.00454184	0.103994	0.30079	0.286009	0.18154	0.0139107	0.108366
d	0.00267316	0.00364531	0.0483555	0.0892325	0.15173	0.215099	0.462294	0.0269706
z	0.000597485	0.000646761	0.00662357	0.0297905	0.170724	0.0914544	0.646266	0.0538976
a	0.00270762	0.00348155	0.0308339	0.0653999	0.148758	0.148985	0.587622	0.0122119
l	4.97891e-05	0.000167041	0.00354261	0.0147614	0.0295312	0.0531544	0.82171	0.0770837
a	0.000101322	0.00253163	0.00934432	0.0208139	0.179721	0.27854	0.388921	0.120027
l	3.90298e-05	0.000666162	0.00546935	0.0119751	0.088171	0.199339	0.160344	0.533997
a	0.000271667	0.00198675	0.0048649	0.0193377	0.0312496	0.0937191	0.50818	0.340391
</S>	3.41817e-05	0.00101193	0.00450589	0.00439352	0.0288995	0.116274	0.455343	0.389539
