 	cette	femme	a	exposé	l'	eau	au	soleil	</S>
o	0.883317	0.0709725	0.00740357	0.00874607	0.0196399	0.00238249	0.00618903	0.000631093	0.00071864
y	0.168196	0.817239	0.0066061	0.00432091	0.000365332	0.000361497	0.000485746	0.001337	0.00108793
ú	0.967538	0.0316867	0.000134507	0.0003106	4.48118e-05	4.97412e-05	4.88559e-05	0.000167517	1.93667e-05
r	0.971627	0.0142124	0.000651837	0.000944993	0.00118137	0.000517849	0.00303279	0.00546049	0.00237154
u	0.831225	0.047246	0.0299401	0.00959149	0.0243556	0.00736792	0.0179251	0.0207702	0.0115784
w	0.222396	0.0994943	0.511725	0.0418248	0.0297927	0.02388	0.0202174	0.013695	0.0369745
ó	0.242017	0.0447486	0.281888	0.102409	0.129825	0.0419748	0.031663	0.0364707	0.0890054
á	0.0187098	0.00480707	0.674785	0.142469	0.0661376	0.0273807	0.0133486	0.0071383	0.0452238
p	0.00169021	0.0014708	0.327037	0.600127	0.00699548	0.0179635	0.0107297	0.00531831	0.0286677
ώ	0.00284221	9.41463e-05	0.0811964	0.902194	0.00320926	0.00513693	0.00143147	0.000547378	0.00334829
r	0.00479331	0.000403323	0.0359494	0.916192	0.0115451	0.00673039	0.0106958	0.00100974	0.0126808
i	0.0282414	0.000400777	0.160644	0.531307	0.163051	0.0493561	0.0170736	0.00600744	0.0439185
s	0.0137733	0.000609056	0.107925	0.135682	0.587013	0.0942477	0.0387144	0.00667098	0.0153648
i	0.149249	0.000360503	0.0221836	0.361986	0.271061	0.13488	0.0274816	0.0149552	0.0178437
m	0.0424786	0.00118933	0.0266897	0.005823	0.712192	0.142199	0.0498173	0.0126631	0.00694847
á	0.00437146	0.00155854	0.00645416	0.0021158	0.250093	0.430954	0.0169549	0.222787	0.0647116
a	0.00366013	0.00190681	0.0100079	0.00105122	0.207397	0.611657	0.064663	0.091156	0.00850064
m	0.0018694	0.000135689	0.00810376	0.0508268	0.112872	0.383838	0.393625	0.0232623	0.0254663
w	0.00121583	0.000225085	0.00265973	0.000219481	0.0283064	0.396252	0.0798584	0.400011	0.0912521
é	0.00101476	0.000136389	0.000262582	0.00013462	0.0289532	0.130936	0.0207978	0.797943	0.0198209
s	0.00763803	2.70091e-05	0.00284022	0.000855403	0.0743389	0.17296	0.174869	0.490373	0.0760987
é	0.00413551	0.000135397	0.00282175	0.00231665	0.0415977	0.145496	0.096201	0.497202	0.210094
</S>	0.00371955	8.68768e-05	0.014691	0.00600738	0.0725877	0.0940955	0.272649	0.115805	0.420358
