 	ces	enfants	sont	de	même	taille	</S>
b	0.550499	0.400726	0.0236956	0.0100788	0.0128006	0.00154725	0.000652169
á	0.188394	0.77814	0.0143405	0.00673703	0.0115992	0.000478211	0.000310866
n	0.181984	0.804399	0.00775513	0.00403606	0.00135171	8.04261e-05	0.000393548
a	0.29293	0.671132	0.019902	0.0085281	0.00198414	0.000687082	0.00483671
b	0.456337	0.356539	0.0758557	0.0430801	0.0449845	0.00781337	0.0153903
á	0.123702	0.0641549	0.320087	0.255668	0.129733	0.00678577	0.099869
á	0.0774013	0.0935092	0.489309	0.176981	0.0767761	0.0156777	0.0703466
d	0.0124223	0.00341433	0.432365	0.313102	0.129872	0.0591715	0.0496525
í	0.0109636	0.000262774	0.367367	0.309834	0.0639198	0.0419367	0.205715
o	0.0274531	0.000338408	0.125016	0.255684	0.393284	0.0746078	0.123616
t	0.00767278	0.000498493	0.0664517	0.168846	0.0950838	0.595179	0.0662685
έ	0.000469852	0.000155129	0.0340262	0.0827109	0.0177264	0.750705	0.114206
έ	0.0863627	0.00677598	0.165397	0.352385	0.176604	0.111449	0.101026
i	0.0147548	0.000434164	0.0505003	0.18108	0.442626	0.158075	0.152529
m	0.0272914	0.000813446	0.0333957	0.0958837	0.253371	0.330588	0.258656
b	0.0245666	0.000510754	0.0692778	0.0925959	0.0892213	0.262531	0.461296
v	0.0428985	0.00592651	0.029849	0.225602	0.0791043	0.110658	0.505961
a	0.0393758	0.00319636	0.0269228	0.158114	0.0630393	0.0709955	0.638356
</S>	0.00729285	8.36559e-05	0.00358855	0.0198119	0.0243614	0.0389877	0.905874
