 	le	pelage	de	la	chenille	est	long	</S>
e	0.755692	0.0531831	0.0804272	0.0576787	0.0469255	0.00575441	0.000129376	0.000209532
l	0.0918297	0.80544	0.0544571	0.0232715	0.0168504	0.00330143	0.00424339	0.00060645
u	0.0145355	0.857976	0.0720171	0.027393	0.0174337	0.00250254	0.00249628	0.00564616
ε	0.0511709	0.63697	0.105303	0.0518292	0.0137002	0.0156244	0.00941363	0.115989
y	0.0834914	0.0715502	0.545172	0.144536	0.0472933	0.0286777	0.00308342	0.0761956
á	0.0973772	0.261368	0.296513	0.101359	0.0329259	0.0277255	0.00640231	0.176329
l	0.309461	0.0668418	0.203551	0.194826	0.104013	0.029103	0.0132483	0.078956
e	0.280073	0.00912827	0.221648	0.287204	0.0545548	0.0184811	0.0148241	0.114087
k	0.17846	0.0312771	0.205742	0.205522	0.241672	0.0355198	0.0278016	0.0740058
o	0.0145851	0.0067607	0.0616036	0.132457	0.755968	0.00507361	0.0075095	0.0160423
n	0.00580504	0.0378007	0.0520143	0.069773	0.739587	0.0287729	0.0381432	0.0281035
g	0.0348953	0.0180668	0.0824848	0.161016	0.580415	0.0159461	0.0158062	0.0913692
ó	0.10675	0.0136701	0.0541951	0.160241	0.633292	0.00483928	0.00297542	0.0240378
é	0.034497	0.00704791	0.204841	0.112782	0.0378369	0.443186	0.0282475	0.131562
d	0.0239247	0.0120998	0.075033	0.0428936	0.0193054	0.688218	0.116853	0.0216725
í	0.00385312	0.00123798	0.0155241	0.0116017	0.000800182	0.405784	0.0516219	0.509578
e	0.0052722	0.000253646	0.0318051	0.0670727	0.011477	0.59087	0.0736846	0.219565
l	0.00291501	0.00293609	0.00533063	0.00907058	0.0130789	0.0732946	0.68832	0.205055
a	0.00136219	0.0105395	0.0108069	0.00964386	0.00538967	0.0579202	0.826484	0.077854
á	0.000521843	0.00424138	0.0158603	0.0242218	0.0223694	0.076267	0.646056	0.210462
</S>	0.0156781	0.00349804	0.0422629	0.0403506	0.012574	0.262636	0.176522	0.446479
