 	itoua	trompe	son	père	dans	les	finances	</S>
i	0.739726	0.20225	0.038515	0.0038532	0.00368926	0.0115713	0.000198639	0.000197431
t	0.758822	0.206513	0.00910552	0.0139876	0.00829245	0.00119534	0.000100443	0.00198349
u	0.340147	0.623464	0.00582932	0.0256112	0.00320141	0.000473921	0.000225905	0.00104767
a	0.71319	0.237553	0.00895991	0.00215998	0.0207059	0.00234431	0.000529036	0.0145579
l	0.510199	0.142202	0.120466	0.00270836	0.0242781	0.014175	0.000408083	0.185564
á	0.111067	0.0556842	0.444268	0.0573287	0.050498	0.0186349	0.00337667	0.259142
a	0.135544	0.120553	0.656579	0.0563849	0.00579679	0.011639	0.00567829	0.00782445
p	0.259471	0.291984	0.0594019	0.225787	0.105595	0.0133542	0.0119722	0.0324346
ó	0.0445656	0.502126	0.0116117	0.243161	0.110576	0.00553037	0.002561	0.0798688
n	0.14453	0.482076	0.0904483	0.152067	0.0619969	0.0250304	0.00356413	0.0402875
g	0.189563	0.501799	0.0836489	0.070136	0.0505749	0.0102735	0.00393005	0.0900752
ó	0.340421	0.235729	0.338405	0.0239196	0.00358879	0.00239983	0.0146137	0.0409234
s	0.00806839	0.0337266	0.579148	0.216794	0.0745962	0.05594	0.00568521	0.0260414
á	0.0130513	0.0311976	0.361643	0.175345	0.245327	0.0392694	0.0237722	0.110395
t	0.00264876	0.00455221	0.625345	0.270597	0.0295143	0.0465615	0.0140725	0.00670894
á	0.00562187	0.0573553	0.300506	0.551873	0.0331695	0.011963	0.0190417	0.0204696
á	0.00168053	0.00790452	0.34008	0.559582	0.029847	0.017838	0.00704638	0.0360212
s	0.00171116	0.00592857	0.0960656	0.0978328	0.304752	0.314533	0.0529705	0.126206
á	0.000692734	0.00302687	0.0423435	0.0533488	0.331589	0.171845	0.0245873	0.372566
m	0.00126314	0.00147785	0.218091	0.0247045	0.0733511	0.49606	0.117596	0.0674563
b	0.00358262	0.00291163	0.0192542	0.0014499	0.0332925	0.310981	0.553003	0.0755249
ώ	0.000783465	0.00198354	0.000822089	0.00029618	0.00992556	0.0306676	0.925856	0.0296655
n	0.0011343	0.00457044	0.00245691	0.000742353	0.0180953	0.101401	0.79351	0.0780896
g	0.00843007	0.00915272	0.0228959	0.00341631	0.0533988	0.130391	0.626793	0.145523
ω	0.00629911	0.0110775	0.0313159	0.00221648	0.0195749	0.030323	0.739348	0.159845
</S>	0.00150177	0.00270162	0.0519049	0.00776151	0.0867968	0.157161	0.126194	0.565978
