 	au	cours	de	cette	petite	saison	de	pluie	mon	barrage	à	nasses	n'	était	pas	rentable	</S>
m	0.802214	0.0657708	0.0253999	0.00688956	0.00640199	0.0037289	0.00877701	0.00764713	0.0140854	0.02497	0.012348	0.0178197	0.00223373	0.000274539	0.00128668	0.000110984	4.1569e-05
ó	0.215064	0.182479	0.12244	0.089494	0.066048	0.0190998	0.0444255	0.0536228	0.0353025	0.0163591	0.0339776	0.00390428	0.00705079	0.0166784	0.015538	0.00285239	0.0756645
l	0.350771	0.608316	0.00448384	0.0045864	0.00221596	0.00209118	0.00180264	0.00940951	0.00496851	0.00282598	0.00318387	0.00313056	0.000781389	0.00070946	0.00014583	8.88823e-05	0.000488771
e	0.143508	0.349292	0.0559978	0.0261727	0.0434192	0.0206339	0.0328644	0.0211364	0.0645424	0.0280451	0.0553488	0.0194367	0.0123012	0.0214303	0.0105819	0.0056548	0.0896344
k	0.0962307	0.537849	0.085814	0.0286301	0.0246018	0.0226706	0.0163698	0.0179804	0.0393976	0.0121302	0.0230362	0.0124988	0.00494602	0.015383	0.00685007	0.00491148	0.0507004
á	0.057264	0.13333	0.281078	0.104713	0.0546438	0.0696269	0.0148304	0.0521237	0.00989465	0.0388383	0.0265449	0.0603626	0.00964842	0.0162888	0.0164568	0.00880807	0.0455484
a	0.0273459	0.171261	0.150301	0.0579955	0.0436064	0.089084	0.0360143	0.0386855	0.0209076	0.0931552	0.0501794	0.0240014	0.0397106	0.0431343	0.0187352	0.0125606	0.0833215
d	0.0568496	0.0169235	0.364377	0.209382	0.099854	0.0745205	0.0705917	0.0183461	0.017051	0.0105878	0.0139347	0.0067452	0.0171549	0.00793092	0.00756715	0.00178057	0.00640316
í	0.00796484	0.0350918	0.177797	0.271248	0.0693735	0.113368	0.0463034	0.0125588	0.0201933	0.0122955	0.0221947	0.00461465	0.00917009	0.0511853	0.0145242	0.0114134	0.120704
b	0.00468622	0.0155119	0.147711	0.122014	0.165617	0.167763	0.139148	0.0131778	0.0396985	0.0198711	0.0245126	0.0100453	0.0191302	0.0210822	0.0144531	0.014455	0.061123
v	0.00248566	0.00321682	0.0405227	0.0705941	0.142366	0.239349	0.121179	0.0672816	0.0628293	0.122186	0.0554163	0.0394676	0.00787086	0.00586774	0.00597496	0.00249866	0.0108946
a	0.00126978	0.00692159	0.0220674	0.0430102	0.0744706	0.210294	0.0948634	0.0767113	0.0834592	0.163738	0.0812082	0.035362	0.0115831	0.0146812	0.0141405	0.00765389	0.0585656
n	0.0013019	0.0042066	0.0317519	0.0547057	0.144222	0.358783	0.134836	0.0890314	0.0215524	0.0598359	0.0183461	0.00614689	0.00358121	0.00588149	0.00425407	0.00442516	0.0571385
d	0.0149527	0.0291359	0.101187	0.150592	0.176159	0.188522	0.0904094	0.0419167	0.0451217	0.0252767	0.027381	0.00819816	0.00178319	0.00537341	0.00384649	0.00449521	0.0856485
e	0.00245778	0.00750963	0.0510768	0.151754	0.129441	0.254145	0.150337	0.0316051	0.0780437	0.0131497	0.0164579	0.00253072	0.000806696	0.00370063	0.00169256	0.00644307	0.0988479
b	0.00231631	0.00333722	0.095233	0.0844516	0.140128	0.116577	0.28119	0.0383567	0.125782	0.0234364	0.0378439	0.0136643	0.00641549	0.00535589	0.00500177	0.00432204	0.0165874
á	0.0211557	0.00254137	0.0394736	0.0589344	0.0660432	0.093838	0.0941972	0.0712008	0.0964115	0.194327	0.133942	0.0648172	0.0278277	0.00847251	0.00644003	0.00120678	0.0191704
n	0.00422727	0.0012196	0.0177211	0.0223202	0.0514126	0.0436452	0.141088	0.0482939	0.163822	0.280646	0.0900678	0.0550967	0.026642	0.011296	0.00981844	0.00713584	0.0255478
g	0.00201417	0.00300125	0.00490448	0.0205217	0.0239835	0.0166829	0.136299	0.0337686	0.634215	0.0464455	0.0453995	0.00305399	0.00144877	0.00359055	0.00153589	0.00297714	0.020158
