 	il	alla	jusqu'	aux	bornes	du	village	</S>
w	0.967069	0.0179774	0.00245956	0.00247166	0.0014283	0.00823466	0.000295673	6.38242e-05
a	0.986344	0.0014633	0.00063025	0.00298414	0.000688748	0.00673763	0.00113108	2.0721e-05
d	0.203211	0.72982	0.0325045	0.0143919	0.00512381	0.00576173	0.000277908	0.00890897
z	0.0261918	0.753309	0.0420863	0.0500455	0.0358949	0.00255311	0.000763429	0.0891559
w	0.0195955	0.933912	0.0376752	0.00375594	0.00271655	0.000164414	0.000184962	0.00199532
e	0.00887429	0.961783	0.0216153	0.000847353	0.00183593	6.10668e-05	0.000416151	0.00456684
t	0.00373457	0.361833	0.411162	0.0748126	0.0253334	0.00822133	0.00257458	0.112328
é	0.00341395	0.0584707	0.908769	0.0158146	0.00151582	0.00290227	0.00451454	0.00459878
é	0.019699	0.118818	0.54932	0.220031	0.0153159	0.0266873	0.010777	0.0393518
m	0.0235948	0.00345708	0.048457	0.763113	0.0687827	0.0499896	0.0023634	0.0402426
i	0.013687	0.0106961	0.0127909	0.771401	0.11398	0.0385076	0.00106177	0.0378756
s	0.00177943	0.0062515	0.0217133	0.516485	0.424213	0.0127451	0.000492105	0.01632
ú	6.09158e-05	0.0147194	0.00837272	0.286555	0.68585	0.000807814	6.48865e-05	0.0035697
u	0.00283633	0.00710117	0.0544905	0.503248	0.393921	0.0219083	0.00158798	0.0149074
l	0.00032038	0.0005458	0.0160442	0.536617	0.254316	0.124402	0.00602827	0.0617256
á	0.00514917	0.00118737	0.0135131	0.541815	0.215677	0.130895	0.0162227	0.0755401
p	0.00201242	0.00157039	0.00664262	0.208173	0.348052	0.347338	0.0761269	0.0100849
o	0.000153204	0.00141739	0.0245111	0.0108054	0.0331012	0.0173419	0.905212	0.00745728
o	7.11189e-05	0.00124361	0.00913135	0.020281	0.0836999	0.0724357	0.797506	0.0156312
</S>	0.000979142	0.000217867	0.00206354	0.0268348	0.0658086	0.358057	0.0737509	0.472288
