 	le	masque	ibvumba	est	difficile	à	trouver	de	nos	jours	</S>
i	0.243251	0.58018	0.150514	0.0172789	0.00259207	0.00439031	4.49602e-06	0.000968362	0.000768012	3.45915e-05	1.79725e-05
b	0.0110459	0.782814	0.197095	0.00219599	0.00279008	0.000921335	0.000983646	0.000499589	0.000672927	0.00055146	0.000430777
v	0.000436496	0.116086	0.880784	0.00115043	0.000149596	0.000141415	3.67898e-05	2.6447e-05	5.76803e-05	0.000996788	0.000133793
u	0.00408146	0.0728682	0.918233	0.00118338	0.00148807	0.00113465	0.000120954	0.00020022	0.000208846	0.000300684	0.000180703
m	0.0128438	0.160875	0.820067	0.0029921	0.00115778	0.000398323	5.1404e-05	0.000210533	0.000112022	0.000217206	0.00107456
b	0.262069	0.208148	0.371475	0.0903441	0.0179992	0.0197861	0.000526785	0.0150356	0.00334719	0.00148217	0.00978604
a	0.259369	0.15065	0.280454	0.0558655	0.0893862	0.0408014	0.00254897	0.0219576	0.00556165	0.00181474	0.0915912
í	0.0584301	0.0207984	0.00693345	0.580682	0.109775	0.0995719	0.0211521	0.0390869	0.00831485	0.000706304	0.0545488
b	0.00915549	0.00312171	0.00149348	0.121186	0.534192	0.169964	0.118831	0.0207234	0.0111042	0.00138817	0.00884077
h	0.00345334	0.0139693	0.0253106	0.0580161	0.509746	0.318556	0.0162829	0.03108	0.00840331	0.00549162	0.00969063
i	0.00416215	0.00520913	0.0138757	0.0600747	0.58892	0.235751	0.0243147	0.0432063	0.00593719	0.00109502	0.0174538
á	0.00435626	0.00394632	0.0134059	0.107792	0.301726	0.199867	0.167028	0.0939404	0.0147872	0.0118724	0.0812781
o	0.0177567	0.00364199	0.00676164	0.035539	0.155312	0.418757	0.181239	0.124264	0.0360983	0.00651083	0.0141201
t	0.0045883	0.00302268	0.0062727	0.00308481	0.0338959	0.0456023	0.809132	0.033864	0.00511632	0.042551	0.0128702
á	8.68804e-05	0.000553505	0.000850992	0.000954371	0.0195308	0.00745575	0.931391	0.0121322	0.00092158	0.00801482	0.018108
á	0.000390784	0.00109383	0.000743475	0.00555807	0.135044	0.0599063	0.653906	0.0591185	0.0109399	0.0183099	0.0549887
m	0.00632615	0.00188611	0.00114441	0.0319568	0.0676055	0.181027	0.089505	0.40466	0.160892	0.0150978	0.0398988
a	0.0547809	0.0043776	0.013232	0.0505991	0.0144304	0.0535787	0.00792242	0.0896816	0.149331	0.123043	0.439023
k	0.0132514	0.00186789	0.00414301	0.0108928	0.0150528	0.0307422	0.0509586	0.198114	0.279866	0.238078	0.157034
a	0.00101826	0.00712124	0.00283868	0.00254809	0.0085989	0.00944986	0.279263	0.0988491	0.038791	0.52413	0.0273924
á	0.000293542	0.00313599	0.00374971	0.00581735	0.0160162	0.0101522	0.209263	0.0732272	0.0552619	0.304111	0.318972
</S>	0.00220278	0.00115061	0.000380218	0.0098596	0.0101237	0.0187327	0.00846477	0.0999106	0.370103	0.110188	0.368884
