 	lorsque	mon	mari	boit	du	vin	il	devient	toujours	étourdi	</S>
o	0.524126	0.470849	0.000864275	0.00216915	0.001622	8.5645e-05	0.000143005	2.02204e-05	9.00901e-05	2.26993e-05	7.60115e-06
l	0.694681	0.0938192	0.204327	0.00339715	0.00171091	0.000261287	0.000287847	0.000720941	0.000426003	9.99741e-05	0.00026794
ó	0.230694	0.0730602	0.649637	0.0102737	0.00951897	0.00392726	0.0016446	0.00384027	0.00169298	0.00116631	0.0145456
m	0.159199	0.0241483	0.75182	0.00474641	0.00267303	0.00471718	0.0012675	0.00475146	0.00137489	0.00361114	0.041691
i	0.188836	0.123829	0.622506	0.045123	0.0077315	0.00266293	0.00238024	0.000655609	0.000279588	0.00198108	0.00401472
y	0.175119	0.101594	0.314107	0.0827062	0.0522749	0.0341997	0.0377968	0.0171251	0.0112099	0.0136647	0.160202
a	0.23055	0.142642	0.119156	0.0712361	0.150752	0.0175338	0.0676497	0.0390513	0.0304429	0.00804799	0.122938
n	0.102506	0.460796	0.0340527	0.120072	0.15016	0.012295	0.028407	0.00882207	0.0225834	0.00651313	0.0537923
g	0.0587989	0.860793	0.009004	0.0229461	0.0165616	0.00274488	0.00402049	0.0032544	0.00735706	0.00249683	0.0120229
á	0.044829	0.817045	0.0361328	0.0243128	0.0568419	0.00497003	0.00231711	0.0040377	0.00294992	0.000848953	0.0057147
w	0.0280582	0.0342559	0.0040409	0.184521	0.435894	0.147154	0.0432598	0.0290777	0.0299735	0.0166779	0.0470873
á	0.0703269	0.111107	0.0133214	0.151679	0.440284	0.0644611	0.0823483	0.0155289	0.0128357	0.00862583	0.0294824
á	0.0429465	0.203915	0.00527433	0.215626	0.316089	0.0748812	0.0466597	0.0137208	0.0237734	0.00947811	0.0476364
a	0.014995	0.0119243	0.14393	0.341835	0.187775	0.148938	0.0248427	0.0639399	0.0160641	0.00859369	0.0371628
n	0.0112544	0.0107614	0.0475452	0.241451	0.100807	0.381779	0.0263458	0.101237	0.0214007	0.0140917	0.0433264
y	0.0521558	0.143427	0.0491667	0.243375	0.226325	0.0720574	0.0195981	0.0552767	0.0423723	0.0121041	0.0841415
w	0.013697	0.183661	0.00323767	0.197112	0.490177	0.0139767	0.0222187	0.0283228	0.0126246	0.0041957	0.0307768
é	0.0242244	0.0342972	0.0228447	0.340278	0.41962	0.0198338	0.0486228	0.0274605	0.00611124	0.00366902	0.0530378
a	0.0060656	0.0194998	0.00108164	0.15033	0.493043	0.109793	0.0510175	0.0580142	0.0337849	0.0131718	0.0641984
l	0.00827828	0.00507343	0.00710683	0.139768	0.12815	0.290386	0.130492	0.174723	0.0439639	0.0185058	0.0535519
ω	0.0040341	0.00383312	0.00506969	0.0338625	0.0274193	0.0905769	0.0630949	0.378603	0.115761	0.0417233	0.236021
i	0.000897023	0.00101517	0.000967408	0.0192528	0.0494908	0.215251	0.0699324	0.393903	0.127957	0.0428323	0.0785003
l	0.00198105	0.000883126	0.000543892	0.0170581	0.0261173	0.0657051	0.365295	0.252416	0.138515	0.0495263	0.0819587
á	0.0024787	0.00282466	0.00193663	0.00911517	0.00834936	0.0458019	0.121424	0.331544	0.149974	0.0636889	0.262863
a	0.00299925	0.0022396	0.00065166	0.0161331	0.0231978	0.0226295	0.227668	0.215081	0.241669	0.145988	0.101742
y	0.00284801	0.000798411	0.00581138	0.00480627	0.00317524	0.0172806	0.0324	0.490483	0.156358	0.23107	0.0549687
a	0.00100394	0.000128441	0.00556532	0.00260053	0.00381168	0.00132036	0.0107021	0.62212	0.169829	0.0713196	0.111599
á	0.000375376	8.23105e-05	0.00087924	0.00461712	0.00496418	0.0044783	0.0305954	0.442314	0.0987569	0.126419	0.286519
l	0.000478748	0.0038068	0.000351581	0.00895197	0.00780746	0.00501077	0.113008	0.104079	0.331192	0.214843	0.210471
e	0.000382514	0.000750444	8.51283e-05	0.0022591	0.0024737	0.00524717	0.0172616	0.0749481	0.182387	0.483827	0.230379
b	0.000401956	0.000294127	5.46163e-05	0.00112097	0.00308609	0.00188104	0.0144993	0.0483008	0.260974	0.504608	0.164779
h	0.00143563	0.0016169	4.31226e-05	0.00523763	0.00662395	0.00184678	0.00685208	0.0176166	0.112425	0.812662	0.0336408
ó	0.000405761	9.56964e-05	2.11788e-05	0.00222682	0.00304842	0.00054998	0.00506298	0.013728	0.0432097	0.82757	0.104082
o	0.000197365	5.29583e-05	1.29099e-05	0.00175781	0.00944718	0.00462197	0.0145247	0.0575456	0.13225	0.445276	0.334313
</S>	0.000993219	0.000467758	0.000226014	0.00374356	0.00174963	0.00109965	0.00650274	0.0350456	0.164491	0.313937	0.471744
