 	la	chienne	fait	têter	ses	petits	</S>
m	0.66812	0.325551	0.00349566	0.000829387	0.000868162	0.00104933	8.6313e-05
v	0.0227649	0.941575	0.0106626	0.00331175	0.00339336	0.00283609	0.0154558
á	0.0398524	0.943233	0.0011087	0.00125593	0.00211619	0.0121764	0.000257149
n	0.092168	0.893611	0.000149633	0.000121415	0.000335999	0.0101918	0.0034221
d	0.118447	0.671542	0.0893793	0.0173892	0.00667226	0.00597223	0.0905988
é	0.181742	0.723241	0.0407066	0.00591624	0.00299077	0.00579382	0.0396095
l	0.0710284	0.0251044	0.73982	0.0899556	0.0165261	0.00225967	0.0553063
á	0.125696	0.0351797	0.269848	0.145255	0.0435014	0.0132212	0.367299
a	0.492862	0.0346729	0.23488	0.0905877	0.0647086	0.0180164	0.0642722
y	0.0148373	0.0140297	0.289555	0.581607	0.0545467	0.0134351	0.0319896
ώ	0.0567301	0.0174071	0.207027	0.427853	0.117384	0.0639315	0.109667
ώ	0.0242948	0.00388599	0.259772	0.278603	0.101898	0.0209587	0.310588
b	0.0111089	0.000595944	0.0997274	0.156987	0.638664	0.0533421	0.0395746
á	0.0261739	0.00752762	0.117299	0.183139	0.44037	0.185491	0.0399995
n	0.0199306	0.003347	0.0589338	0.105895	0.243158	0.426138	0.142597
a	0.0260556	0.044062	0.0135537	0.0885927	0.135724	0.667923	0.024089
á	0.00591599	0.000415189	0.167424	0.16371	0.413842	0.0983341	0.150359
w	0.00377943	0.00397057	0.0410881	0.250785	0.259788	0.2967	0.143888
a	0.000546626	0.000691179	0.034312	0.195021	0.299613	0.312677	0.15714
m	0.000696584	7.49901e-05	0.0304674	0.0968865	0.195718	0.0680836	0.608073
á	0.208991	0.00167694	0.0207859	0.00504035	0.266655	0.328651	0.1682
b	0.0729121	0.00391808	0.0255467	0.0288206	0.204884	0.385966	0.277952
έ	0.00952216	0.00156406	0.0105231	0.0337375	0.377801	0.519243	0.0476095
e	0.00770124	0.000490795	0.00879451	0.0493574	0.154834	0.159158	0.619665
</S>	0.0019885	0.000411469	0.016907	0.0138674	0.0495412	0.0908474	0.826437
