 	quand	un	chien	est	enragé	on	le	rejette	</S>
m	0.560631	0.366455	0.0463009	0.00713345	0.00223816	0.00941416	0.00619747	0.00154742	8.21788e-05
v	0.0930673	0.0720997	0.684844	0.0224688	0.00203442	0.00761047	0.0116404	0.00172076	0.104514
á	0.0847646	0.539398	0.343866	0.00133175	0.0150386	0.0100236	0.00191613	0.00341675	0.000244521
n	0.122498	0.270668	0.434089	0.00406722	0.0065243	0.0100233	0.0105139	0.00707886	0.134538
d	0.267157	0.194146	0.246736	0.0376727	0.0244571	0.0410828	0.0255909	0.00483197	0.158327
é	0.353818	0.353797	0.140431	0.017683	0.00633573	0.0107362	0.00822172	0.00208286	0.106895
w	0.27021	0.238768	0.0257536	0.231494	0.023935	0.0608387	0.0735795	0.0131269	0.0622938
á	0.136579	0.182651	0.0397579	0.166475	0.0187113	0.123808	0.116835	0.027525	0.187658
á	0.145219	0.215503	0.0613011	0.212715	0.0310336	0.0590544	0.057682	0.0161831	0.201309
a	0.057023	0.0374823	0.023346	0.456145	0.220603	0.0766868	0.0345315	0.0241205	0.0700619
b	0.0824088	0.0951314	0.102715	0.285768	0.160241	0.102569	0.0608321	0.0331728	0.0771611
h	0.0217275	0.0252474	0.0554134	0.334276	0.260569	0.170583	0.052722	0.0513077	0.0281537
í	0.0556961	0.107684	0.274634	0.193147	0.122511	0.153405	0.0317567	0.0317952	0.0293707
l	0.028259	0.0745068	0.349781	0.253268	0.109647	0.106801	0.0218535	0.0187022	0.037181
o	0.034167	0.0610779	0.0495407	0.370019	0.0969081	0.155654	0.0654826	0.0310841	0.136066
s	0.00413583	0.0161174	0.0188214	0.385797	0.294507	0.133933	0.0491596	0.0236669	0.0738629
u	0.00968768	0.0376926	0.00618384	0.129418	0.617055	0.0734945	0.0432892	0.0162151	0.0669646
é	0.00167836	0.00830609	0.00156558	0.150526	0.523519	0.112836	0.0820033	0.0123592	0.107206
b	0.00693702	0.00357333	0.00108796	0.162637	0.299148	0.367444	0.109529	0.0240995	0.0255447
a	0.0163466	0.0132729	0.0124035	0.0498281	0.0934303	0.561577	0.106719	0.0800497	0.0663719
r	0.00331468	0.00856944	0.00872894	0.0347451	0.035911	0.618474	0.117949	0.0444366	0.127872
e	0.0111129	0.0152042	0.00888487	0.0268122	0.0298791	0.412158	0.211478	0.0118374	0.272633
á	0.000838171	0.00180751	0.000510258	0.0518035	0.0352164	0.315271	0.496689	0.0256975	0.0721662
b	0.0102999	0.00383159	0.0012051	0.0295084	0.047014	0.227955	0.394488	0.204896	0.0808026
h	0.0025733	0.00404409	0.0029155	0.00858199	0.0449174	0.46242	0.138902	0.24325	0.0923961
i	0.00349331	0.00337529	0.00251282	0.00973931	0.070469	0.544133	0.0772709	0.209116	0.0798904
i	0.00163124	0.00280255	0.00104857	0.00678499	0.0555373	0.242688	0.142514	0.263775	0.283218
k	0.00147454	0.00137287	0.001169	0.0108547	0.00477852	0.0927022	0.201381	0.20285	0.483418
á	0.000709267	0.000767988	0.000405535	0.00220045	0.00780326	0.0853919	0.111103	0.60093	0.190689
m	0.00187565	0.00350651	0.00063767	0.00338883	0.0287313	0.258317	0.0966927	0.379937	0.226914
b	0.000619041	0.000989389	0.001153	0.00309891	0.00316744	0.0425706	0.14039	0.397129	0.410883
í	0.0108035	0.0105284	0.023245	0.0098359	0.0112053	0.121374	0.159499	0.293762	0.359747
m	0.00508288	0.0083337	0.00729216	0.0152424	0.00773967	0.0548061	0.207745	0.145005	0.548753
ó	0.00281116	0.00738646	0.00199754	0.0238966	0.0112374	0.0146645	0.150529	0.166327	0.62115
w	0.00306507	0.00500715	0.00393014	0.0290229	0.0114434	0.033537	0.29196	0.169245	0.452789
a	0.00334972	0.00621046	0.00156481	0.0185673	0.0113911	0.0692982	0.340711	0.256804	0.292103
k	0.000626438	0.0010565	0.000500629	0.00502447	0.00301086	0.0168045	0.132525	0.0848567	0.755595
a	0.00156351	0.00147056	0.000418964	0.00376378	0.00564818	0.0301259	0.0895434	0.256181	0.611284
á	0.00216975	0.00479499	0.000629539	0.00281211	0.0114829	0.0384736	0.0484292	0.159267	0.731941
</S>	0.00498589	0.00576678	0.00297905	0.0666874	0.0180295	0.0665817	0.19906	0.0716433	0.564267
