 	l'	enfant	a	attrapé	le	petit	oiseau	de	la	plaine	</S>
m	0.882734	0.0997918	0.00574843	0.000165406	0.00370653	0.00192534	0.00209206	0.00228069	0.00127629	0.000209598	6.96808e-05
w	0.00775325	0.989128	0.00190575	3.66291e-05	0.00013342	0.000362181	0.000253296	5.8474e-05	0.000139973	4.43243e-05	0.000184197
á	0.00320363	0.996625	1.80437e-05	8.78114e-06	2.41788e-05	6.15299e-05	4.48932e-05	2.50681e-06	3.39254e-06	6.57251e-06	1.96856e-06
n	0.257456	0.739849	0.000591848	0.000281731	0.000394964	0.000215146	9.27295e-05	0.000146682	0.000113676	8.65713e-05	0.00077114
a	0.203789	0.667112	0.0724437	0.00142989	0.0056044	0.0195417	0.00187579	0.00241814	0.00537777	0.00523249	0.0151745
á	0.396563	0.0922449	0.423552	0.025347	0.0102135	0.00861164	0.00748953	0.010148	0.0159725	0.00270155	0.00715625
p	0.0206281	0.00472816	0.330259	0.607953	0.00978539	0.00227055	0.00515307	0.00379278	0.00678198	0.00237993	0.00626811
i	0.000786691	0.00019969	0.0614829	0.887862	0.0230852	0.00363007	0.0115539	0.00272847	0.00221693	0.00379195	0.00266236
i	0.0275233	8.14074e-05	0.0608101	0.778901	0.0804966	0.0106401	0.0190777	0.00995362	0.00624828	0.00277187	0.00349612
e	0.0938567	0.00652031	0.112906	0.0494773	0.38437	0.125159	0.0889063	0.0664898	0.0563685	0.00424207	0.0117041
l	0.00292401	0.00351741	0.0191685	0.193641	0.186464	0.151172	0.191516	0.0365325	0.0285066	0.164754	0.0218037
ώ	0.00293046	0.000158245	0.0185159	0.187007	0.239789	0.11082	0.131884	0.0545462	0.0398422	0.155384	0.0591234
ώ	0.000840141	0.000309838	0.0284227	0.143945	0.141063	0.046561	0.163273	0.0477258	0.0294388	0.339036	0.0593841
p	0.00294956	0.000178491	0.00605089	0.00425143	0.291432	0.1683	0.128337	0.222268	0.139931	0.0227002	0.0136014
i	0.00606647	0.000231536	0.00765619	0.027821	0.105488	0.0872834	0.0709346	0.429614	0.0830715	0.100881	0.0809522
i	0.00237823	0.000212811	0.00705348	0.0217473	0.0733959	0.0581901	0.0447263	0.295049	0.123574	0.211119	0.162554
n	0.00034723	3.08554e-05	0.00413631	0.00264317	0.0492787	0.0456205	0.0380109	0.297826	0.342852	0.162184	0.05707
í	0.00527519	0.000631023	0.00112945	0.000182462	0.012188	0.174274	0.270077	0.10373	0.0763623	0.275571	0.0805798
</S>	0.000620098	1.06488e-05	0.00719873	0.00286667	0.0275442	0.0244183	0.0905594	0.295133	0.261616	0.189511	0.100522
