 	je	le	trouve	bien	jeune	pour	cela	</S>
n	0.536057	0.210829	0.0492771	0.132458	0.0139888	0.0414458	0.0091038	0.00684119
g	0.977732	0.0120673	0.00128212	0.00462921	0.00204904	0.000962004	0.0010197	0.000258817
á	0.928652	0.0533886	0.00661958	0.00365141	0.00317396	0.00113724	0.00310306	0.000274086
l	0.200525	0.313252	0.0533342	0.0608336	0.0224248	0.0414761	0.0448372	0.263317
í	0.336991	0.244165	0.0736393	0.0190945	0.0235523	0.0452048	0.0183805	0.238972
i	0.119065	0.442114	0.114994	0.063966	0.0481927	0.0494141	0.0373912	0.124863
t	0.0132833	0.374706	0.480506	0.0113694	0.0149085	0.0154454	0.00861128	0.0811699
á	0.00325879	0.230199	0.685871	0.0149539	0.00344122	0.00928618	0.0100059	0.0429842
á	0.0244134	0.240702	0.539611	0.036417	0.00587809	0.0209084	0.0176724	0.114398
w	0.0418158	0.188081	0.237283	0.40494	0.0653428	0.0475932	0.00633716	0.0086074
a	0.0897968	0.311262	0.233775	0.10791	0.0202593	0.10874	0.0719744	0.0562834
a	0.0114175	0.171645	0.256033	0.275769	0.139152	0.0852287	0.023198	0.0375572
p	0.00450569	0.0695395	0.418393	0.204822	0.0457281	0.162271	0.0362837	0.0584573
é	0.000801241	0.030531	0.496275	0.0987184	0.0157058	0.0941225	0.103087	0.160759
n	0.00212936	0.0372611	0.266156	0.108311	0.0150302	0.159118	0.0736454	0.338348
d	0.0117299	0.0463866	0.187627	0.115095	0.0807803	0.199409	0.101001	0.257971
í	0.00500289	0.0472058	0.205454	0.0437568	0.0637539	0.116638	0.106955	0.411233
n	0.00189211	0.0227448	0.0566316	0.132126	0.0395603	0.358382	0.18073	0.207934
d	0.124482	0.0475781	0.0327251	0.0606962	0.0844833	0.161253	0.210483	0.2783
z	0.0208184	0.0182654	0.0208987	0.0275715	0.0207644	0.105871	0.210907	0.574903
é	0.000736089	0.00465956	0.0669994	0.0169923	0.0609962	0.0802017	0.519434	0.249981
s	0.00192854	0.0121231	0.0571578	0.0454897	0.0238949	0.0741876	0.278589	0.50663
í	0.000206226	0.00301639	0.030038	0.0614342	0.035613	0.135218	0.454742	0.279731
m	0.000484395	0.00443935	0.0177378	0.0352919	0.0222069	0.143873	0.110172	0.665794
ó	0.00249655	0.0301345	0.0772875	0.120809	0.0308365	0.270842	0.230436	0.237159
i	0.00320685	0.0196255	0.01693	0.123095	0.0221091	0.241101	0.425805	0.148128
b	0.00149006	0.0187605	0.038967	0.0397771	0.018248	0.152085	0.455886	0.274787
h	0.00197024	0.0138592	0.0372043	0.205795	0.0546029	0.172214	0.455243	0.0591112
ώ	0.000949353	0.0018002	0.00620237	0.0344786	0.0459403	0.0705951	0.739361	0.100673
ω	6.14108e-05	0.0014454	0.00881551	0.0497199	0.00340116	0.171925	0.473067	0.291565
d	0.000652042	0.0132034	0.0217917	0.0552035	0.00531671	0.19352	0.314985	0.395328
í	0.00044926	0.00822164	0.033387	0.0251482	0.00453029	0.115654	0.225373	0.587237
i	0.000205007	0.00381494	0.010778	0.0555007	0.00515123	0.0870934	0.271351	0.566105
</S>	0.00457949	0.0295808	0.0549365	0.063501	0.0128262	0.170138	0.238094	0.426344
