 	son	ami	lui	a	flanqué	un	bloc	de	terre	ferme	dans	la	figure	</S>
o	0.901099	0.0885452	0.00262677	0.000929049	0.0059909	0.000346246	8.61021e-06	0.000136784	6.25911e-05	7.21758e-05	0.000109991	5.87393e-05	5.96851e-06	7.70045e-06
b	0.00110787	0.996723	0.000590982	0.000337429	0.000873378	4.06107e-05	0.000140409	1.6392e-05	1.97029e-05	5.39728e-05	9.77888e-06	1.05521e-05	5.04236e-05	2.49703e-05
i	0.00387646	0.994067	0.0011964	0.000354337	0.000104656	0.000109412	1.84011e-05	4.11338e-05	5.0449e-05	5.25131e-05	4.93693e-05	4.38909e-05	2.30691e-05	1.28408e-05
a	0.017046	0.963738	0.00999697	0.00239494	0.000591612	0.00136813	0.00016667	0.000487987	0.000391592	0.000848242	0.000406689	0.000357349	0.000111283	0.0020944
á	0.574422	0.00961018	0.284705	0.0900946	0.00649697	0.0116284	0.00189153	0.00606576	0.00155901	0.00123767	0.00316399	0.00128879	0.000432779	0.00740304
w	0.0122158	0.0266634	0.158684	0.567664	0.148413	0.0443007	0.00852243	0.00900524	0.0011452	0.00647761	0.00545167	0.00547129	0.00169067	0.00429477
a	0.00120563	0.0083282	0.0310536	0.270761	0.588903	0.0516592	0.01632	0.00756938	0.00316547	0.00935347	0.00298334	0.00333635	0.00166376	0.00369762
l	0.0159989	0.00357272	0.237516	0.284095	0.26159	0.10559	0.0228701	0.0157207	0.00782175	0.010302	0.00611209	0.00572922	0.00318841	0.0198933
i	0.122285	0.000758988	0.114538	0.236826	0.312339	0.124388	0.00870803	0.022198	0.0133455	0.00692416	0.011244	0.00786025	0.00772762	0.0108578
w	0.0304362	0.00126578	0.151868	0.125299	0.117719	0.431588	0.0416517	0.0378246	0.01394	0.00887709	0.00793219	0.00556099	0.0070504	0.0189864
á	0.0538587	0.000553951	0.0895431	0.114796	0.0883572	0.231606	0.0374554	0.115765	0.170664	0.0218272	0.0222116	0.0237	0.0100432	0.0196182
o	0.0645723	0.000423531	0.0841658	0.0812951	0.0502899	0.457366	0.0447725	0.071128	0.0567928	0.0137526	0.0150418	0.00872225	0.0103201	0.0413567
t	0.00145569	0.00245953	0.00109053	0.00478995	0.0160543	0.100971	0.661282	0.0533325	0.0112318	0.119783	0.0109665	0.00662717	0.0033455	0.00661009
ú	9.36842e-05	0.000479807	0.000759249	0.00294667	0.0108579	0.0714822	0.708873	0.0438717	0.012253	0.128056	0.00559523	0.00250293	0.00242736	0.00980173
ú	0.00100689	5.56481e-05	0.000313997	0.00113827	0.00837406	0.0216639	0.909334	0.00699562	0.00258096	0.0335861	0.000712553	0.000483842	0.000235132	0.0135191
g	0.00290951	1.64914e-05	0.00198762	0.00358833	0.00304763	0.0985067	0.36267	0.229736	0.0412471	0.124607	0.0498906	0.0189121	0.00389087	0.0589906
h	0.0027923	2.14761e-06	0.000755978	0.00234444	0.00427746	0.0532277	0.062281	0.241429	0.184222	0.222947	0.14246	0.0305304	0.00869961	0.0440314
á	0.0130146	1.45532e-05	0.00167072	0.00370654	0.00691079	0.0501994	0.153075	0.191908	0.258873	0.172823	0.0808909	0.0174513	0.0235546	0.0259081
s	0.000300259	1.93517e-05	0.00381379	0.00329513	0.00166333	0.0124927	0.0611361	0.192236	0.344694	0.146457	0.141074	0.0484871	0.0282915	0.01604
é	0.00174964	3.50856e-05	0.000117055	0.000239711	0.000518685	0.00281559	0.0184988	0.0293092	0.194605	0.209936	0.068573	0.0306283	0.371359	0.0716145
l	0.00628701	0.000104639	0.000914177	0.000617893	0.000899903	0.0017499	0.0218555	0.0153262	0.294992	0.126657	0.058332	0.0336196	0.393565	0.0450788
é	0.00049968	0.000125642	0.000189805	0.000320993	0.000750855	0.00206745	0.00345737	0.00939106	0.0800153	0.102176	0.0473396	0.0413943	0.659333	0.0529395
n	4.2591e-05	3.57671e-05	0.000114432	0.000242739	0.000192549	0.00459033	0.0135229	0.026696	0.0456014	0.187524	0.101312	0.0572859	0.464511	0.0983287
g	0.000290221	8.34484e-05	0.000336369	0.000424551	0.00242559	0.00261646	0.00245404	0.00541379	0.0461204	0.0626691	0.0365218	0.0788742	0.680075	0.0816949
é	4.64942e-05	1.34746e-05	5.02158e-05	5.22185e-05	0.000986728	0.00129466	0.0032934	0.00509274	0.0779795	0.0670888	0.0139453	0.0150277	0.776446	0.0386833
</S>	1.12484e-05	1.04527e-05	0.000231936	0.000151798	0.00015751	0.00696051	0.0130624	0.0249489	0.0759047	0.130154	0.123848	0.0886011	0.24143	0.294528
