 	la	pluie	fait	pousser	les	légumes	verts	</S>
m	0.639566	0.339417	0.0130715	0.00379047	0.00259893	0.0014707	4.33981e-05	4.12349e-05
v	0.0241568	0.963437	0.00715548	0.000419289	0.000963397	0.000818566	0.000260581	0.00278899
ú	0.0292081	0.965068	0.0020165	0.00234493	0.000539241	0.000635002	0.000141243	4.68074e-05
á	0.394707	0.565013	0.0268938	0.00016405	0.0014549	0.00332878	0.00419507	0.00424396
l	0.0737255	0.0796187	0.784556	0.0172351	0.00749833	0.00215547	0.000660955	0.03455
á	0.0275799	0.0190104	0.26213	0.0113828	0.0423529	0.0193533	0.0112676	0.606923
a	0.491212	0.0642915	0.240542	0.0325086	0.0586138	0.0345534	0.0173552	0.060924
b	0.0143503	0.0495853	0.397068	0.439005	0.06314	0.00697998	0.00719875	0.022673
ó	0.00152595	0.00204344	0.0122444	0.976396	0.00662862	0.000400168	0.000122067	0.000639475
m	0.00571224	0.00778288	0.119069	0.807815	0.0325225	0.00160937	0.00131248	0.0241765
í	0.0251238	0.0102623	0.275602	0.144698	0.362984	0.0743988	0.0185057	0.0884251
s	0.0064827	0.00970742	0.205284	0.252409	0.401781	0.0799816	0.00502612	0.0393275
á	0.00501909	0.00289088	0.0369181	0.02225	0.504226	0.212129	0.043568	0.172999
a	0.0215143	0.00784924	0.0356103	0.00754018	0.282505	0.371684	0.245495	0.0278022
t	0.0039434	0.00669453	0.0116203	0.0495205	0.464937	0.267284	0.169117	0.026882
ú	0.00207328	0.00177859	0.0125463	0.0259976	0.240369	0.172655	0.381607	0.162973
n	0.0013708	0.00107523	0.0100443	0.00857464	0.153445	0.22275	0.124092	0.478648
g	0.00145753	0.00239506	0.00799407	0.00199556	0.151537	0.653527	0.125769	0.0553249
u	0.00184529	0.000841492	0.00445227	0.000798964	0.046896	0.642004	0.258544	0.0446176
</S>	0.00210669	0.000898562	0.00470667	0.000186683	0.0572683	0.231593	0.208479	0.494761
