 	les	porcs	sont	en	train	de	s'	accoupler	</S>
a	0.837138	0.147949	0.0135475	0.000110317	0.000267954	0.000117317	2.02977e-05	0.000846459	3.33282e-06
n	0.144133	0.808331	0.0447112	0.00063591	0.0017361	9.03675e-05	0.000144502	0.000142839	7.4825e-05
g	0.0116657	0.975242	0.01081	0.00133819	0.000173442	0.000153469	4.76087e-05	7.87753e-05	0.000490643
ú	0.0108175	0.968791	0.0155863	0.000968782	0.00344024	8.93457e-05	2.84536e-05	9.27838e-06	0.000269597
l	0.00414287	0.964795	0.0271736	0.00162954	0.000314226	4.03232e-05	0.000103911	1.69469e-05	0.00178377
u	0.182092	0.587272	0.180515	0.0151884	0.00714033	0.00432461	0.000918967	0.000771284	0.021777
b	0.113429	0.138996	0.333163	0.170882	0.0496059	0.14008	0.0311034	0.00321415	0.0195281
ó	0.216566	0.0984183	0.0745697	0.295014	0.035419	0.194108	0.0296174	0.0109876	0.0452998
b	0.0704291	0.0455191	0.142023	0.217801	0.172287	0.252917	0.0773415	0.00751299	0.0141694
á	0.238861	0.076373	0.28637	0.142016	0.126443	0.0690172	0.0368556	0.0195162	0.00454755
a	0.164581	0.0171859	0.186628	0.206725	0.111397	0.203335	0.0416832	0.0628558	0.00560881
p	0.0111153	0.0521153	0.0418749	0.100681	0.00954165	0.0909878	0.494071	0.00563608	0.193977
έ	0.00287944	0.019995	0.0157317	0.243551	0.0110833	0.0761176	0.492662	0.00731299	0.130667
n	0.157881	0.102144	0.0951376	0.131066	0.0307061	0.142286	0.127212	0.0296823	0.183884
d	0.173538	0.069231	0.117042	0.219164	0.0233948	0.272894	0.0363523	0.0666783	0.0217069
z	0.125545	0.12164	0.116789	0.251223	0.0319543	0.243831	0.0446926	0.0217799	0.0425462
έ	0.0666732	0.040395	0.0687327	0.388842	0.0432086	0.22271	0.0294049	0.0824464	0.0575875
έ	0.00429176	0.00486151	0.0077033	0.0413744	0.00208276	0.216127	0.015659	0.487565	0.220336
a	0.0122031	0.00740895	0.0106597	0.00764514	0.000899961	0.0150579	0.0136326	0.872192	0.0603004
b	0.0234445	0.0363258	0.0140825	0.0155296	0.0053043	0.0241353	0.068084	0.697655	0.115439
i	0.00683412	0.00292773	0.00524274	0.0201646	0.00746488	0.014325	0.0300003	0.90012	0.0129206
a	0.00345387	0.00461145	0.00440435	0.0277346	0.00356477	0.0175175	0.038729	0.635705	0.26428
</S>	0.0117869	0.0115987	0.00947298	0.0194288	0.000569813	0.0408651	0.0780698	0.0794242	0.748784
