 	l'	antilope	s'	est	enfuie	à	cause	du	bruit	des	pas	du	chasseur	</S>
m	0.551691	0.076246	0.124313	0.016902	0.0147095	0.0356758	0.0329898	0.0640701	0.0261192	0.0270236	0.0113306	0.00457003	0.0133291	0.0010306
v	0.0270055	0.910321	0.0274913	0.00732736	0.0118861	0.00488085	0.00171986	0.00205323	0.00129695	0.000462869	0.000546211	0.000217543	0.000480539	0.00431059
u	0.0100928	0.741445	0.00130151	0.0109319	0.22921	0.000926141	0.00189014	0.000711051	0.00159902	0.000204258	0.000297849	0.000300572	0.000931846	0.000157746
l	0.0304117	0.873795	0.00824012	0.0187403	0.0267051	0.00460035	0.00398829	0.00375935	0.0177358	0.000951249	0.0012104	0.00334048	0.00499342	0.00152844
u	0.321169	0.317658	0.162778	0.036397	0.0316566	0.0245769	0.0141213	0.0175203	0.0214836	0.00493696	0.00464386	0.0147614	0.0130341	0.0152632
á	0.105788	0.0276659	0.661604	0.11354	0.0112791	0.0300317	0.00967869	0.00927195	0.00254932	0.00743354	0.00541637	0.00451114	0.00164328	0.00958642
d	0.0246975	0.00742645	0.109374	0.439231	0.240514	0.0411482	0.0303047	0.0140573	0.00988662	0.0033275	0.0122974	0.0217579	0.00446104	0.0415166
u	0.00119093	0.00168875	0.00912767	0.275453	0.654063	0.0159765	0.00334326	0.00442205	0.00239499	0.000842306	0.00199907	0.00158647	7.8934e-05	0.0278332
m	0.0146576	0.00365409	0.0382605	0.334675	0.456862	0.0799663	0.0239281	0.0201067	0.0124233	0.00219745	0.00353045	0.00612713	0.00111428	0.00249683
u	0.00277014	0.00043768	0.0372324	0.245229	0.0901947	0.241452	0.0711968	0.129802	0.0650871	0.0583588	0.0290086	0.0195688	0.000809404	0.00885181
m	0.00199538	0.00138291	0.0162288	0.0861076	0.0345719	0.216502	0.223948	0.212398	0.146161	0.0306015	0.00925716	0.0075665	0.00653842	0.00674132
í	0.00185914	0.0043927	0.00970892	0.0479322	0.0353313	0.242565	0.164551	0.165377	0.107397	0.11851	0.051148	0.022816	0.00831685	0.0200949
k	0.00326605	0.00503175	0.00488726	0.0124027	0.0096263	0.0480774	0.124741	0.125733	0.387583	0.174736	0.0307198	0.0152374	0.0324504	0.0255078
w	0.000378391	0.00182138	0.000745248	0.000780078	0.000180203	0.0153293	0.179782	0.0774479	0.641782	0.0265025	0.0101283	0.00482829	0.027332	0.0129628
a	0.000232504	0.000443007	0.000260359	0.000929136	0.000253997	0.00611416	0.0358544	0.0543262	0.735728	0.0633547	0.0223847	0.0118707	0.0569186	0.01133
s	0.000190132	0.000358899	0.0010604	0.0032141	0.000326418	0.0624482	0.250184	0.2111	0.282459	0.0888725	0.0461459	0.0194605	0.0122783	0.0219019
i	0.0026196	0.00126698	0.00220884	0.00492223	0.00281217	0.0469238	0.0730599	0.123013	0.54947	0.0717754	0.0531877	0.0221464	0.00550484	0.0410898
m	0.0013962	0.000109826	0.00395794	0.00233563	0.000237427	0.021377	0.0258525	0.0982384	0.0673304	0.386061	0.185041	0.129405	0.0185966	0.0600605
o	0.0206993	0.00489531	0.00774621	0.00336849	0.00140372	0.0300474	0.0195762	0.0782318	0.0555044	0.162375	0.145849	0.128223	0.0394459	0.302634
b	0.00160389	0.000492623	0.00282609	0.00118078	0.000652508	0.00602202	0.00797754	0.0458842	0.152829	0.182893	0.102244	0.217851	0.164613	0.11293
e	0.00395581	0.00134501	0.0030746	0.00115143	4.32426e-05	0.0040422	0.0104728	0.0155372	0.029923	0.0442865	0.0642003	0.0385077	0.770811	0.0126491
n	0.000166544	0.000227002	0.000272028	0.000180826	2.08468e-05	0.00127494	0.014133	0.0140445	0.045001	0.0861542	0.0821644	0.0865171	0.528309	0.141534
g	0.0038951	0.00687979	0.00263243	0.00315821	0.000468308	0.013351	0.0215452	0.0386702	0.0770952	0.0703452	0.180137	0.103485	0.297298	0.18104
i	0.00965989	0.00228332	0.00380291	0.00093284	0.000280315	0.00996594	0.00516859	0.0462237	0.221209	0.0427781	0.0442229	0.0693622	0.317677	0.226433
</S>	0.00172165	0.000495642	0.00528492	0.00117978	0.000227824	0.00513938	0.00341416	0.0133158	0.00757327	0.0512877	0.130733	0.2553	0.0414007	0.482926
