 	son	grand	frère	l'	a	obligé	de	répudier	sa	femme	</S>
o	0.422948	0.494688	0.0350663	0.0144565	0.0132812	0.00308139	0.0120854	0.000691398	0.0036523	1.33503e-05	3.53536e-05
n	0.0369534	0.86076	0.0775849	0.00916329	0.00459111	0.00213216	0.00132257	0.00368124	0.000505362	0.000643045	0.00266291
y	0.0181235	0.63929	0.124563	0.0552294	0.0154365	0.0160739	0.0200233	0.0880794	0.00375746	0.0131912	0.00623275
ε	0.0384647	0.867811	0.0437634	0.0257037	0.00719815	0.00436019	0.0053659	0.00378849	0.00165548	0.000564525	0.00132481
b	0.0501348	0.743121	0.0417107	0.0464852	0.00674517	0.00760285	0.0114743	0.021757	0.00314525	0.00119302	0.0666303
h	0.205512	0.473966	0.0123731	0.0179695	0.0050512	0.00943754	0.0179146	0.0304996	0.00648549	0.0038261	0.216965
í	0.0786959	0.251103	0.0241818	0.0505038	0.0104594	0.0154694	0.0233802	0.0388794	0.026275	0.00559046	0.475461
á	0.132007	0.038169	0.236764	0.389516	0.182282	0.00320022	0.00483705	0.000729387	0.00446903	0.000412425	0.00761401
b	0.0166292	0.0154931	0.175603	0.19939	0.417172	0.10115	0.0189323	0.00698582	0.00252427	0.0041871	0.0419334
h	0.0044051	0.020829	0.215116	0.134436	0.363312	0.230555	0.0162315	0.00732168	0.00186744	0.00231956	0.00360675
í	0.0147676	0.0399732	0.267428	0.169398	0.237452	0.226754	0.0292213	0.00633654	0.00142906	0.00112817	0.00611226
i	0.0111663	0.0124585	0.108289	0.188739	0.262906	0.247044	0.0464331	0.0219899	0.00715122	0.00730486	0.0865174
w	0.00414684	0.00621999	0.0219643	0.0754168	0.114527	0.486005	0.190165	0.0644754	0.00590791	0.00595503	0.0252169
a	0.0115615	0.00941966	0.0278784	0.136402	0.110082	0.192317	0.324836	0.0833339	0.0709404	0.014732	0.0184981
m	0.00549483	0.00424511	0.029729	0.126334	0.135199	0.222681	0.282769	0.102412	0.0189691	0.0113967	0.0607695
í	0.0102187	0.0137333	0.0140378	0.0204749	0.0309228	0.0596981	0.329855	0.263206	0.138203	0.056626	0.0630241
t	0.00935274	0.00511978	0.0169537	0.0177256	0.02621	0.123815	0.384591	0.372337	0.0151378	0.0156082	0.0131493
ó	0.00399956	0.00573633	0.0116651	0.018445	0.0267566	0.0730886	0.338465	0.462677	0.00902367	0.0260566	0.0240862
n	0.00070423	0.00146916	0.00618136	0.0113251	0.00911337	0.0580136	0.152886	0.630311	0.00906133	0.0404755	0.080459
a	0.00464079	0.0197247	0.0133833	0.0249502	0.0192825	0.190726	0.320368	0.32168	0.0161302	0.00713794	0.0619765
l	0.00371222	0.00419338	0.00340287	0.0097504	0.00873425	0.0448099	0.273818	0.276799	0.238028	0.0154146	0.121338
á	0.00264109	0.00154584	0.00381241	0.00340436	0.00215608	0.0354257	0.187623	0.527024	0.0705807	0.0179922	0.147795
m	0.00732196	0.00316006	0.00369215	0.0141204	0.00381875	0.00141127	0.107658	0.11275	0.652333	0.0774912	0.0162427
w	0.000623109	0.00116613	0.00134465	0.000573751	0.000429021	0.000428182	0.0126755	0.179646	0.135066	0.634341	0.0337063
á	0.00163175	0.000390031	0.000406661	0.000228871	0.000297416	0.00231707	0.00923176	0.400986	0.01622	0.563639	0.00465106
s	0.00862085	0.00114039	0.000894702	0.000739709	0.00150736	0.0196007	0.11446	0.0619472	0.657801	0.0784694	0.0548179
í	0.0121423	0.0111267	0.00962537	0.010688	0.00807074	0.0382023	0.0637748	0.450515	0.0861873	0.102755	0.206913
</S>	0.010312	0.00301722	0.00418941	0.00927934	0.00527588	0.00268432	0.0324633	0.0200845	0.383907	0.0391501	0.489637
