 	le	chef	de	notre	village	est	malade	</S>
m	0.941144	0.0249132	0.0201294	0.0065485	0.00304509	0.00366542	0.000505167	4.97386e-05
w	0.378525	0.438112	0.0768657	0.00615582	0.0427742	0.0281836	0.00433076	0.025053
ε	0.0716025	0.918269	0.00209044	0.000492102	0.00583185	0.000102092	0.000268639	0.00134326
n	0.439282	0.375135	0.07819	0.00201263	0.00247585	0.0117304	0.0108569	0.0803171
έ	0.839387	0.0737538	0.0639755	0.00248514	0.00506301	0.00248921	0.00279277	0.0100533
y	0.0815982	0.0235798	0.773017	0.0257441	0.0222849	0.0342493	0.00145895	0.038068
a	0.74116	0.0167979	0.142648	0.017445	0.0357204	0.0118029	0.000698146	0.0337275
p	0.456826	0.00688281	0.16699	0.099239	0.25568	0.00397134	0.0011915	0.00921923
o	0.00667255	0.0260752	0.00843343	0.00261166	0.93446	0.00519389	0.00895859	0.0075947
o	0.0249514	0.0892388	0.0250905	0.00432182	0.826276	0.00954062	0.0130232	0.00755822
y	0.0128078	0.000295156	0.336563	0.338959	0.0848367	0.208447	0.00601289	0.0120785
á	0.087973	0.00288158	0.326059	0.136117	0.292684	0.118575	0.00537717	0.0303329
b	0.0132025	0.00022227	0.153169	0.506998	0.0464852	0.23374	0.0104927	0.0356908
í	0.00267388	0.000148286	0.0068802	0.945614	0.00594875	0.0291971	0.00222773	0.00730968
s	0.000400602	8.1834e-06	0.00352043	0.987625	0.00180584	0.00395994	0.00021062	0.00246913
í	0.039221	0.0069506	0.0391233	0.646359	0.0285921	0.10118	0.00425165	0.134322
a	0.00120004	0.00101167	0.0291155	0.0550502	0.0621631	0.708433	0.0288362	0.11419
d	0.00399171	0.00400297	0.0312971	0.0122672	0.0278724	0.818353	0.0593942	0.0428213
i	0.00832257	0.00111873	0.0101174	0.0359444	0.00551031	0.43239	0.0222216	0.484374
n	0.00273352	0.000144256	0.0133972	0.0759935	0.00387154	0.402591	0.192434	0.308835
d	0.009384	0.000655652	0.0396638	0.0754708	0.00381618	0.0949194	0.184643	0.591447
z	0.000701151	0.000432768	0.00940605	0.0113851	0.00178683	0.0789354	0.434415	0.462938
ó	0.00019649	0.00136003	0.00647088	0.00344789	0.0038214	0.00876584	0.366838	0.609099
r	0.000632094	0.00675931	0.0134433	0.00122618	0.00471902	0.0059141	0.476401	0.490905
o	0.000459299	0.00244805	0.0136892	0.00520473	0.0153671	0.0196729	0.18218	0.760979
l	0.00231618	0.00179957	0.0204517	0.00934852	0.00511424	0.0667199	0.0982659	0.795984
a	0.00100341	0.0025116	0.0126708	0.0247642	0.00828918	0.121865	0.258455	0.570441
b	0.00291938	0.000527117	0.0241081	0.078762	0.00839841	0.129891	0.410126	0.345268
v	0.00557369	0.000190543	0.0237128	0.537829	0.000355148	0.270603	0.134053	0.0276827
ú	0.00146105	0.00013879	0.00305842	0.806675	0.000638097	0.0294375	0.113798	0.0447935
a	0.00219437	0.000259542	0.00692864	0.0750374	0.0014871	0.0912485	0.353739	0.469105
</S>	0.0053711	0.000316511	0.0367808	0.0145235	0.000620178	0.117699	0.06523	0.759459
