 	cette	rue	est	animée	de	ce	côté	à	cause	de	la	musique	</S>
b	0.347759	0.488835	0.085361	0.0008833	0.0279001	0.0176809	0.018372	0.00544311	0.00318603	0.00257931	0.00177024	0.000151066	7.89198e-05
a	0.0196833	0.943547	0.0143133	9.10844e-05	0.00310254	0.0040874	0.00935376	0.00241807	0.00100273	0.000602147	0.000783453	0.000916925	9.83301e-05
l	0.0174366	0.737061	0.0339622	0.000589082	0.0128022	0.02242	0.142295	0.0177919	0.00733536	0.00336702	0.00116164	0.00115999	0.00261786
a	0.281622	0.538752	0.0654352	0.009911	0.0361756	0.0333145	0.00793846	0.0100204	0.00520925	0.00243238	0.00156281	0.00191785	0.00570891
b	0.256977	0.180662	0.376419	0.0244395	0.0550966	0.0227698	0.00718132	0.0228631	0.0106348	0.00765298	0.0065103	0.00320733	0.0255863
á	0.0887923	0.102952	0.531938	0.00252481	0.088821	0.032807	0.032167	0.0286435	0.0243358	0.0241401	0.013634	0.000972618	0.0282727
l	0.137304	0.225713	0.345519	0.00469609	0.0370957	0.0327447	0.0664332	0.040599	0.0245971	0.0253616	0.0181942	0.0105012	0.0312409
a	0.23666	0.0532208	0.255984	0.0119835	0.0609472	0.0366406	0.00920364	0.0405644	0.0203765	0.019166	0.0151948	0.0466431	0.193416
b	0.255084	0.104914	0.21334	0.0690455	0.0484641	0.0351737	0.016314	0.0444141	0.0189352	0.0186233	0.0163752	0.043731	0.115586
v	0.15423	0.230331	0.308765	0.0413402	0.085818	0.064835	0.0452103	0.0211484	0.0226143	0.013176	0.00672936	0.00134281	0.00445956
ú	0.0601665	0.0812917	0.316405	0.057646	0.146427	0.0943705	0.134513	0.0347631	0.0241636	0.0184225	0.00971846	0.00216637	0.0199469
ó	0.108844	0.0289437	0.403053	0.108346	0.159965	0.0879684	0.0146624	0.019535	0.0145709	0.0200252	0.0200052	0.00484733	0.00923364
d	0.0172364	0.00219374	0.515918	0.144931	0.221455	0.0324474	0.0128925	0.015442	0.00926091	0.00806533	0.00667293	0.000801353	0.012683
í	0.0228012	0.00101394	0.258894	0.3564	0.101282	0.0456402	0.00184082	0.0231871	0.00969855	0.00831969	0.00756163	0.0134279	0.149933
y	0.0180972	0.00180669	0.16157	0.203289	0.281393	0.120704	0.0384829	0.0497216	0.020696	0.022347	0.0217465	0.0112957	0.0488509
o	0.0126586	0.00397978	0.113919	0.0541385	0.260953	0.20776	0.125766	0.0850273	0.0522725	0.0258933	0.0140223	0.00628334	0.0373266
o	0.00465386	0.000622506	0.0311732	0.130861	0.327009	0.277786	0.0738081	0.0599305	0.0450409	0.0162762	0.00839343	0.0019932	0.0224516
y	0.00197706	0.000415453	0.0339099	0.0557956	0.349477	0.211305	0.0793916	0.129957	0.0800326	0.0270788	0.0145968	0.00161349	0.0144493
o	0.0375471	0.00165364	0.0561308	0.232532	0.167676	0.186752	0.0245218	0.149845	0.0627163	0.0290439	0.0248328	0.0095124	0.017237
o	0.00264824	0.000531029	0.0296671	0.031722	0.227272	0.274763	0.0665018	0.208042	0.0739894	0.026734	0.0140246	0.00664991	0.037455
m	0.00238934	0.00238434	0.0346101	0.151533	0.192682	0.160798	0.0416485	0.111774	0.185287	0.0554591	0.0195557	0.00553011	0.0363474
í	0.00210197	0.00577049	0.0477426	0.0186019	0.0857659	0.202429	0.0590334	0.285935	0.171464	0.0523601	0.0275849	0.00257957	0.0386315
b	0.000661737	0.0028203	0.0228001	0.0050799	0.146004	0.1727	0.0958171	0.168172	0.202236	0.0934999	0.0396541	0.0146187	0.0359374
h	0.0010171	0.00250535	0.0115679	0.00530442	0.120413	0.167627	0.116329	0.094335	0.26145	0.139062	0.0413674	0.00478816	0.0342337
ε	0.000563629	0.00116831	0.00169258	0.00394383	0.0886857	0.170689	0.415285	0.0598286	0.095689	0.0585662	0.017185	0.00456152	0.0821411
ε	0.00107709	3.70135e-05	0.00135068	0.000604617	0.0887938	0.12507	0.14228	0.184056	0.183259	0.167269	0.0722486	0.00387195	0.0300818
d	0.00246514	5.73182e-05	0.00472235	0.000366712	0.0534236	0.040542	0.055383	0.134461	0.185563	0.259694	0.161495	0.0173663	0.0844595
í	0.000980966	9.35851e-05	0.00699477	0.00481943	0.0486722	0.0726403	0.00474421	0.133805	0.178021	0.1757	0.118612	0.0367171	0.218199
m	0.000829245	0.000137664	0.00323499	0.00271277	0.0220907	0.0378803	0.0115571	0.0882799	0.0913909	0.186977	0.19658	0.190146	0.168184
b	0.000715338	0.000318148	0.00825227	0.000544621	0.0275794	0.0488855	0.029321	0.140427	0.150219	0.183853	0.198814	0.0637458	0.147325
é	0.00155387	0.000687578	0.00106027	0.000194887	0.0208461	0.101473	0.056476	0.0972981	0.107809	0.174243	0.0985154	0.107565	0.232278
á	0.000822501	0.000179531	0.00272752	0.00100892	0.033533	0.072894	0.0623805	0.0974953	0.147583	0.208141	0.17717	0.0354184	0.160646
l	0.00193201	0.000164436	0.00816525	0.002271	0.0130073	0.0123887	0.0119908	0.048172	0.0483302	0.11513	0.196167	0.250609	0.291672
a	0.00199883	0.00044821	0.00580839	0.00123706	0.00691095	0.004951	0.00138839	0.0106884	0.0165851	0.0364566	0.0365179	0.379778	0.497231
l	0.000644804	0.000509077	0.00253696	0.000421592	0.0135563	0.0155279	0.00644775	0.0371133	0.0175903	0.0637703	0.117242	0.60345	0.121189
í	0.00426025	0.000476867	0.0121502	0.00214924	0.00810582	0.00645645	0.000731641	0.0108862	0.0110733	0.0286975	0.0456272	0.690165	0.17922
n	0.000372228	0.000264044	0.00185569	0.000303217	0.00704262	0.00879396	0.00390176	0.0223668	0.0178441	0.0579301	0.0859076	0.52846	0.264958
g	0.00084387	9.82103e-05	0.000121796	1.55039e-05	0.000332187	0.00062758	0.000114762	0.000895219	0.000508233	0.00206956	0.00523309	0.965606	0.0235344
a	0.000287815	0.000119335	0.000256898	5.67874e-05	0.000275348	0.000428663	9.33096e-05	0.000893524	0.000808994	0.00294313	0.00521453	0.927792	0.06083
</S>	8.07366e-05	9.55633e-06	0.000150258	0.000261341	0.00172495	0.00663835	0.000979346	0.0155922	0.0117741	0.0397615	0.0514551	0.437525	0.434048
