 	la	carpe	est	un	poisson	écailleux	</S>
m	0.834957	0.131355	0.0199893	0.00460614	0.00428002	0.00417042	0.000642805
b	0.0292646	0.934858	0.0253508	0.00284057	0.00229548	0.000454893	0.00493599
ó	0.096024	0.892363	0.00936683	0.00101822	0.000579516	0.000288519	0.000360337
r	0.0723887	0.899235	0.0233038	0.00212498	0.00157355	0.000270681	0.00110357
ó	0.576326	0.301024	0.0725698	0.00994264	0.0118884	0.00629768	0.0219514
a	0.223272	0.118696	0.531884	0.074081	0.0188795	0.00392451	0.0292633
d	0.25035	0.0058756	0.406547	0.144827	0.0499561	0.0133086	0.129135
i	0.036924	0.0107126	0.106512	0.105035	0.0791728	0.00374213	0.657902
s	0.0345353	0.00204768	0.1298	0.274347	0.228485	0.147776	0.18301
w	0.0160462	0.00600249	0.0423358	0.139762	0.277622	0.148475	0.369756
é	0.0440553	0.054077	0.0637793	0.113252	0.24829	0.312689	0.163858
y	0.00781607	0.00231687	0.0538835	0.228576	0.231997	0.242529	0.232881
a	0.00681862	0.0011731	0.0930313	0.220301	0.156172	0.26441	0.258093
p	0.00682816	0.00110211	0.0324645	0.0648749	0.106046	0.576523	0.212162
f	0.00104793	0.000179447	0.0070142	0.0326336	0.0166758	0.886889	0.05556
é	0.00323355	0.000465133	0.008485	0.0627337	0.0356814	0.739558	0.149843
b	0.000774555	0.000289597	0.00490231	0.0569093	0.0917675	0.573393	0.271964
h	0.0037097	3.56506e-05	0.00938008	0.0600912	0.0532326	0.420399	0.453152
é	0.0250808	0.00447052	0.021909	0.0887247	0.131128	0.279603	0.449084
</S>	0.00391851	0.00020468	0.014668	0.0596789	0.0844315	0.186145	0.650953
