 	je	ne	mange	pas	les	safous	</S>
n	0.861319	0.0748766	0.0134994	0.0325502	0.0161054	0.000762868	0.000886957
g	0.989092	0.00483902	0.00049923	0.00129956	0.00345433	0.000716154	0.000100034
á	0.960358	0.024179	0.0017213	0.00381711	0.00383111	0.00586133	0.000232347
i	0.160512	0.386078	0.0837366	0.0952868	0.0700117	0.0236371	0.180738
d	0.0101417	0.420314	0.439666	0.0669497	0.00687965	0.00639391	0.0496543
í	0.0121669	0.421193	0.442604	0.044033	0.0104847	0.0233711	0.0461478
o	0.0223754	0.118811	0.508047	0.0934917	0.132431	0.0655761	0.0592668
d	0.00112487	0.0588927	0.710311	0.160837	0.0186694	0.0426129	0.00755166
z	0.000431849	0.0243183	0.824434	0.0921096	0.0120312	0.0243156	0.0223592
á	0.032081	0.0807949	0.570898	0.115273	0.0209439	0.15384	0.02617
s	0.00111906	0.0235858	0.0785265	0.0805051	0.280498	0.222387	0.313378
á	0.000385862	0.00787883	0.079329	0.0741902	0.249416	0.507192	0.0816076
á	0.00160325	0.0060441	0.01694	0.049858	0.359971	0.545839	0.0197446
k	0.00172601	0.0148631	0.0329771	0.0747736	0.229212	0.459084	0.187365
a	0.00442983	0.0248266	0.110339	0.255328	0.215175	0.0837422	0.30616
á	0.000988037	0.00505064	0.0467323	0.0927115	0.171404	0.138936	0.544178
</S>	0.00122069	0.00831407	0.0110663	0.0272615	0.123683	0.280028	0.548426
