 	l'	assesseur	défend	le	sorcier	devant	les	juges	</S>
o	0.9558	0.0407889	0.00122804	0.00101808	0.000334182	0.000342932	0.000410582	7.22658e-05	4.71104e-06
b	0.0404497	0.955453	0.0011482	0.000394426	0.000431663	0.000485916	0.000265699	0.000977475	0.000394216
é	0.0297747	0.928747	0.0219731	0.00187387	0.00442443	0.00488505	0.000492714	0.00741083	0.000418079
l	0.00921116	0.614732	0.119022	0.0157725	0.0341141	0.0339812	0.0038536	0.101525	0.0677887
a	0.522543	0.310019	0.0402168	0.0294855	0.0164834	0.0131265	0.0067612	0.0187884	0.0425763
m	0.4651	0.320934	0.0746388	0.0489173	0.0170044	0.0144786	0.01064	0.00727604	0.0410106
ó	0.198704	0.20542	0.176713	0.179327	0.0337941	0.0447234	0.0722669	0.0130463	0.0760058
o	0.52253	0.101972	0.20578	0.0550117	0.0283392	0.020417	0.014006	0.0133912	0.0385528
d	0.000845807	0.0232627	0.912972	0.0104105	0.0269858	0.013965	0.0012938	0.00491074	0.00535333
i	0.00298114	0.0365258	0.680806	0.0415518	0.0544326	0.0980793	0.00250217	0.0123729	0.0707481
b	0.0617722	0.07448	0.645277	0.0965891	0.059588	0.0362468	0.00309548	0.00324375	0.0197081
h	0.0251655	0.00548264	0.708457	0.172291	0.051821	0.0110937	0.00483039	0.00713654	0.0137222
á	0.00130194	0.00203064	0.69888	0.109441	0.0343536	0.0318692	0.0127193	0.0197928	0.0896119
á	0.00507986	0.00132089	0.259689	0.579947	0.0585016	0.0365674	0.0370397	0.00792757	0.0139276
o	0.00534195	0.00210377	0.0211774	0.554285	0.205371	0.132456	0.0556757	0.0174921	0.00609734
l	0.000193783	0.00320302	0.206029	0.053562	0.44851	0.234268	0.00470381	0.0441279	0.00540218
ω	0.000508055	0.00635714	0.0810316	0.062844	0.377029	0.413134	0.00364988	0.0448822	0.0105635
i	4.71644e-05	0.000305041	0.0720172	0.0881945	0.314231	0.393993	0.00906111	0.0756917	0.0464599
ó	0.000858838	0.000112542	0.00486725	0.229062	0.1809	0.170853	0.354905	0.0306198	0.0278202
m	0.00055101	0.00118541	0.016204	0.0302606	0.105492	0.332797	0.217352	0.259691	0.0364659
i	0.000462259	0.00351449	0.00327926	0.0276183	0.0317775	0.404448	0.211591	0.102316	0.214992
s	2.93577e-05	0.000980905	0.0118022	0.00691172	0.0759263	0.579618	0.0551043	0.156726	0.112901
i	6.42696e-05	0.000247619	0.00289373	0.00554115	0.0287482	0.781791	0.0152354	0.0702937	0.095185
m	2.1956e-05	6.57759e-05	0.00312167	0.012172	0.0826911	0.553812	0.0213881	0.0921045	0.234623
á	0.000475208	0.000111022	0.00448219	0.048552	0.0678952	0.270655	0.149111	0.112224	0.346494
k	0.000861527	9.51554e-05	0.00241308	0.0203218	0.0179497	0.064872	0.316543	0.240349	0.336595
á	0.000237703	0.000379084	0.0100997	0.0125375	0.0125491	0.015968	0.12705	0.764533	0.0566453
n	0.00130034	0.000815953	0.0164062	0.0198844	0.015013	0.0330023	0.149219	0.458692	0.305667
i	0.000265035	0.000161101	0.00195787	0.0057849	0.0142292	0.0350711	0.0632832	0.645981	0.233266
</S>	0.00025247	3.7594e-05	0.000700428	0.00984839	0.0122917	0.0522037	0.210337	0.169895	0.544435
