 	il	n	'	y	en	a	pas	assez	pour	moi	</S>
b	0.424762	0.243831	0.062405	0.10186	0.0246103	0.0168387	0.0262731	0.0388397	0.0536646	0.00213499	0.00478087
á	0.0806042	0.646454	0.105477	0.104302	0.0165273	0.00479103	0.00347373	0.00434403	0.0253044	0.00687258	0.00184899
n	0.138069	0.451911	0.102722	0.111929	0.0337128	0.0199199	0.0183902	0.0125383	0.0319313	0.00913276	0.0697426
g	0.0975515	0.700093	0.051091	0.00608071	0.00319445	0.001704	0.000638148	0.000736748	0.00922449	0.0557777	0.0739085
á	0.0260638	0.833865	0.0557486	0.00188732	0.00228234	0.000577619	6.36322e-05	0.000157354	0.000713553	0.0695899	0.00905135
í	0.0953947	0.0113239	0.298416	0.306146	0.110253	0.042584	0.0161896	0.0120153	0.0487457	0.0212365	0.0376948
d	0.0230571	0.00279355	0.059585	0.117246	0.266015	0.114923	0.034217	0.0473857	0.0445407	0.0543788	0.235858
í	0.00846489	0.000543912	0.0567363	0.0203	0.13369	0.065043	0.00808885	0.0152232	0.0162425	0.0098183	0.665849
i	0.0128547	0.00159623	0.0490408	0.0415195	0.0863306	0.123485	0.163815	0.168551	0.103396	0.0258303	0.223582
k	0.0108316	0.00371374	0.0179834	0.0207727	0.125921	0.163958	0.117152	0.0949844	0.0626858	0.128668	0.253329
í	0.0128625	0.00559241	0.00516732	0.013777	0.0580508	0.0659288	0.133425	0.156872	0.090919	0.0300755	0.42733
ε	0.00879596	0.00744468	0.0231493	0.0342243	0.0567966	0.0950853	0.179625	0.182662	0.0823408	0.0300353	0.29984
έ	0.00116381	0.000200879	0.00545969	0.00985505	0.0297299	0.113517	0.287139	0.207321	0.213304	0.053455	0.0788548
</S>	0.00602153	0.000444946	0.0102575	0.00849443	0.0333983	0.0738606	0.16398	0.216217	0.245293	0.0281529	0.21388
