 	de	petits	enfants	ont	désacralisé	le	kyebé-kyebé	en	s'	amusant	avec	les	masques	de	cette	danse	</S>
b	0.492947	0.410765	0.0712182	0.0013577	0.000578608	0.00796554	0.00404504	0.00357348	0.00149439	0.00312404	0.00164357	0.000599395	0.000390268	0.000170413	7.21035e-05	5.21757e-05	2.5067e-06
á	0.105719	0.722647	0.163243	0.00217807	0.00033791	0.0010405	0.000189095	0.000434094	0.000829784	0.000211359	0.00114635	0.000564685	0.000380054	0.000346896	0.000373746	0.000343405	1.40891e-05
n	0.021054	0.425468	0.531252	0.00663132	0.000578795	0.0014357	0.000377449	0.000548404	0.0015323	0.00141764	0.00296972	0.0031096	0.001319	0.000814663	0.000239538	0.00110144	0.000151178
a	0.0598964	0.859667	0.0515653	0.00547692	0.00133406	0.000734941	4.48623e-05	0.000165926	0.00145874	0.000571468	0.00469217	0.00462824	0.0019739	0.000743116	0.000336069	0.000730474	0.00598004
b	0.331376	0.164511	0.154972	0.10736	0.0269877	0.0211955	0.00528585	0.0186164	0.0218914	0.00869545	0.033834	0.0211918	0.0213262	0.016317	0.0140558	0.0081603	0.024223
á	0.0709602	0.179098	0.227659	0.106764	0.00368953	0.0628158	0.0347077	0.0514328	0.0530604	0.0150201	0.03001	0.0391008	0.0317547	0.0344427	0.0163677	0.0266137	0.0165026
n	0.0189376	0.145198	0.464772	0.157362	0.0126059	0.0217935	0.0156156	0.00973745	0.00638519	0.00608707	0.0137311	0.0196227	0.0226031	0.0225317	0.0118851	0.0162687	0.0348635
d	0.0504562	0.791253	0.0410653	0.0270149	0.0388973	0.00281532	0.000310264	0.000553012	0.00246651	0.000230422	0.00812322	0.0082425	0.00847929	0.0044178	0.00316409	0.0035683	0.00894255
z	0.113037	0.209251	0.189302	0.128295	0.248127	0.00699576	0.000484434	0.00175035	0.00569505	0.00159505	0.0222729	0.0212222	0.0163005	0.00731803	0.00724093	0.00377086	0.0173426
é	0.215313	0.15085	0.0319009	0.0539802	0.372319	0.0118955	0.000850432	0.00529122	0.0148324	0.00553198	0.0128406	0.0274337	0.0200265	0.0144735	0.0177653	0.0114324	0.033264
s	0.352404	0.129109	0.0327791	0.0712103	0.0877896	0.0370168	0.00183477	0.021582	0.0418846	0.0082151	0.0198637	0.0236263	0.0272791	0.0243493	0.0243082	0.0279065	0.0688419
i	0.487569	0.129651	0.0388613	0.0611312	0.0625546	0.0294164	0.00162977	0.0105446	0.0222718	0.00448322	0.0112087	0.017372	0.0196794	0.0134963	0.0154643	0.0282379	0.0464282
á	0.0436426	0.0266493	0.0610914	0.547834	0.240991	0.037375	0.00459915	0.00559285	0.00432156	0.00140142	0.00543104	0.00388314	0.00450001	0.00326099	0.00378388	0.0013727	0.00426998
s	0.00320964	0.0027388	0.00447439	0.0990468	0.771711	0.0506267	0.0131366	0.00652742	0.00317131	0.00689654	0.00218361	0.00677299	0.00593901	0.00570446	0.00350763	0.00221154	0.0121413
a	0.000125615	0.000130757	0.000201601	0.0123594	0.969872	0.00684348	0.000368789	0.000411338	0.00033091	0.000261718	0.000494942	0.00178901	0.00163091	0.00100495	0.000600315	0.000220093	0.00335429
a	0.00421678	0.00115313	0.00126107	0.0366186	0.789828	0.0779908	0.00492495	0.00739911	0.00318791	0.00564278	0.00160021	0.00970197	0.0127629	0.0105593	0.00720392	0.00362674	0.022322
l	0.00231292	0.00398747	0.00590415	0.145252	0.167579	0.365417	0.148128	0.0617489	0.0204468	0.0143257	0.0148017	0.00879071	0.0100783	0.00733272	0.00851647	0.00274509	0.0126327
i	0.00516118	0.00216987	0.00206997	0.0636452	0.145087	0.214633	0.0758885	0.0859139	0.0639533	0.0257423	0.0264654	0.0387871	0.035748	0.037796	0.0275638	0.00862983	0.140746
k	0.00373198	0.00104805	0.00177572	0.0369049	0.0252391	0.254613	0.121224	0.217229	0.114235	0.0394277	0.0340146	0.0277414	0.0232035	0.0207922	0.018111	0.014406	0.0463014
y	0.00113357	0.000405319	0.000840563	0.00115636	0.00105217	0.171449	0.459813	0.0851569	0.0201791	0.187651	0.00495982	0.00971362	0.00777421	0.00877894	0.00147075	0.0205681	0.0178976
e	0.000705772	0.000161312	0.000293749	0.00124302	0.000762522	0.123683	0.383087	0.117263	0.0564443	0.22763	0.0159946	0.011268	0.00870852	0.00991523	0.00305506	0.0138318	0.0259532
b	0.000191624	2.81421e-05	7.84614e-05	0.00130757	0.000839664	0.0968323	0.274097	0.154494	0.0451029	0.332912	0.0106182	0.00916457	0.00906415	0.00691637	0.00778181	0.0049041	0.0456678
