 	il	balaie	la	cour	</S>
w	0.873043	0.0666934	0.0580607	0.00174329	0.000460061
a	0.773963	0.0679707	0.154086	0.00330282	0.00067738
l	0.353942	0.355916	0.240859	0.00696547	0.0423176
á	0.100697	0.170174	0.191141	0.0138941	0.524095
a	0.442607	0.0794425	0.297502	0.0422533	0.138195
w	0.0260624	0.858308	0.0550398	0.0266992	0.0338907
ώ	0.0438785	0.904682	0.0301579	0.00705835	0.0142229
m	0.00664822	0.936493	0.0375417	0.0117175	0.00760006
b	0.0477205	0.404157	0.322294	0.0169015	0.208927
ώ	0.0530537	0.336096	0.265462	0.0141332	0.331256
d	0.137548	0.0833393	0.682416	0.0590987	0.0375981
z	0.0137489	0.0475914	0.244102	0.285802	0.408755
a	0.00191473	0.00353132	0.074285	0.85719	0.0630793
n	0.0017502	0.00883637	0.347797	0.185128	0.456489
g	0.00529358	0.0163994	0.0574584	0.626742	0.294106
é	0.00106967	0.00874839	0.030316	0.844408	0.115458
</S>	0.00505749	0.0235724	0.127915	0.278653	0.564803
