 	on	a	tué	le	python	sur	le	chemin	qui	mène	au	ruisseau	</S>
á	0.782565	0.139807	0.0067207	0.0247309	0.00385063	0.00468227	0.0052671	0.0107343	0.0167248	0.000357455	0.00377755	0.000647461	0.000133878
b	0.1441	0.471134	0.317402	0.0119008	0.000508458	0.000698979	0.00256976	0.00224208	0.00411315	0.0154137	0.00802266	0.0206984	0.00119527
o	0.0235653	0.08214	0.784533	0.0326764	0.0545222	0.00212403	0.00408832	0.00444597	0.000929668	0.00126679	0.00181148	0.00421293	0.00368356
m	0.00255733	0.0710748	0.753407	0.0309661	0.00499528	0.00434348	0.0091446	0.0182512	0.00741313	0.0571995	0.0111264	0.0104973	0.0190239
i	0.0114123	0.0348404	0.295894	0.204055	0.170002	0.151493	0.0408085	0.00154453	0.024746	0.00400439	0.0159458	0.00520217	0.0400516
m	0.0947277	0.0885143	0.0717506	0.326796	0.303239	0.0592065	0.00673566	0.0041015	0.00743323	0.00219014	0.00762398	0.00155364	0.0261283
b	0.0026006	0.00509636	0.0431567	0.0724394	0.689914	0.150409	0.0199288	4.62044e-05	0.00401852	0.000152229	0.00373144	0.000358975	0.00814796
ω	0.00130344	0.00162521	0.0688103	0.0930579	0.795635	0.0160691	0.00758012	0.00217826	0.00168374	0.000767652	0.000762918	0.00224991	0.00827605
m	0.00011208	0.000329034	0.00796872	0.0421104	0.939315	0.00307885	0.00111443	0.00119138	0.000220543	6.21043e-05	0.000223677	0.000844969	0.00342924
ω	0.00215746	0.000987127	0.00383731	0.126074	0.67804	0.109454	0.053747	0.00174136	0.0117217	0.00183062	0.00297403	0.000222329	0.00721389
ó	0.00303073	0.00432496	0.004305	0.149378	0.151601	0.403833	0.123351	0.0159053	0.11184	0.00686122	0.011513	0.00102764	0.013029
k	0.0122873	0.0423361	0.0330863	0.0803585	0.0312771	0.205443	0.190289	0.165528	0.149934	0.0365434	0.0330234	0.00442448	0.0154702
ó	0.0030935	0.00872368	0.00411873	0.013468	0.00488904	0.0228322	0.261174	0.374471	0.12708	0.086666	0.0407221	0.00875784	0.0440036
ó	0.00265723	0.00579463	0.00583682	0.0231471	0.00572079	0.0435894	0.136519	0.402666	0.0655592	0.184095	0.0388828	0.0132961	0.0722364
y	0.00482461	0.00680986	0.00309659	0.00740217	0.00177132	0.160606	0.141758	0.0535699	0.40191	0.100618	0.0909041	0.00745365	0.0192756
e	0.0110057	0.0107423	0.00435478	0.00964465	0.00691645	0.103	0.120448	0.00593588	0.17452	0.407232	0.0621253	0.0216092	0.0624669
e	0.0136443	0.00792729	0.00176348	0.00635699	0.00121818	0.0767496	0.251253	0.0305107	0.450035	0.0714395	0.0491079	0.0219276	0.0180664
d	0.000693555	0.00249629	0.00756106	0.00545323	0.0128419	0.0084191	0.0252812	0.13926	0.0363977	0.609705	0.0232834	0.0845428	0.044064
z	9.79692e-05	0.000794749	0.0021662	0.000752212	0.000511217	0.00150282	0.0159347	0.00673724	0.0127976	0.890113	0.0261958	0.0229213	0.0194751
w	0.000198352	0.000365057	0.000946966	0.000514655	0.000982925	0.000700921	0.00416721	0.000704905	0.00199613	0.974858	0.00549763	0.00180368	0.00726327
á	0.00150549	0.000920344	0.00135022	0.0158572	0.0146841	0.026488	0.0725394	0.00198099	0.0716513	0.196147	0.226094	0.0489148	0.321867
l	0.000435538	0.000549652	0.00219535	0.00835406	0.00345551	0.0279518	0.0633465	0.00457937	0.206716	0.292293	0.227313	0.114465	0.0483446
o	0.00182361	0.000970875	0.00139204	0.00487344	0.00362604	0.0167788	0.0390673	0.013781	0.0904043	0.235975	0.133495	0.0928169	0.364996
k	0.000559543	0.00037747	0.000211491	0.00351902	0.00464177	0.00426819	0.0159831	0.0331448	0.0591879	0.169268	0.0696196	0.579283	0.0599362
y	8.68512e-05	0.000162858	0.000463565	0.00172975	0.00109066	0.000664119	0.0133925	0.171465	0.0260962	0.315188	0.0524956	0.360677	0.056488
ε	7.73302e-05	8.76252e-05	0.000102723	0.000607707	0.00255512	0.000601052	0.00759711	0.054252	0.0039184	0.0691174	0.0179353	0.763616	0.0795323
s	7.58354e-05	0.000106761	0.000261831	0.00301143	0.00110031	0.00649038	0.0227082	0.0113593	0.0987845	0.0253971	0.142957	0.35863	0.329117
í	5.4455e-05	2.2254e-05	0.000170395	0.00128497	0.00271662	0.00297398	0.0219173	0.00720254	0.0158153	0.126075	0.0499954	0.214701	0.55707
</S>	0.000261379	0.00026531	0.000225473	0.00197442	0.000509125	0.00628217	0.00517375	0.000493584	0.0360179	0.0128092	0.276731	0.0823598	0.576896
