 	le	chasseur	allume	le	feu	avec	le	briquet	indigène	</S>
o	0.792043	0.200198	0.00206357	0.00261381	0.00121758	0.000872002	0.000241485	0.000244297	0.000483049	2.35686e-05
b	0.115278	0.880625	0.00123145	0.000352645	0.000267586	0.000131504	0.000228043	0.00085218	0.000515964	0.000517723
e	0.042791	0.951138	0.00358001	0.000695008	0.000185065	8.99672e-05	0.000143072	0.000440398	0.000711437	0.000226376
n	0.02839	0.95	0.00526258	0.0015755	0.000839407	0.00077087	0.00138308	0.00224775	0.00546021	0.00407034
g	0.503006	0.346741	0.0643547	0.0134565	0.00392064	0.00950357	0.00901085	0.00399857	0.00435555	0.0416525
i	0.311688	0.622004	0.0388137	0.00559163	0.00233408	0.00352919	0.00514748	0.00344559	0.00197029	0.00547651
b	0.183461	0.0496641	0.539093	0.0887744	0.03547	0.0291778	0.0310895	0.0150694	0.00275395	0.025447
ó	0.251417	0.0546036	0.358581	0.0823412	0.0295873	0.043065	0.0268973	0.00383443	0.0499828	0.0996909
l	0.342073	0.0225837	0.384907	0.172848	0.0228402	0.0240318	0.017853	0.00516264	0.00324156	0.00445913
á	0.0318996	0.00478423	0.295015	0.151602	0.0639176	0.122231	0.0675315	0.0142438	0.0262632	0.222512
a	0.129574	0.0121381	0.17679	0.261706	0.143555	0.140422	0.0727332	0.0140503	0.0184591	0.0305734
p	0.00748258	0.00509484	0.632389	0.129361	0.0630938	0.0180836	0.0491181	0.077702	0.00329517	0.0143795
f	0.000940044	0.00774732	0.73769	0.135375	0.0137132	0.00893973	0.034741	0.0303678	0.00175529	0.0287308
u	0.00891256	0.00787711	0.656916	0.117621	0.0231915	0.014093	0.0920422	0.0530318	0.00413637	0.022178
r	0.0167679	0.00203188	0.373265	0.367485	0.0875653	0.0420324	0.0512874	0.0197134	0.0126545	0.0271972
á	0.0114937	0.000919939	0.244754	0.275561	0.0770522	0.0721949	0.111611	0.0243815	0.0304114	0.151621
m	0.00227613	0.000319439	0.0167352	0.236708	0.270484	0.331235	0.114804	0.0198742	0.0056006	0.00196368
í	0.000384867	8.78735e-05	0.00469978	0.0236494	0.294754	0.613269	0.0372017	0.00154496	0.00926199	0.0151467
á	0.00235368	0.000489246	0.00758754	0.039057	0.285204	0.404274	0.137687	0.0205752	0.0869268	0.0158455
m	0.000455843	0.000137228	0.00381083	0.0139446	0.0894877	0.273907	0.334626	0.184268	0.0669446	0.0324185
é	0.00136968	0.000159592	0.00606402	0.0119181	0.145568	0.212461	0.215011	0.218564	0.0977386	0.0911462
s	0.00141151	0.000732652	0.0108989	0.0179777	0.0597426	0.112066	0.163864	0.32335	0.22069	0.0892664
é	0.000269821	6.73237e-05	0.000345967	0.00235769	0.00837612	0.00459258	0.0542996	0.739281	0.164619	0.0257911
n	0.000240562	1.3314e-05	0.000934626	0.00721742	0.027345	0.0397162	0.123835	0.388163	0.197133	0.215402
i	0.000589249	0.000380275	0.00107113	0.00743808	0.0159725	0.0428641	0.133566	0.45742	0.26336	0.0773384
</S>	0.000271084	2.97176e-05	0.00222446	0.012688	0.0273075	0.0751019	0.130782	0.178351	0.194682	0.378563
