 	elle	fait	une	bobine	de	coton	</S>
w	0.936762	0.0518346	0.00840286	0.00192928	0.000956376	0.000109462	5.8718e-06
a	0.899772	0.0623046	0.0206637	0.00511964	0.00882584	0.00329071	2.33506e-05
a	0.356177	0.433909	0.184799	0.00906747	0.0108056	0.00136034	0.00388149
d	0.100743	0.458825	0.374423	0.028747	0.0197129	0.00626585	0.0112829
í	0.0570397	0.69791	0.13418	0.00678483	0.0208878	0.000550197	0.0826471
n	0.0398156	0.181244	0.304069	0.0629002	0.135808	0.0503913	0.225773
g	0.0296585	0.210934	0.489199	0.170665	0.0684199	0.00179115	0.0293322
í	0.0113651	0.095378	0.633931	0.187739	0.0506672	0.000761049	0.0201582
l	0.0719144	0.0455361	0.35187	0.0686312	0.389258	0.021146	0.0516446
í	0.0254726	0.0908993	0.144018	0.0378898	0.281646	0.0176703	0.402405
k	0.0218347	0.0333215	0.0811708	0.011006	0.336315	0.440037	0.0763156
ω	0.00293908	0.00543393	0.00530517	0.0017124	0.00779296	0.971723	0.00509328
t	0.000141464	0.000915706	0.00289047	0.00378134	0.00378274	0.985475	0.00301298
ώ	0.00480474	0.0055626	0.00975757	0.000592912	0.0379763	0.857298	0.0840074
</S>	0.0011189	0.00378325	0.0177453	0.0245408	0.153279	0.44243	0.357103
