 	je	lui	ai	donné	un	coup	de	poing	dans	la	face	</S>
n	0.9429	0.0404354	0.0109971	0.00223705	0.00179068	0.000725589	0.000582108	5.1975e-05	0.00010928	0.000142753	2.7502e-06	2.49183e-05
g	0.963475	0.0146153	0.0175817	0.00207479	0.00117625	7.62412e-05	0.000442588	4.91063e-05	0.000216494	0.000206798	7.46697e-05	1.06289e-05
á	0.895528	0.0552777	0.0423916	0.00304168	0.00154282	0.000323531	0.000564333	3.79801e-05	0.000208	0.00036275	0.000631805	8.97062e-05
í	0.182025	0.168962	0.305648	0.0777448	0.0279733	0.00910102	0.00388411	0.00353105	0.00426064	0.0059125	0.0169934	0.193964
b	0.00656849	0.0301873	0.108521	0.670764	0.0877122	0.0684066	0.0062079	0.00188388	0.00312244	0.00560143	0.00192095	0.00910403
έ	0.00291491	0.0208578	0.0638696	0.546807	0.135489	0.131549	0.035244	0.025443	0.00637457	0.0134981	0.00085229	0.0171012
r	0.00293003	0.0116588	0.042345	0.404642	0.220766	0.197576	0.0510607	0.0149809	0.0244355	0.0126176	0.00211562	0.0148712
i	0.00641805	0.0323936	0.0799164	0.454842	0.186333	0.0196686	0.118154	0.0197004	0.0487396	0.00920441	0.00475241	0.0198777
w	0.0046028	0.214279	0.264846	0.0924174	0.132256	0.104236	0.0931212	0.0392281	0.0264057	0.00865591	0.00425398	0.0156985
á	0.00413337	0.0156242	0.0537045	0.150352	0.138751	0.111412	0.291673	0.0719355	0.0753233	0.0178901	0.0156242	0.0535764
o	0.0253759	0.142231	0.149019	0.101514	0.0996731	0.124599	0.196015	0.0412637	0.0422961	0.013989	0.0055206	0.0585032
t	0.00014155	0.00089439	0.00279812	0.0130251	0.0814444	0.434857	0.0805717	0.318074	0.040448	0.0171097	0.00855712	0.00207925
s	1.79018e-05	7.64135e-05	0.00073863	0.00897942	0.0441335	0.183454	0.0392742	0.675557	0.0165036	0.00475073	0.0190992	0.00741604
ω	3.90076e-06	0.000242899	0.00224926	0.0380408	0.059373	0.216496	0.0653959	0.554096	0.0346397	0.00641507	0.0143731	0.00867401
ώ	7.3878e-05	0.00174903	0.00585499	0.0196984	0.0747987	0.091962	0.336891	0.147633	0.202033	0.0300509	0.00451609	0.0847392
s	4.42456e-05	0.000591434	0.00153187	0.00298861	0.017066	0.013157	0.225471	0.025801	0.47754	0.199311	0.00765703	0.0288402
é	0.000549368	0.000378996	0.00143453	0.00544549	0.0138351	0.0148377	0.0465682	0.0447643	0.301252	0.160179	0.181442	0.229314
l	0.00298937	0.00441807	0.00770572	0.00140023	0.00214	0.00352136	0.00969266	0.0188953	0.138101	0.176023	0.622672	0.0124421
é	0.00155127	0.00121301	0.00420006	0.00203847	0.00220241	0.0086442	0.0100098	0.00561621	0.0652238	0.165609	0.680667	0.053025
n	3.5991e-05	4.3587e-05	0.000192548	0.000149361	0.000257823	0.000684777	0.00158064	0.013542	0.0242664	0.0248877	0.911109	0.0232497
g	7.32326e-05	0.000200307	0.000458635	0.000807958	0.00180334	0.00515769	0.00884653	0.017654	0.0681253	0.127948	0.667193	0.101732
é	0.000544328	0.000494089	0.000674947	0.000239141	0.000697265	0.000761556	0.00573749	0.00684032	0.0305663	0.0300963	0.829728	0.0936205
</S>	0.000116715	0.000789568	0.00111454	0.00128343	0.00451097	0.00262667	0.0138967	0.0035522	0.0774524	0.13266	0.234754	0.527243
