 	je	partirai	à	brazaville	la	semaine	prochaine	</S>
n	0.964295	0.0017269	0.00891063	0.01996	0.00404413	0.00088447	0.000156501	2.23302e-05
g	0.98255	0.000539411	0.00283102	0.0133485	0.000298747	0.000348664	6.077e-05	2.33757e-05
á	0.925728	0.00634619	0.00316811	0.0603331	0.000847989	0.0018628	0.00155233	0.000161358
l	0.598521	0.0272504	0.142722	0.0677461	0.0287319	0.0182964	0.0191615	0.0975706
í	0.340394	0.148652	0.0316604	0.0179444	0.0819716	0.0548021	0.0746147	0.249961
i	0.0295244	0.258112	0.153527	0.112363	0.0825999	0.118937	0.0897523	0.155184
d	0.00149183	0.936609	0.0114049	0.00602842	0.00543511	0.00277224	0.00366994	0.0325889
z	0.00200526	0.976999	0.00682918	0.00191134	0.00248421	0.0010684	0.00356278	0.00513962
w	0.0965597	0.872386	0.0133679	0.00922754	0.0026206	0.00202932	0.00103633	0.00277304
á	0.0153197	0.0197281	0.459868	0.0166861	0.0959627	0.179914	0.00306642	0.209455
n	0.000657936	0.0322595	0.387936	0.452572	0.0533498	0.0539135	0.006384	0.0129268
g	0.000452055	0.000798066	0.0331541	0.932171	0.0136418	0.00702366	0.00088774	0.0118716
y	0.000647117	0.00146336	0.0133027	0.975199	0.00416676	0.00359863	0.00105932	0.000563257
ε	0.000189196	0.0943047	0.142016	0.49948	0.0843491	0.0936374	0.0171648	0.0688586
l	0.00272181	0.0150674	0.152783	0.251044	0.205224	0.167995	0.058195	0.146969
έ	0.000491246	0.0167627	0.104336	0.169272	0.47143	0.101854	0.01347	0.122384
m	0.000146345	0.00504714	0.108288	0.0269815	0.467737	0.347784	0.0198829	0.024133
é	0.000324846	0.000756908	0.19427	0.00951623	0.121516	0.464898	0.0160218	0.192696
y	0.000351749	0.00199341	0.068061	0.0107081	0.305018	0.260048	0.275735	0.0780853
e	0.000102229	0.00775031	0.0252469	0.0055334	0.0606432	0.529814	0.345448	0.0254619
n	7.83369e-05	0.00156767	0.0156263	0.00693464	0.0621671	0.472067	0.254199	0.187361
g	0.000186284	0.00226926	0.0186693	0.0200835	0.0917096	0.505768	0.290081	0.0712329
a	0.00037637	0.00125764	0.0175192	0.118283	0.0816806	0.397032	0.316888	0.0669624
y	0.000177348	0.000667906	0.0379932	0.00952846	0.155101	0.306191	0.261251	0.229091
é	0.00173819	0.00451783	0.0501387	0.010211	0.0800895	0.477406	0.336004	0.0398953
é	0.00048565	0.000868174	0.0100869	0.00304549	0.0488993	0.327095	0.315984	0.293535
y	0.000547864	0.00481909	0.014866	0.000851152	0.04076	0.140733	0.668343	0.12908
a	5.84298e-05	0.00938882	0.00834053	0.000876281	0.0139369	0.196898	0.492601	0.2779
a	2.42848e-05	0.00181164	0.0103831	0.00116087	0.0184857	0.301453	0.134375	0.532306
</S>	0.000248048	0.000334928	0.00602747	0.000609982	0.0145369	0.147852	0.185228	0.645163
