 	les	petits	enfants	ont	pris	l'	ebvéndé	au	piège	</S>
b	0.442291	0.496732	0.056773	0.00155753	0.000195731	0.00105858	0.000482227	0.000663461	0.000213994	3.28578e-05
á	0.0516775	0.763539	0.170982	0.00586795	0.000604458	0.00263247	0.00117231	0.00240994	0.000875434	0.000238464
n	0.0259844	0.643203	0.328037	0.00144266	0.000205597	0.000681743	0.000246908	7.10837e-05	4.75932e-05	7.96939e-05
a	0.137548	0.333269	0.488965	0.00319487	0.000789041	0.00341108	0.0124115	0.000391564	0.000241699	0.0197782
b	0.256987	0.232038	0.219003	0.174575	0.0132012	0.0138268	0.00236973	0.0492808	0.00722024	0.0314988
á	0.0660322	0.108426	0.432075	0.227938	0.00316304	0.0390622	0.00842484	0.0587198	0.0186988	0.0374602
n	0.019792	0.0392754	0.444241	0.422992	0.0191505	0.0161994	0.00496659	0.00820785	0.00491722	0.0202581
d	0.130383	0.0735145	0.546398	0.108183	0.0185602	0.0361484	0.0239087	0.0243294	0.00297312	0.0356021
z	0.103028	0.120624	0.474267	0.0869992	0.106056	0.0137186	0.0445301	0.00443444	0.00171806	0.0446244
é	0.476216	0.272474	0.12939	0.0220967	0.0297556	0.0149339	0.0419205	0.00322171	0.00183578	0.00815486
s	0.565352	0.192458	0.0332855	0.023777	0.0498268	0.0427838	0.0444138	0.0127747	0.00736573	0.0279623
i	0.453267	0.251718	0.091083	0.0202086	0.0446548	0.033638	0.0906862	0.00239575	0.000704714	0.011644
á	0.0167176	0.0102799	0.0344454	0.757222	0.0870364	0.0546312	0.0127436	0.0142897	0.00255637	0.0100779
b	0.00323524	0.000759995	0.0025636	0.171909	0.586246	0.0902808	0.0695261	0.0294579	0.0051863	0.0408347
o	0.00419515	0.00171731	0.00878151	0.0816823	0.569591	0.102884	0.15209	0.0432131	0.0105615	0.0252844
m	0.0119089	0.00087138	0.00186827	0.0331238	0.638228	0.100897	0.135967	0.0396389	0.00741133	0.0300854
i	0.0203523	0.00147843	0.00203625	0.0142286	0.301013	0.216458	0.201951	0.142735	0.0390419	0.0607058
e	0.0171881	0.00650653	0.0237051	0.0347844	0.0191051	0.433053	0.240029	0.0989901	0.0248757	0.101763
b	0.00326774	0.00187441	0.00203265	0.00920295	0.0212369	0.233092	0.551825	0.0796676	0.0429688	0.0548327
v	0.00858971	0.00507617	0.00559735	0.0057665	0.0214151	0.110564	0.486915	0.0707543	0.242059	0.0432628
é	0.00160771	0.00159438	0.00223165	0.0012488	0.00914137	0.139036	0.552031	0.0737545	0.194779	0.0245753
n	0.00122323	0.000319799	0.00094766	0.00134261	0.00674804	0.0818669	0.516329	0.110418	0.0824116	0.198393
d	0.00241826	0.00153189	0.00104901	0.00168519	0.0033257	0.150157	0.66471	0.0805708	0.0319416	0.0626109
é	0.000908068	0.000368098	0.000341192	0.00110691	0.00456256	0.0595458	0.733868	0.0523549	0.0180419	0.128903
m	0.00126682	0.000291058	0.000208502	0.00630452	0.0084582	0.0766607	0.0822254	0.388698	0.190657	0.24523
é	0.0216359	0.0031093	0.000561486	0.00473618	0.00709388	0.0959633	0.0389113	0.405507	0.165803	0.256678
k	0.00285048	0.000530175	0.000270848	0.0020822	0.00682045	0.0286479	0.0279481	0.283017	0.423326	0.224507
u	0.00108883	0.000522521	0.000303949	0.000941655	0.00604009	0.00733666	0.0397588	0.077782	0.693602	0.172624
l	0.0229258	0.00242228	0.00106214	0.000392912	0.00624976	0.0192474	0.119231	0.0961007	0.509969	0.222399
a	0.00528565	0.000350797	0.000428214	0.000334955	0.00415898	0.023551	0.166457	0.123484	0.294117	0.381832
</S>	0.00193882	0.000171527	0.000190978	0.00102557	0.00131757	0.0113711	0.00853239	0.360808	0.0992143	0.51543
