 	les	visiteurs	s'	arrêtent	en	aval	du	village	</S>
a	0.769914	0.209497	0.00888723	0.000470707	0.00453459	0.00290461	0.00358824	0.000128321	7.53519e-05
b	0.0965717	0.896305	0.00281291	0.00098925	0.000893459	0.000719846	0.000642978	0.000791504	0.000273739
v	0.0887984	0.902035	0.00398483	0.000151177	0.00263578	0.00143272	0.000356221	7.31325e-06	0.000598999
ú	0.00830718	0.989475	0.00129958	8.10182e-05	0.00052761	0.000193791	5.60504e-05	7.80214e-07	5.8489e-05
r	0.75902	0.194249	0.0212681	0.000977462	0.0103687	0.00326585	0.00564355	7.45922e-05	0.00513304
u	0.655031	0.176119	0.0145725	0.00304353	0.0225027	0.00814845	0.00765351	0.00086484	0.112065
á	0.402174	0.0105817	0.433891	0.0441273	0.0198794	0.0195268	0.0254237	0.00165163	0.0427438
s	0.0550865	0.00355846	0.228599	0.682693	0.0122551	0.0061951	0.00308872	0.00156532	0.00695839
ú	0.00202708	0.000524106	0.020023	0.963602	0.00248693	0.00192499	0.000586082	7.09033e-06	0.00881872
u	0.0756	0.00404126	0.0387935	0.840766	0.0173704	0.00369982	0.00456826	0.000705121	0.0144562
m	0.0477287	0.000929236	0.286929	0.429725	0.0994241	0.0275556	0.05656	0.00714849	0.0440002
ó	0.0938266	0.0104593	0.141319	0.212309	0.316713	0.0654012	0.0382389	0.003973	0.11776
i	0.0390067	0.00400363	0.0850129	0.110481	0.507201	0.186631	0.0381234	0.0114277	0.0181123
s	0.00364094	0.00225757	0.0241111	0.133083	0.495486	0.245995	0.0424776	0.0135624	0.0393864
ú	0.00126357	0.000588336	0.00342639	0.74882	0.138308	0.0624066	0.0226616	0.00541577	0.0171104
u	0.00519781	0.000144148	0.0104129	0.252383	0.47107	0.110587	0.064391	0.0531048	0.0327091
l	0.0040474	0.0001001	0.0110405	0.0237335	0.241701	0.184022	0.359837	0.0664612	0.109057
á	0.00960971	0.000281743	0.011756	0.0270236	0.160777	0.275444	0.232822	0.0397587	0.242527
p	0.0187947	0.000973941	0.00637078	0.0123267	0.0817483	0.129854	0.244796	0.431541	0.0735946
o	0.000112323	1.96088e-05	0.000173188	0.000268986	0.00375673	0.0152995	0.0170879	0.959348	0.00393426
o	0.000182737	2.61411e-05	0.000153073	0.00174251	0.0104123	0.0196989	0.0505564	0.877213	0.0400155
</S>	0.00505748	0.000136037	0.00563391	0.0122188	0.0388697	0.188809	0.246809	0.0293861	0.47308
