 	le	vent	fait	repandre	le	feu	</S>
o	0.778664	0.185593	0.0291289	0.00192386	0.00413195	0.000311825	0.000246177
p	0.0163238	0.973413	0.00505737	0.00218094	0.000529221	0.00106859	0.00142742
ε	0.000755924	0.998257	0.000572862	1.15617e-05	0.000126745	1.70797e-05	0.000259084
p	0.0395714	0.914793	0.0314824	0.000939129	0.00452887	0.000504273	0.00818118
ε	0.234611	0.687778	0.0260971	0.000307763	0.0037758	7.86864e-05	0.0473526
m	0.315011	0.0534707	0.405581	0.0206104	0.138363	0.00208227	0.0648818
ó	0.508802	0.0212261	0.180121	0.0239242	0.225952	0.00636621	0.0336082
o	0.435515	0.0060635	0.119777	0.074791	0.33029	0.015948	0.0176154
n	0.023229	0.0140997	0.158511	0.534912	0.177101	0.0770075	0.0151398
a	0.00428116	0.00261384	0.113359	0.690217	0.0278243	0.0871006	0.0746039
m	0.00312385	0.0055921	0.124531	0.587287	0.108368	0.0946845	0.0764135
b	0.0176522	0.000535311	0.0770608	0.245361	0.494522	0.123261	0.0416081
í	0.0480155	0.00446317	0.247958	0.223669	0.171607	0.0256954	0.278592
s	0.0289654	0.00422882	0.14774	0.0637474	0.622284	0.0307303	0.102304
á	0.0274486	0.0069303	0.122162	0.0407544	0.565759	0.0545221	0.182424
m	0.0127143	0.00235513	0.0182462	0.0303806	0.5547	0.36753	0.0140742
í	0.000125175	1.36339e-05	0.00025361	0.0331887	0.00427561	0.948346	0.0137972
á	0.00182597	5.16796e-05	0.00247561	0.0260082	0.0163992	0.928253	0.0249864
</S>	0.00146248	0.00028789	0.00388631	0.00493808	0.0416808	0.103449	0.844295
