 	maman	nous	a	laissé	du	manioc	un	morceau	pour	moi	et	deux	pour	toi	</S>
m	0.875789	0.0569001	0.00456332	0.00103686	0.0163788	0.00599937	0.00967336	0.00359517	0.00899994	0.0104559	0.00208669	0.00160068	0.00247384	0.000355951	9.13527e-05
a	0.156764	0.395224	0.251491	0.0171024	0.0816435	0.001069	0.0158826	0.0187333	0.0194141	0.0100891	0.00464316	0.00818008	0.00994067	0.00794034	0.00188305
á	0.265854	0.545638	0.076981	0.0213515	0.0173133	0.00454877	0.0104294	0.0084005	0.0153818	0.00883316	0.00962767	0.00439638	0.00186163	0.00330528	0.00607749
á	0.0537907	0.20586	0.446551	0.0570081	0.0234756	0.0107151	0.0157471	0.0153513	0.0196047	0.00576993	0.0158574	0.0206397	0.0189125	0.00392681	0.0867897
y	0.000396558	0.00593819	0.228561	0.715673	0.0204651	0.0102025	0.00187902	0.00183477	0.00136804	0.000423554	0.00115918	0.00380868	0.00289728	0.000790543	0.00460255
í	0.000551706	0.0071062	0.131901	0.845807	0.00804573	0.000263351	0.000207459	0.000409723	0.000348412	0.000438103	0.000328289	0.000739213	0.000571998	0.000563153	0.00271828
i	0.00066128	0.0294186	0.09563	0.820927	0.0264262	0.00149221	0.0018689	0.00322132	0.00169304	0.00060836	0.000851668	0.00260347	0.00177197	0.000706174	0.0121194
b	0.00137226	0.345465	0.23928	0.127229	0.113191	0.0112654	0.0180176	0.0259105	0.0218815	0.0175759	0.0161496	0.0123597	0.00956649	0.00701362	0.0337224
í	0.000641505	0.491846	0.0212607	0.0144409	0.0697295	0.0390689	0.0678198	0.0676853	0.0621734	0.0407697	0.049767	0.0309077	0.011019	0.0191273	0.0137437
s	0.000716056	0.599917	0.0211928	0.00795297	0.0530463	0.0329347	0.0299937	0.0303882	0.0420811	0.042136	0.0358713	0.027329	0.0112169	0.0264692	0.0387546
í	0.000109118	0.0478991	0.077985	0.304007	0.157477	0.00923978	0.0274664	0.0619299	0.111883	0.0531239	0.0442127	0.0433199	0.0154186	0.0272196	0.0187089
i	0.00044958	0.0465596	0.231272	0.129508	0.307408	0.143344	0.0506351	0.0207182	0.0144391	0.0105402	0.0138472	0.0112841	0.00632565	0.00365632	0.0100126
k	0.000150925	0.00121734	0.011126	0.0423241	0.118735	0.716272	0.0692161	0.01713	0.00562191	0.00104967	0.00353715	0.00571017	0.00255021	0.00117342	0.00418579
ώ	1.2379e-05	6.81482e-05	0.0002829	0.00141568	0.0146237	0.924168	0.0418517	0.00709053	0.00263453	0.000182319	0.00212689	0.00310375	0.000640205	0.000288393	0.00151043
ώ	5.3761e-05	0.00167596	0.00228882	0.00128424	0.0285065	0.803586	0.0970516	0.0297659	0.00635965	0.00419018	0.00548582	0.00652473	0.00198407	0.00190353	0.00933892
s	2.31127e-05	0.00130637	0.0141726	0.00397867	0.104286	0.120031	0.348982	0.26541	0.0730178	0.00997449	0.0182472	0.0132829	0.00610815	0.0010162	0.0201637
á	8.06668e-05	0.000855949	0.00810766	0.0203435	0.0846572	0.0301382	0.164615	0.289776	0.190093	0.0560087	0.0676337	0.0263221	0.0164997	0.00591561	0.0389532
k	0.00261615	0.0115988	0.00248427	0.00235059	0.0290084	0.0113747	0.119984	0.17796	0.205104	0.329921	0.0544452	0.0145148	0.00952983	0.024989	0.00411875
ú	0.00193019	0.0111122	0.00149025	0.00125606	0.0295861	0.119204	0.24205	0.187954	0.200283	0.0454624	0.104687	0.0350657	0.00483569	0.00646969	0.00861516
k	0.000177336	0.00129781	0.00115689	0.00513757	0.0402691	0.136174	0.378455	0.228766	0.139898	0.0099967	0.0232127	0.00848255	0.00327872	0.000672269	0.0230245
